frame,frame_total_ms,producer_ms,consumer_ms,inter_frame_gap_ms,p_Telemetry/frame_data,p_compose_overlay,p_above_total,p_above_compose,p_above_region_to_bytes,p_above_region_upload,p_map_cpu_upload,p_PIL/buffer preparation,p_chart_cpu_tobytes,p_chart_dynamic_tobytes,p_gauge_tobytes,c_MF ReadSample/decode availability,c_consumer_upload,c_consumer_native_call,c_VideoProcessor CPU submit,c_VideoProcessor GPU completion,c_GPU wait/synchronization,c_AMF submit/backpressure,c_AMF QueryOutput,c_Packet write,c_pipeline_total,p_HUD dirty extract
0,689.2223000031663,423.7661999941338,265.4561000090325,0.0,0.043799998820759356,11.488799995277077,46.31149998749606,32.50019998813514,13.691800006199628,46.326700001372956,2.343599990126677,29.25590000813827,0.0,0.0,0.0,142.1114,81.73550000356045,41.256199998315424,11.3995,33.20325,24.9557,3.7835,0.021,0.0,265.4317000124138,
1,154.09070000168867,116.02469999343157,38.066000008257106,0.024499997380189598,0.041100007365457714,21.396399999503046,76.53900000150315,57.38569999812171,19.003599998541176,8.179399985237978,4.727699997602031,2.65580000996124,0.0,0.0,0.0,0.7093,12.107399990782142,24.830599999404512,0.4613,19.7187,20.4256,0.8304,0.2974,1.0243,38.01449999446049,2.516799999284558
2,103.18930000357796,60.14450000657234,43.04479999700561,0.03329999162815511,0.04270000499673188,6.704900006297976,42.00690001016483,28.808600007323548,13.100399999530055,5.015700007788837,2.823499991791323,1.8872999935410917,0.0,0.0,0.0,0.546,7.602900004712865,34.47820000292268,0.3784,26.11703,26.5729,0.3565,0.1199,0.2937,42.89050000079442,1.8013999942922965
3,107.28820000076666,54.06500000390224,53.22319999686442,0.028299997211433947,0.07199999527074397,4.340200001024641,40.11780000291765,28.355300004477613,11.644899990642443,1.8366000149399042,2.18829998630099,1.221300000906922,0.0,0.0,0.0,0.3593,8.578799999668263,44.014099999913014,0.2756,40.47985,41.0209,1.0387,0.4157,0.3896,53.17949999880511,1.164100001915358
4,93.63540000049397,59.270800004014745,34.36459999647923,0.05750000127591193,0.06540000322274864,9.208499992382713,41.02440000860952,29.673800003365614,11.246900001424365,1.7256999999517575,2.151399996364489,1.1789999989559874,0.0,0.0,0.0,0.6392,10.860399997909553,14.807500003371388,0.333,13.1385,13.6993,0.2723,0.1043,0.1546,34.343399995123036,1.1189999931957573
5,89.41150001192,63.64330000360496,25.768200008315034,0.01679999695625156,0.02370000584051013,3.248300010454841,51.22969996591564,39.78959999221843,11.301899983664043,4.148199994233437,1.9375999982003123,1.0961999942082912,0.0,0.0,0.0,0.4717,5.6911000137915835,19.408299995120615,0.5337,13.22247,13.5744,0.3249,0.108,0.0949,25.71919999900274,1.034000000800006
6,77.2891999949934,44.18529999384191,33.10390000115149,0.020399995264597237,0.02820001100189984,3.586400009226054,32.05130000424106,21.800500006065704,10.146400003577583,3.4140000207116827,2.0327999955043197,0.9879999997792765,0.0,0.0,0.0,0.807,5.120900008478202,26.97210000769701,0.4349,20.17942,20.3779,0.3766,0.1422,0.1319,33.07969999150373,0.9246999979950488
7,86.47799999744166,47.39179999160115,39.08620000584051,0.024500011932104826,0.03310000465717167,5.8243999956175685,32.36500000639353,23.148399995989166,9.107600009883754,2.939899990451522,2.234999992651865,1.2042999878758565,0.0,0.0,0.0,0.4883,9.134899999480695,29.198999996879138,0.3338,26.37982,26.6949,0.6404,0.3456,0.1902,39.0456000022823,1.1427999997977167
8,70.89980000455398,51.098199997795746,19.801600006758235,0.054199990699999034,0.06899998697917908,10.417999990750104,31.540500014671125,21.920700004557148,9.516400008578785,1.971900011994876,2.0828999986406416,1.1363000085111707,0.0,0.0,0.0,0.59,2.8832999960286543,16.129199997521937,0.3754,9.06607,9.5184,0.2172,0.0943,0.1687,19.758499998715706,1.0709999914979562
9,67.11299999733455,46.729199995752424,20.38380000158213,0.017600003047846258,0.028800001018680632,5.6788999936543405,32.199099980061874,22.675299987895414,9.42149999900721,1.6589000006206334,2.1970000088913366,1.109999997424893,0.0,0.0,0.0,0.5188,7.92439999349881,11.785199996666051,0.2795,10.34694,10.4764,0.2627,0.1027,0.1187,20.364099997095764,1.0328999924240634
