frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,9097083505915,9097086073155,9097086073931,9097086073979,9097086074031,9097086381020,9097086825324,9097086825356,16,33.1944,25.6724,0.00776,0.00048,0.00052,3.06989,4.44304
1,1,0,1e+08,9097100352879,9097101635750,9097101636774,9097101747872,9097101747948,9097101776576,9097102323589,9097102324245,16,19.7137,12.8287,0.01024,1.11098,0.00076,0.28628,5.47013
2,1,0,1e+08,9097110175805,9097111975856,9097111976986,9097112074505,9097112074557,9097112104381,9097112786132,9097112786172,16,26.1037,18.0005,0.0113,0.97519,0.00052,0.29824,6.81751
3,1,0,1e+08,9097119334369,9097122073768,9097122073936,9097122166616,9097122166644,9097122188732,9097123381770,9097123381878,16,40.4751,27.394,0.00168,0.9268,0.00028,0.22088,11.9304
4,1,0,1e+08,9097130794197,9097131603687,9097131603895,9097131672471,9097131672499,9097131691791,9097132107771,9097132107803,16,13.1361,8.0949,0.00208,0.68576,0.00028,0.19292,4.1598
5,1,0,1e+08,9097140495721,9097141324796,9097141325068,9097141404196,9097141404220,9097141422744,9097141817104,9097141817684,16,13.2196,8.29075,0.00272,0.79128,0.00024,0.18524,3.9436
6,1,0,1e+08,9097147500361,9097148915047,9097148915263,9097149021319,9097149021375,9097149043027,9097149517979,9097149518011,16,20.1765,14.1469,0.00216,1.06056,0.00056,0.21652,4.74952
7,1,0,1e+08,9097155442389,9097156981387,9097156981567,9097157043443,9097157043467,9097157060483,9097158079471,9097158080047,16,26.3766,15.39,0.0018,0.61876,0.00024,0.17016,10.1899
8,1,0,1e+08,9097164344774,9097164813213,9097164813257,9097164885073,9097164885109,9097164903677,9097165250933,9097165250961,16,9.06187,4.68439,0.00044,0.71816,0.00036,0.18568,3.47256
9,1,0,1e+08,9097170922522,9097171444343,9097171444379,9097171537656,9097171537704,9097171562664,9097171956080,9097171956664,16,10.3414,5.21821,0.00036,0.93277,0.00048,0.2496,3.93416
10,1,0,1e+08,9097177536955,9097177930857,9097177930897,9097178017801,9097178017841,9097178041313,9097178433953,9097178433989,16,8.97034,3.93902,0.0004,0.86904,0.0004,0.23472,3.9264
11,1,0,1e+08,9097184431449,9097184950256,9097184950300,9097185019408,9097185019440,9097185038344,9097185393220,9097185393264,16,9.61815,5.18807,0.00044,0.69108,0.00032,0.18904,3.54876
12,1,0,1e+08,9097191051221,9097192011385,9097192011453,9097192137137,9097192137189,9097192161841,9097192656973,9097192657009,16,16.0579,9.60164,0.00068,1.25684,0.00052,0.24652,4.95132
13,1,0,1e+08,9097199167925,9097199681978,9097199682034,9097199778459,9097199778487,9097199801531,9097200235439,9097200236039,16,10.6811,5.14053,0.00056,0.96425,0.00028,0.23044,4.33908
14,1,0,1e+08,9097205854978,9097207028744,9097207028812,9097207125936,9097207125992,9097207147948,9097207621140,9097207621176,16,17.662,11.7377,0.00068,0.97124,0.00056,0.21956,4.73192
15,1,0,1e+08,9097213448614,9097213894287,9097213894335,9097213969615,9097213969647,9097213989287,9097214404625,9097214405237,16,9.56623,4.45673,0.00048,0.7528,0.00032,0.1964,4.15338
16,1,0,1e+08,9097220259192,9097221079974,9097221080022,9097221160502,9097221160538,9097221181890,9097221591106,9097221591150,16,13.3196,8.20782,0.00048,0.8048,0.00036,0.21352,4.09216
17,1,0,1e+08,9097227268409,9097228160544,9097228160648,9097228308067,9097228308147,9097228336643,9097228907057,9097228907105,16,16.387,8.92135,0.00104,1.47419,0.0008,0.28496,5.70414
18,1,0,1e+08,9097234738950,9097235171093,9097235171193,9097235256241,9097235256285,9097235277249,9097235898617,9097235898657,16,11.5971,4.32143,0.001,0.85048,0.00044,0.20964,6.21368
