frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,6.9569,50.3799,0.1387,0.0318,0.1065,0.093,0.0059,0.0013,19.929,19.9769,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0.0228,0.0831,3.1728,0.0172,0,60.6582,0,1369726368,865797664,0,0,378072108,1,0,1,0,0,0,24,0
1,1.1009,53.1957,0.5704,0.0166,0.5535,0.2705,0.2738,0.0012,0.2212,0.2485,0.0083,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0.0091,0.0481,1.1914,0.3423,0.6554,56.8816,1,1369726368,865799072,1,0,378072108,2,1,1,1,0,0,0,0
2,0.2163,24.2999,0.124,0.0186,0.105,0.0869,0.012,0.0019,0.3505,0.3769,0.0062,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.0071,0.0326,1.485,0.0116,0,26.0514,2,1369726368,865804000,2,0,378072108,3,1,1,0,0,0,24,0
3,0.0427,31.0057,0.4186,0.0045,0.4138,0.3978,0.0017,0.0015,0.3123,0.3318,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.01,0.0513,1.2337,0.237,0.3716,33.0852,3,1369726368,865794848,0,0,378072108,4,2,1,1,0,0,0,0
4,0.4742,71.1778,0.4153,0.0226,0.3923,0.1064,0.0188,0.0019,0.332,0.3619,0.0084,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.0139,0.0307,0.4034,0.1228,0.1451,72.4152,4,1369726368,865795552,1,0,378072108,5,3,1,1,0,0,0,0
5,0.1,41.1894,0.1021,0.0069,0.0948,0.0835,0.0047,0.0012,0.5487,0.5665,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.0078,0.0239,0.271,0.1057,0.0768,41.8536,5,1369726368,865799776,2,0,378072108,6,4,1,1,0,0,0,0
6,0.0551,45.3579,0.0785,0.009,0.0692,0.0578,0.0056,0.001,0.3572,0.6586,0.0914,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.008,0.0532,0.7024,0.333,0.3653,47.1098,6,1369726368,865800480,0,0,378072108,7,5,1,1,0,0,0,0
7,0.3302,40.0103,0.1797,0.0276,0.1517,0.077,0.0172,0.0019,0.4047,0.4377,0.0084,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0.0094,0.0267,0.3741,0.1605,0.0759,41.1047,7,1369726368,865801184,1,0,378072108,8,6,1,1,0,0,0,0
8,0.2274,10.7852,0.0948,0.0244,0.0699,0.0556,0.01,0.0012,0.2248,0.246,0.0056,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0.0056,0.0503,0.6689,0.3676,0.2456,12.6563,0,1369726368,865797664,2,0,378072108,9,7,1,1,0,0,0,0
9,0.0609,28.8766,0.4022,0.008,0.3937,0.0851,0.008,0.0017,0.3784,0.4107,0.0083,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0147,0.0308,0.4011,0.2217,0.1467,29.8819,1,1369726368,865799072,0,0,378072108,10,8,1,1,0,0,0,0
10,0.0746,5.1326,0.4416,0.0056,0.4354,0.0885,0.0095,0.0014,0.2937,0.3207,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0128,0.0331,1.4195,0.0109,0,6.6759,2,1369726368,865804000,1,0,378072108,11,8,1,0,0,0,24,0
11,0.054,36.6036,0.2791,0.0034,0.2754,0.0587,0.0105,0.0024,0.2429,0.2662,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0117,0.0385,1.3457,0.2822,0.2254,38.7591,3,1369726368,865794848,2,0,378072108,12,9,1,1,0,0,0,0
12,0.3476,4.8326,0.5055,0.0378,0.467,0.0978,0.0096,0.0015,0.3074,0.3449,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.013,0.0229,1.1967,0.0103,0,6.4168,4,1369726368,865795552,0,0,378072108,13,9,1,0,0,0,24,0
13,0.0521,22.3856,0.072,0.0043,0.0674,0.0586,0.004,0.0011,0.1933,0.5017,0.0769,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0165,0.0286,0.8122,0.1692,0.2331,23.7806,5,1369726368,865799776,1,0,378072108,14,10,1,1,0,0,0,0
