frame,frame_total_ms,producer_ms,consumer_ms,inter_frame_gap_ms,c_MF ReadSample/decode availability,c_consumer_upload,c_consumer_native_call,c_VideoProcessor CPU submit,c_VideoProcessor GPU completion,c_GPU wait/synchronization,c_AMF submit/backpressure,c_AMF QueryOutput,c_Packet write,c_pipeline_total
0,168.52059999655467,0.026299996534362435,168.4943000000203,0.0,107.3661,0.006999995093792677,60.705600000801496,19.9769,42.38221,30.2372,3.2613,0.0172,0.0,168.47970000526402
1,57.7694999956293,0.03999999898951501,57.72949999663979,0.021500003640539944,0.6167,0.0032999960239976645,56.91869999282062,0.2485,52.79217,52.3622,1.2425,0.3423,0.6554,57.708699998329394
2,27.159699995536357,0.038999991375021636,27.120700004161336,0.02580000727903098,0.6579,0.007999988156370819,26.097599999047816,0.3769,23.77003,23.7881,1.5205,0.0116,0.0,26.980399998137727
3,34.0715999918757,0.04159999662078917,34.02999999525491,0.02750000567175448,0.7082,0.0048000074457377195,33.11789999133907,0.3318,30.54558,30.2413,1.2882,0.237,0.3716,34.00840000540484
4,73.8705999974627,0.05640000745188445,73.81419999001082,0.032500000088475645,1.1874,0.005399997462518513,72.45000000693835,0.3619,70.28199,70.3827,0.4355,0.1228,0.1451,73.79829999990761
5,42.753300003823824,0.031800009310245514,42.72149999451358,0.01720000000204891,0.7004,0.0020000006770715117,41.87780000211205,0.5665,40.52491,40.5093,0.2962,0.1057,0.0768,42.6863000029698
6,47.831899995799176,0.02579999272711575,47.80610000307206,0.01340000017080456,0.4626,0.0040000013541430235,47.14389999571722,0.6586,44.82458,44.6064,0.7603,0.333,0.3653,47.78149999037851
7,42.70570000517182,0.06479999865405262,42.64090000651777,0.03680000372696668,1.3291,0.007299997378140688,41.137399995932356,0.4377,39.32819,39.3798,0.4023,0.1605,0.0759,42.62639999797102
8,13.657599993166514,0.031499992473982275,13.626100000692531,0.015199999324977398,0.6221,0.004899993655271828,12.709699993138202,0.246,10.44499,10.4345,0.7232,0.3676,0.2456,13.549100011005066
9,32.03399998892564,0.06429999484680593,31.969699994078837,0.0374000082956627,1.8389,0.006600006599910557,29.927700001280755,0.4107,27.96751,28.0442,0.4385,0.2217,0.1467,31.953199999406934
10,7.997399996384047,0.0501000031363219,7.947299993247725,0.02020000829361379,1.0624,0.007299997378140688,6.71390000206884,0.3207,4.30763,4.3529,1.455,0.0109,0.0,7.932000007713214
11,40.11010000249371,0.039099992136470973,40.07100001035724,0.019800005247816443,1.0211,0.006100002792663872,38.7988000002224,0.2662,35.93887,36.0421,1.3881,0.2822,0.2254,39.99489999841899
12,8.415700009209104,0.05570000212173909,8.360000007087365,0.030799987143836915,1.6982,0.007499998901039362,6.472000008216128,0.3449,4.02796,3.9658,1.2222,0.0103,0.0,8.344000001670793
13,24.951699990197085,0.03609999839682132,24.915599991800264,0.018999999156221747,0.9502,0.004599991370923817,23.813000007066876,0.5017,21.95018,21.7913,0.8434,0.1692,0.2331,24.901800003135577
14,16.506899992236868,0.0354999938281253,16.471399998408742,0.01820000761654228,0.9713,0.006499991286545992,15.252700002747588,0.2356,11.62855,11.6836,2.2445,0.0151,0.0,16.412900004070252
15,25.75040000374429,0.05699999746866524,25.693400006275624,0.027400004910305142,1.4607,0.009700001101009548,24.00659999693744,0.3483,21.10014,21.1875,1.3761,0.2395,0.188,25.67550000094343
16,8.846299999277107,0.05339999916031957,8.792900000116788,0.030199997127056122,1.2539,0.010000003385357559,7.355599998845719,0.3217,4.18715,4.2255,1.459,0.0087,0.0,8.775199996307492
17,22.631899992120452,0.036299999919719994,22.595599992200732,0.019500002963468432,0.8279,0.005199995939619839,21.561000001383945,0.5803,19.52245,19.2224,0.9817,0.1665,0.3005,22.5471000012476
18,16.088000003946945,0.03670000296551734,16.051300000981428,0.0315000070258975,1.392,0.0042000028770416975,14.390600001206622,0.798,7.95065,7.4336,5.8523,0.0233,0.0,16.013899992685765
19,25.78949999588076,0.09099999442696571,25.698500001453795,0.051399998483248055,2.918,0.00650000583846122,22.40170000004582,1.2154,16.32119,15.7134,3.4535,0.8765,0.4321,25.66310000838712
20,24.965200005681254,0.10760000441223383,24.85760000126902,0.051700000767596066,2.7649,0.007499998901039362,21.817699991515838,0.4654,19.50786,18.5735,0.7372,0.3419,0.2418,24.80179999838583
21,26.589199987938628,0.05029999010730535,26.538899997831322,0.028700000257231295,2.1082,0.004999994416721165,24.232700001448393,0.4084,21.98062,21.4009,0.6643,0.2923,0.418,26.523299995460548
22,7.154899998567998,0.05779998900834471,7.097100009559654,0.03020001167897135,0.9861,0.0030999945010989904,5.90570000349544,0.3207,3.893,3.9438,1.1271,0.0085,0.0,7.085899997036904
23,152.20830000180285,0.035299992305226624,152.17300000949763,0.03789999755099416,0.9079,0.0048000074457377195,151.0681000072509,0.2849,148.44085,148.7772,0.999,0.1867,0.2649,152.13430000585504
24,8.113200005027466,0.03770001058001071,8.075499994447455,0.0219999928958714,1.4648,0.005399997462518513,6.413299997802824,0.2473,4.70717,4.7525,0.4119,0.2147,0.2052,8.060100008151494
25,28.76960000139661,0.05099999543745071,28.71860000595916,0.029300004825927317,0.825,0.0032999960239976645,27.713200004654936,0.25,25.62293,25.859,0.5679,0.2527,0.2638,28.70450000045821
26,15.645799998310395,0.03860000288113952,15.607199995429255,0.022299995180219412,7.4144,0.0092999980552122,7.975600005011074,0.5252,5.35498,5.3353,0.4802,0.1792,0.1357,15.571500000078231
27,23.894599988125265,0.03239999932702631,23.86219998879824,0.018100006855092943,1.3994,0.005699999746866524,22.27359999960754,0.3161,20.42763,20.1387,0.5457,0.314,0.2307,23.846799987950362
28,7.349299994530156,0.052799994591623545,7.296499999938533,0.031100003980100155,1.3797,0.0035999983083456755,5.74189999315422,0.937,4.36552,3.8532,0.3022,0.1824,0.1323,7.283899991307408
29,24.744800000917166,0.03429999924264848,24.710500001674518,0.02440001117065549,2.4673,0.0035999983083456755,22.070399994845502,0.2704,20.84294,20.2999,0.3305,0.1455,0.1325,24.67410000099335
30,4054.8848000034923,0.029100003303028643,4054.8557000001892,0.016099991626106203,0.8338,0.0039000005926936865,4053.844800000661,1423.4956,4044.88837,1.0945,0.2599,0.1288,0.0929,4054.8479999997653
31,12.186799998744391,0.024300010409206152,12.162499988335185,0.012599994079209864,0.4441,0.004199988325126469,11.622000005445443,0.2096,10.33602,10.5813,0.2458,0.1273,0.0945,12.156199998571537
32,23.426200001267716,0.021900006686337292,23.40429999458138,0.012200005585327744,0.4838,0.003000008291564882,22.608300001593307,0.3063,20.43142,20.4655,0.602,0.3447,0.3884,23.256999993463978
33,7.736299987300299,0.06659999780822545,7.669699989492074,0.0408000050811097,1.3336,0.004999994416721165,6.172099994728342,0.9529,4.80404,4.4018,0.2484,0.1391,0.1285,7.6575999992201105
34,44.20769998978358,0.029199989512562752,44.178500000271015,0.016900012269616127,0.6891,0.004999994416721165,43.32060000160709,0.2166,41.34112,41.4395,0.5343,0.2657,0.353,44.16479999781586
35,7.4434999987715855,0.07239999831654131,7.371100000455044,0.028800001018680632,1.1706,0.006399990525096655,5.995100000291131,0.3314,4.43675,4.4952,0.2877,0.1775,0.1507,7.3312000022269785
