frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,9090572599928,9090576836681,9090576837749,9090576837789,9090576837829,9090576837869,9090576837909,9090576837949,16,42.3802,42.3675,0.01068,0.0004,0.0004,0.0004,0.0004
1,1,0,1e+08,9090577445546,9090582677475,9090582677779,9090582677827,9090582677879,9090582677927,9090582677979,9090582678171,16,52.3262,52.3193,0.00304,0.00048,0.00052,0.00048,0.00052
2,1,0,1e+08,9090583107261,9090585482052,9090585483100,9090585483148,9090585483196,9090585483244,9090585483292,9090585483340,16,23.7608,23.7479,0.01048,0.00048,0.00048,0.00048,0.00048
3,1,0,1e+08,9090585820637,9090588845974,9090588846202,9090588846254,9090588846310,9090588846362,9090588846414,9090588847018,16,30.2638,30.2534,0.00228,0.00052,0.00056,0.00052,0.00052
4,1,0,1e+08,9090589328896,9090596354390,9090596355480,9090596355610,9090596355745,9090596355880,9090596356010,9090596356140,16,70.2724,70.2549,0.0109,0.0013,0.00135,0.00135,0.0013
5,1,0,1e+08,9090596596286,9090600642365,9090600642737,9090600642805,9090600642873,9090600642941,9090600643013,9090600643105,16,40.4682,40.4608,0.00372,0.00068,0.00068,0.00068,0.00072
6,1,0,1e+08,9090600817125,9090605237863,9090605238223,9090605297883,9090605298927,9090605298999,9090605299071,9090605299143,16,44.8202,44.2074,0.0036,0.5966,0.01044,0.00072,0.00072
7,1,0,1e+08,9090605736722,9090609667973,9090609668209,9090609668241,9090609668277,9090609668313,9090609668345,9090609668389,16,39.3167,39.3125,0.00236,0.00032,0.00036,0.00036,0.00032
8,1,0,1e+08,9090609882538,9090610926325,9090610926429,9090610926501,9090610926577,9090610926653,9090610926729,9090610926805,16,10.4427,10.4379,0.00104,0.00072,0.00076,0.00076,0.00076
9,1,0,1e+08,9090611416222,9090614211385,9090614211637,9090614211673,9090614211713,9090614211749,9090614211789,9090614211941,16,27.9572,27.9516,0.00252,0.00036,0.0004,0.00036,0.0004
