frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.0638,24.7466,0.0811,0.0032,0.0776,0.063,0.0071,0.0009,17.0558,17.1328,0.0053,0,0.0001,0.0001,0,0,0,0.0423,0,0,0.0042,0,0.0001,0.0066,0.0138,0.0408,2.3601,0.0133,0,27.2309,0,545712032,2128732896,0,0,319835508,1,0,1,0,0,0,24,0
1,0.0483,11.4177,0.7993,0.0026,0.7964,0.7851,0.0075,0.0006,0.2057,0.2424,0.0045,0.0113,0.0001,0.0002,0,0,0,0.0031,0,0,0.0011,0,0.0002,0.0046,0.0086,0.0818,1.5503,0.451,0.5977,14.2936,1,545712032,2128727264,1,0,319835508,2,1,1,1,0,0,0,0
2,0.0475,7.2773,0.2923,0.0028,0.2893,0.2792,0.0066,0.0006,0.1915,0.2403,0.0042,0.0099,0.0001,0.0001,0,0,0,0.0025,0,0,0.0008,0,0.0001,0.0051,0.0076,0.0317,0.3651,0.119,0.1833,8.0738,2,545712032,2128728672,2,0,319835508,3,2,1,1,0,0,0,0
3,0.0547,20.9078,0.3337,0.0051,0.3283,0.3108,0.0129,0.0011,0.3159,0.3848,0.0072,0.0213,0.0004,0.0005,0,0,0,0.0072,0,0,0.0025,0.0001,0.0006,0.0102,0.02,0.0828,0.982,0.3126,0.2796,22.7817,3,545712032,2128735008,0,0,319835508,4,3,1,1,0,0,0,0
4,0.0403,4.0797,0.2051,0.0027,0.202,0.1936,0.0049,0.0009,0.2198,0.2652,0.0046,0.011,0.0001,0.0001,0,0,0,0.0036,0,0,0.0012,0,0.0001,0.0093,0.0177,0.0202,0.1922,0.0724,0.1347,4.5842,4,545712032,2128733600,1,0,319835508,5,4,1,1,0,0,0,0
5,0.0507,15.7717,0.0479,0.0026,0.0449,0.0366,0.004,0.0008,0.1883,0.2288,0.0041,0.011,0.0001,0,0,0,0,0.0035,0,0,0.0009,0.0001,0.0001,0.0047,0.0022,0.0772,1.0384,0.4534,0.6475,18.2182,5,545712032,2128737120,2,0,319835508,6,5,1,1,0,0,0,0
6,0.0827,18.3039,0.8876,0.005,0.8823,0.873,0.0053,0.0006,0.223,0.2643,0.0047,0.0106,0.0003,0.0001,0,0,0,0.0036,0,0,0.0008,0,0.0001,0.0056,0.0099,0.0382,0.4656,0.1984,0.1502,19.3222,6,545712032,2128729376,0,0,319835508,7,6,1,1,0,0,0,0
7,0.0398,20.6046,0.2437,0.0024,0.241,0.1919,0.015,0.0016,0.2953,0.3445,0.007,0.0118,0.0003,0.0002,0,0,0,0.003,0,0,0.0017,0.0001,0.0003,0.0097,0.0174,0.0203,0.1967,0.0689,0.06,21.0288,7,545712032,2128735712,1,0,319835508,8,7,1,1,0,0,0,0
8,0.0493,5.725,0.8258,0.0049,0.8207,0.8071,0.0094,0.0009,0.1927,0.2237,0.0043,0.0089,0.0001,0.0001,0,0,0,0.0023,0,0,0.0009,0,0.0001,0.0046,0.0087,0.0174,0.1528,0.0721,0.0699,6.1267,0,545712032,2128732896,2,0,319835508,9,8,1,1,0,0,0,0
9,0.0543,9.0049,0.288,0.0028,0.285,0.2777,0.0039,0.0008,0.176,0.2092,0.0037,0.0089,0.0001,0.0001,0,0,0,0.0024,0,0,0.0009,0,0.0001,0.0048,0.0024,0.0258,0.2427,0.0823,0.081,9.5305,1,545712032,2128727264,0,0,319835508,10,9,1,1,0,0,0,0
