frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,9643398193801,9643399159579,9643399160419,9643399160463,9643399160507,9643399224459,9643399304419,9643399304443,16,11.1064,9.65778,0.0084,0.00044,0.00044,0.63952,0.7996
1,1,0,1e+08,9643402366277,9643402825419,9643402826154,9643402891344,9643402891494,9643402907789,9643403322572,9643403323392,16,9.57115,4.59142,0.00735,0.6519,0.0015,0.16295,4.14783
2,1,0,1e+08,9643406529757,9643406975986,9643406976242,9643407001462,9643407001574,9643407008750,9643407188309,9643407188357,16,6.586,4.46229,0.00256,0.2522,0.00112,0.07176,1.79559
3,1,0,1e+08,9643410542458,9643412036445,9643412037665,9643412104035,9643412104185,9643412120596,9643412544032,9643412544857,16,20.024,14.9399,0.0122,0.6637,0.0015,0.16411,4.23436
4,1,0,1e+08,9643415827235,9643416034051,9643416035159,9643416058287,9643416058319,9643416065243,9643416178163,9643416178195,16,3.5096,2.06816,0.01108,0.23128,0.00032,0.06924,1.1292
5,1,0,1e+08,9643418832055,9643419836083,9643419836983,9643419862359,9643419862415,9643419869243,9643420297067,9643420297897,16,14.6584,10.0403,0.009,0.25376,0.00056,0.06828,4.27824
6,1,0,1e+08,9643424578246,9643424972551,9643424972756,9643425039567,9643425039717,9643425055687,9643425311649,9643425311721,16,7.33475,3.94305,0.00205,0.66811,0.0015,0.1597,2.55962
7,1,0,1e+08,9643428443347,9643429922064,9643429923119,9643429985654,9643429985789,9643430001299,9643430429359,9643430430064,16,19.8672,14.7872,0.01055,0.62535,0.00135,0.1551,4.2806
8,1,0,1e+08,9643432993508,9643433171016,9643433171040,9643433194440,9643433194460,9643433201132,9643433396986,9643433397022,16,4.03514,1.77508,0.00024,0.234,0.0002,0.06672,1.95854
9,1,0,1e+08,9643437482317,9643437811336,9643437811521,9643437872597,9643437872732,9643437888162,9643438303770,9643438303950,16,8.21633,3.29019,0.00185,0.61076,0.00135,0.1543,4.15608
10,1,0,1e+08,9643442280573,9643442459925,9643442460110,9643442521075,9643442521210,9643442532040,9643442646796,9643442646836,16,3.66263,1.79352,0.00185,0.60965,0.00135,0.1083,1.14756
11,1,0,1e+08,9643445130507,9643445238169,9643445238197,9643445292699,9643445292834,9643445308694,9643445459793,9643445459973,16,3.29466,1.07662,0.00028,0.54502,0.00135,0.1586,1.51099
12,1,0,1e+08,9643447924598,9643448068883,9643448068943,9643448093751,9643448093795,9643448102255,9643448241167,9643448241199,16,3.16601,1.44285,0.0006,0.24808,0.00044,0.0846,1.38912
13,1,0,1e+08,9643450723671,9643450887755,9643450887779,9643450910183,9643450910203,9643450916843,9643451052003,9643451052403,16,3.28732,1.64084,0.00024,0.22404,0.0002,0.0664,1.3516
14,1,0,1e+08,9643453392273,9643453600594,9643453600622,9643453623562,9643453623582,9643453630726,9643453783381,9643453783413,16,3.9114,2.08321,0.00028,0.2294,0.0002,0.07144,1.52655
15,1,0,1e+08,9643456931553,9643457123451,9643457123511,9643457153667,9643457153775,9643457161827,9643457297891,9643457298559,16,3.67006,1.91898,0.0006,0.30156,0.00108,0.08052,1.36064
16,1,0,1e+08,9643461076149,9643461241981,9643461242121,9643461264245,9643461264289,9643461271981,9643461386613,9643461386657,16,3.10508,1.65832,0.0014,0.22124,0.00044,0.07692,1.14632
17,1,0,1e+08,9643463901244,9643464069805,9643464069933,9643464093049,9643464093121,9643464099269,9643464238118,9643464238306,16,3.37062,1.68561,0.00128,0.23116,0.00072,0.06148,1.38849
18,1,0,1e+08,9643466637204,9643466777644,9643466777712,9643466805904,9643466805952,9643466813808,9643467090150,9643467090198,16,4.52994,1.4044,0.00068,0.28192,0.00048,0.07856,2.76342
19,1,0,1e+08,9643471044651,9643471372483,9643471372668,9643471432816,9643471432946,9643471448341,9643471862245,9643471862425,16,8.17774,3.27832,0.00185,0.60148,0.0013,0.15395,4.13904
20,1,0,1e+08,9643474338851,9643474480619,9643474480991,9643474514587,9643474514659,9643474523419,9643474860905,9643474860953,16,5.22102,1.41768,0.00372,0.33596,0.00072,0.0876,3.37486
21,1,0,1e+08,9643477477378,9643477705833,9643477706018,9643477767754,9643477767889,9643477783614,9643477933891,9643477934023,16,4.56645,2.28455,0.00185,0.61736,0.00135,0.15725,1.50277
22,1,0,1e+08,9643480481910,9643480663731,9643480663827,9643480697395,9643480697467,9643480707035,9643481022650,9643481022718,16,5.40808,1.81821,0.00096,0.33568,0.00072,0.09568,3.15615
23,1,0,1e+08,9643483632934,9643483918083,9643483918293,9643483982189,9643483982339,9643483999189,9643484427828,9643484428118,16,7.95184,2.85149,0.0021,0.63896,0.0015,0.1685,4.28639
24,1,0,1e+08,9643487827397,9643487947165,9643487947193,9643487965417,9643487965473,9643487971269,9643488080813,9643488080845,16,2.53448,1.19768,0.00028,0.18224,0.00056,0.05796,1.09544
25,1,0,1e+08,9643490680906,9643490873546,9643490873841,9643490937891,9643490938041,9643490954541,9643491369733,9643491370153,16,6.89247,1.9264,0.00295,0.6405,0.0015,0.165,4.15192
26,1,0,1e+08,9643495982149,9643496142230,9643496142420,9643496204276,9643496204431,9643496221411,9643496639766,9643496639911,16,6.57762,1.60081,0.0019,0.61856,0.00155,0.1698,4.18355
27,1,0,1e+08,9643500243031,9643500410115,9643500410151,9643500442973,9643500443108,9643500459018,9643500872688,9643500872988,16,6.29957,1.67084,0.00036,0.32822,0.00135,0.1591,4.1367
28,1,0,1e+08,9643503337694,9643503471070,9643503471106,9643503494074,9643503494098,9643503501410,9643503615162,9643503615198,16,2.77504,1.33376,0.00036,0.22968,0.00024,0.07312,1.13752
29,1,0,1e+08,9643507732593,9643507857070,9643507857134,9643507881918,9643507881966,9643507889842,9643508019627,9643508020195,16,2.87602,1.24477,0.00064,0.24784,0.00048,0.07876,1.29785
30,1,0,1e+08,9643512077442,9643512469101,9643512469306,9643549260074,9643549260910,9643549269974,9643550131815,9643550131950,16,380.545,3.91659,0.00205,367.908,0.00836,0.09064,8.61841
31,1,0,1e+08,9643667803986,9643668197350,9643668197555,9643668264664,9643668264869,9643668283769,9643668530733,9643668531345,16,7.27359,3.93364,0.00205,0.67109,0.00205,0.189,2.46964
32,1,0,1e+08,9643671708355,9643671905411,9643671905596,9643671966579,9643671966714,9643671981679,9643672397847,9643672398032,16,6.89677,1.97056,0.00185,0.60983,0.00135,0.14965,4.16168
33,1,0,1e+08,9643676553503,9643676804430,9643676804635,9643676867792,9643676867947,9643676884787,9643677273941,9643677274041,16,7.20538,2.50927,0.00205,0.63157,0.00155,0.1684,3.89154
34,1,0,1e+08,9643681653918,9643681857043,9643681857233,9643681918273,9643681918403,9643681933568,9643682349280,9643682349410,16,6.95492,2.03125,0.0019,0.6104,0.0013,0.15165,4.15712
35,1,0,1e+08,9643685101170,9643685289002,9643685289070,9643685314818,9643685314886,9643685322618,9643685428518,9643685428562,16,3.27392,1.87832,0.00068,0.25748,0.00068,0.07732,1.059
36,1,0,1e+08,9643687941662,9643688076822,9643688076874,9643688101186,9643688101258,9643688108454,9643688213390,9643688213418,16,2.71756,1.3516,0.00052,0.24312,0.00072,0.07196,1.04936
37,1,0,1e+08,9643690774440,9643690958516,9643690958580,9643690984092,9643690984160,9643690991368,9643691105628,9643691105668,16,3.31228,1.84076,0.00064,0.25512,0.00068,0.07208,1.1426
