frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.0944,34.1065,0.1701,0.0075,0.1622,0.1415,0.0077,0.002,8.7741,8.8839,0.0067,0,0.0006,0.0003,0,0,0,0.058,0,0,0.0098,0.0001,0.0004,0.0152,0.0131,0.0629,2.9006,0.0166,0,37.1894,0,91783008,1169286944,0,0,378072108,1,0,1,0,0,0,24,0
1,0.0487,25.0865,0.4406,0.0045,0.4359,0.4285,0.0036,0.0007,0.2139,0.2632,0.0055,0.0147,0.0002,0.0001,0,0,0,0.0029,0,0,0.0018,0,0.0001,0.0059,0.0071,0.022,0.4601,0.1622,0.3497,26.271,1,91783008,1169278496,1,0,378072108,2,1,1,1,0,0,0,0
2,0.0547,25.7341,4.5529,0.0026,4.5498,4.5285,0.0161,0.0015,0.3011,0.3988,0.0076,0.0327,0.0008,0.0009,0,0,0,0.0064,0,0,0.0148,0.0001,0.001,0.0131,0.0324,0.0328,0.4086,0.1335,0.2095,26.7181,2,91783008,1624797664,2,0,378072108,3,2,1,1,0,0,0,0
3,0.0602,21.6831,0.6035,0.0049,0.5983,0.5879,0.0064,0.001,0.2211,0.2915,0.0064,0.0285,0.0005,0.0001,0,0,0,0.0035,0,0,0.002,0.0001,0.0002,0.0083,0.0177,0.0184,0.1746,0.0662,0.1492,22.2173,3,91783008,1624810336,0,0,378072108,4,3,1,1,0,0,0,0
4,0.0636,12.5661,0.0874,0.0035,0.0835,0.0721,0.006,0.0019,0.2372,0.2767,0.0043,0.0127,0.0001,0,0,0,0,0.0029,0,0,0.0017,0,0,0.0048,0.0032,0.0215,0.2139,0.0861,0.0828,13.1178,4,91783008,1624808224,1,0,378072108,5,4,1,1,0,0,0,0
5,0.0547,28.5252,4.5394,0.0029,4.5361,4.5166,0.0139,0.0015,0.313,0.405,0.0104,0.0333,0.0003,0.0002,0,0,0,0.0056,0,0,0.004,0.0001,0.0003,0.0123,0.0251,0.0302,0.3738,0.1871,0.1242,29.4521,5,91783008,1624800480,2,0,378072108,6,5,1,1,0,0,0,0
6,0.0524,25.2661,4.4857,0.0026,4.4828,4.4686,0.0089,0.0013,0.2951,0.3601,0.0078,0.0197,0.0009,0.0003,0,0,0,0.004,0,0,0.0044,0.0001,0.0004,0.0117,0.0234,0.0215,0.213,0.1123,0.2035,25.9858,6,91783008,1624806816,0,0,378072108,7,6,1,1,0,0,0,0
7,0.0553,26.2301,0.6681,0.0044,0.6634,0.6025,0.009,0.001,0.2456,0.3183,0.0082,0.0303,0.0004,0.0004,0,0,0,0.0039,0,0,0.0037,0,0.0004,0.0098,0.0171,0.0217,0.2025,0.0912,0.1458,26.8406,7,91783008,1624811040,1,0,378072108,8,7,1,1,0,0,0,0
8,0.0415,21.3134,5.1151,0.0026,5.1122,5.0918,0.0154,0.0014,0.3392,0.4742,0.0144,0.0497,0.0006,0.0004,0,0,0,0.0069,0,0,0.0182,0,0.0004,0.0138,0.02,0.029,0.3321,0.1569,0.1286,22.1346,0,91783008,1169286944,2,0,378072108,9,8,1,1,0,0,0,0
9,0.0508,20.5725,8.125,0.003,8.1216,8.0428,0.0661,0.005,1.1609,1.3099,0.0225,0.0408,0.0006,0.0007,0,0,0,0.0085,0,0,0.0084,0.0003,0.001,0.0258,0.0338,0.0223,0.2409,0.1176,0.13,21.2476,1,91783008,1169278496,0,0,378072108,10,9,1,1,0,0,0,0
