frame,frame_total_ms,producer_ms,consumer_ms,inter_frame_gap_ms,p_Telemetry/frame_data,p_compose_overlay,p_above_total,p_above_compose,p_above_region_to_bytes,p_above_region_upload,p_map_cpu_upload,p_PIL/buffer preparation,p_chart_cpu_tobytes,p_chart_dynamic_tobytes,p_gauge_tobytes,c_MF ReadSample/decode availability,c_consumer_upload,c_consumer_native_call,c_VideoProcessor CPU submit,c_VideoProcessor GPU completion,c_GPU wait/synchronization,c_AMF submit/backpressure,c_AMF QueryOutput,c_Packet write,c_pipeline_total,p_HUD dirty extract
0,864.6917000005487,432.40099999820814,432.2907000023406,0.0,0.02269999822601676,22.228800007724203,55.083200000808574,42.75019999477081,12.211799999931827,42.782100004842505,2.779499991447665,64.18380000104662,0.0,0.0,0.0,326.1223,68.06730000243988,37.25979999580886,8.8839,31.94687,25.035,2.9674,0.0166,0.0,432.2554000100354,
1,135.00629999907687,100.7071000058204,34.29919999325648,0.02609999501146376,0.04470000567380339,17.51610000792425,56.72649999905843,37.01149999687914,19.6091000107117,5.537200006074272,4.702099991845898,2.1607999951811507,0.0,0.0,0.0,0.4874,7.293799993931316,26.295999996364117,0.2632,23.87806,24.3732,0.4835,0.1622,0.3497,34.27360000205226,2.0220000005792826
2,85.99789999425411,53.265700000338256,32.732199993915856,0.016300007700920105,0.025200002710334957,10.190699991653673,34.17190001346171,22.089299993240274,11.984500015387312,3.6420000105863437,2.16540000110399,1.1045999999623746,0.0,0.0,0.0,0.4362,5.1623999897856265,26.74950000073295,0.3988,20.33795,20.7459,0.4432,0.1335,0.2095,32.58089999144431,1.02530000731349
3,94.25779999583028,63.20729998697061,31.05050000885967,0.03020001167897135,0.0627999979769811,7.128600002033636,47.35180002171546,36.67350001342129,10.582100003375672,1.5260000072885305,2.1261999936541542,1.1162000009790063,0.0,0.0,0.0,0.6968,7.9677000030642375,22.235800002817996,0.2915,20.47297,20.7662,0.1937,0.0662,0.1492,31.02940000826493,1.0603999980958179
4,67.53430000389926,44.22840000188444,23.305900002014823,0.01479999627918005,0.022299995180219412,3.356300003360957,31.971200020052493,21.59270000993274,10.289300000295043,1.7333000141661614,2.0952000049874187,1.1592999944696203,0.0,0.0,0.0,0.457,9.527599991997704,13.156200002413243,0.2767,11.62524,12.1964,0.2362,0.0861,0.0828,23.284399998374283,1.1011000024154782
5,90.56060000148136,54.38639999192674,36.174200009554625,0.017099999240599573,0.028099995688535273,3.450499993050471,32.859900005860254,22.586400009458885,10.179999997490086,4.145800005062483,6.808199992519803,3.988900003605522,0.0,0.0,0.0,0.8154,5.573900009039789,29.48389999801293,0.405,23.30071,23.5504,0.4058,0.1871,0.1242,36.08810000878293,3.6331999872345477
6,91.43369999947026,59.15499999537133,32.27870000409894,0.04400000034365803,0.05909999890718609,5.709500008379109,44.5017000020016,33.87539999675937,10.53410000167787,3.939600006560795,2.3065999994287267,1.132100005634129,0.0,0.0,0.0,0.8275,5.283100006636232,26.00929999607615,0.3601,19.95901,20.392,0.2356,0.1123,0.2035,32.2572000004584,1.0732999944593757
7,84.36520000395831,47.78989999613259,36.57530000782572,0.02059999678749591,0.027699992642737925,5.849499997566454,33.26329999254085,22.3998000001302,10.754499991890043,2.621999999973923,2.3409999994328246,1.0641999979270622,0.0,0.0,0.0,0.5237,9.038599993800744,26.86080000421498,0.3183,24.88666,25.2245,0.225,0.0912,0.1458,36.5555000025779,1.0077000042656437
8,70.57799999893177,45.17240000132006,25.405599997611716,0.016699996194802225,0.02379999205004424,4.688400003942661,31.814800007850863,21.27240000118036,10.445500010973774,1.6712000069674104,2.005899994401261,1.1900999961653724,0.0,0.0,0.0,0.4923,2.518599998438731,22.16059999773279,0.4742,15.27092,15.6991,0.3627,0.1569,0.1286,25.35110000462737,1.1326999956509098
9,71.68459999957122,47.06369999621529,24.620900003355928,0.023600005079060793,0.036600002204068005,6.354900004225783,32.12540000095032,21.981500001857057,10.049599994090386,1.6516000032424927,2.0361000060802326,1.1747999960789457,0.0,0.0,0.0,0.5478,2.6332000124966726,21.268299999064766,1.3099,10.77214,11.0995,0.2648,0.1176,0.13,24.59899999666959,1.1192999954801053
