frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,9653565539134,9653568070621,9653568070881,9653568070917,9653568070957,9653568320273,9653568733405,9653568733433,16,31.943,25.3149,0.0026,0.00036,0.0004,2.49316,4.13132
1,1,0,1e+08,9653580012421,9653581979423,9653581979619,9653582047211,9653582047239,9653582064383,9653582399203,9653582399815,16,23.8739,19.67,0.00196,0.67592,0.00028,0.17144,3.3482
2,1,0,1e+08,9653588953948,9653590335363,9653590335683,9653590443075,9653590443131,9653590465735,9653590987307,9653590987347,16,20.334,13.8142,0.0032,1.07392,0.00056,0.22604,5.21572
3,1,0,1e+08,9653598415881,9653599916145,9653599916329,9653600032786,9653600032858,9653600061826,9653600462198,9653600462854,16,20.4697,15.0026,0.00184,1.16457,0.00072,0.28968,4.00372
4,1,0,1e+08,9653606040066,9653606711814,9653606712054,9653606780842,9653606780874,9653606800582,9653607202166,9653607202190,16,11.6212,6.71748,0.0024,0.68788,0.00032,0.19708,4.01584
5,1,0,1e+08,9653613862194,9653615195661,9653615196876,9653615491694,9653615491849,9653615541847,9653616191445,9653616192033,16,23.2984,13.3347,0.01215,2.94818,0.00155,0.49998,6.49598
6,1,0,1e+08,9653623359255,9653624802099,9653624803215,9653624895956,9653624896000,9653624916044,9653625354840,9653625354872,16,19.9562,14.4284,0.01116,0.92741,0.00044,0.20044,4.38796
7,1,0,1e+08,9653631302133,9653633302843,9653633303011,9653633369147,9653633369175,9653633386207,9653633789907,9653633790483,16,24.8835,20.0071,0.00168,0.66136,0.00028,0.17032,4.037
8,1,0,1e+08,9653639281433,9653640096692,9653640097336,9653640232600,9653640232656,9653640254488,9653640806965,9653640807005,16,15.2557,8.15259,0.00644,1.35264,0.00056,0.21832,5.52477
9,1,0,1e+08,9653646909179,9653647462069,9653647462125,9653647551733,9653647551777,9653647571825,9653647984437,9653647985037,16,10.7586,5.5289,0.00056,0.89608,0.00044,0.20048,4.12612
