frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.059,33.1406,0.0743,0.003,0.071,0.0571,0.0096,0.001,24.8058,24.8929,0.0091,0,0.0003,0.0003,0,0,0,0.0392,0,0,0.0078,0.0001,0.0004,0.0131,0.0165,0.0699,2.6979,0.011,0,35.9871,0,91790048,1624804000,0,0,319835508,1,0,1,0,0,0,24,0
1,0.044,7.3829,0.7876,0.0023,0.785,0.7744,0.0068,0.001,0.1767,0.2201,0.0046,0.0133,0.0001,0.0002,0,0,0,0.0031,0,0,0.0011,0,0.0002,0.0054,0.0102,0.024,0.5459,0.1561,0.2739,8.5165,1,91790048,1624811744,1,0,319835508,2,1,1,1,0,0,0,0
2,0.0673,18.7382,0.0917,0.0037,0.0875,0.0772,0.0052,0.0015,0.1976,0.2343,0.0037,0.0121,0.0004,0.0001,0,0,0,0.0026,0,0,0.0009,0,0.0001,0.0046,0.0041,0.0768,0.9641,0.345,0.4124,20.7842,2,91790048,1624804704,2,0,319835508,3,2,1,1,0,0,0,0
3,0.0371,13.9892,0.8278,0.0026,0.825,0.815,0.0064,0.0007,0.1758,0.2152,0.0053,0.0135,0.0002,0.0003,0,0,0,0.0029,0,0,0.0011,0,0.0003,0.0043,0.0092,0.0169,0.1869,0.0609,0.1309,14.4766,3,91790048,1624808928,0,0,319835508,4,3,1,1,0,0,0,0
4,0.0457,12.9438,0.8619,0.0025,0.8591,0.8448,0.0096,0.0012,0.2432,0.2921,0.0069,0.0145,0.0002,0.0001,0,0,0,0.004,0,0,0.0018,0.0001,0.0002,0.0075,0.0126,0.0165,0.1621,0.0646,0.0499,13.3287,4,91790048,1624800480,1,0,319835508,5,4,1,1,0,0,0,0
5,0.0416,19.6119,0.7355,0.0025,0.7328,0.7227,0.0064,0.0007,0.1702,0.2003,0.0036,0.0097,0.0002,0.0001,0,0,0,0.0025,0,0,0.001,0.0001,0.0002,0.0038,0.0071,0.0846,0.9533,0.3336,0.1995,21.4147,5,91790048,1624797664,2,0,319835508,6,5,1,1,0,0,0,0
6,0.0393,17.8426,0.755,0.0023,0.7524,0.7432,0.006,0.0007,0.1623,0.1947,0.0038,0.0103,0.0002,0.0001,0,0,0,0.0026,0,0,0.0012,0,0.0001,0.004,0.0078,0.0158,0.1616,0.0621,0.0577,18.2288,6,91790048,1624799072,0,0,319835508,7,6,1,1,0,0,0,0
7,0.0466,14.1733,0.8366,0.0044,0.8319,0.7791,0.006,0.0005,0.1797,0.218,0.0045,0.0143,0.0008,0.0002,0,0,0,0.003,0,0,0.0011,0,0.0002,0.0045,0.0101,0.0183,0.1871,0.0618,0.1194,14.6524,7,91790048,1624801184,1,0,319835508,8,7,1,1,0,0,0,0
8,0.0382,4.7292,0.7393,0.0021,0.7369,0.7274,0.0059,0.0005,0.1261,0.1569,0.0035,0.0104,0.0002,0.0001,0,0,0,0.0021,0,0,0.0009,0,0.0001,0.0041,0.0072,0.0181,0.1534,0.074,0.0733,5.1526,0,91790048,1624804000,2,0,319835508,9,8,1,1,0,0,0,0
9,0.0476,4.0813,0.1961,0.0026,0.1933,0.1864,0.0039,0.0009,0.1267,0.1542,0.0032,0.008,0.0001,0.0001,0,0,0,0.0023,0,0,0.0011,0,0.0001,0.0038,0.005,0.0174,0.1821,0.0782,0.0716,4.5346,1,91790048,1624811744,0,0,319835508,10,9,1,1,0,0,0,0
10,0.0595,6.2859,0.2211,0.0026,0.2178,0.2068,0.0068,0.0008,0.2084,0.2619,0.0064,0.0103,0.0002,0.0001,0,0,0,0.0032,0,0,0.0016,0.0001,0.0002,0.0073,0.0076,0.0206,0.1792,0.0876,0.0723,6.7618,2,91790048,1624804704,1,0,319835508,11,10,1,1,0,0,0,0
11,0.0548,5.4494,0.6754,0.0053,0.6698,0.6634,0.0027,0.0009,0.1247,0.1511,0.0029,0.0081,0.0001,0.0001,0,0,0,0.0024,0,0,0.0009,0,0.0001,0.0035,0.0018,0.0184,0.1685,0.0798,0.0651,5.8906,3,91790048,1624808928,2,0,319835508,12,11,1,1,0,0,0,0
12,0.0499,5.0404,0.8808,0.0049,0.8751,0.8652,0.006,0.0006,0.1419,0.1756,0.0035,0.0109,0.0002,0.0002,0,0,0,0.0036,0,0,0.001,0,0.0002,0.0042,0.0089,0.0176,0.1649,0.0732,0.0702,5.4686,4,91790048,1624800480,0,0,319835508,13,12,1,1,0,0,0,0
