frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.0703,24.529,0.1318,0.0048,0.1266,0.1146,0.0062,0.0013,19.6804,19.7136,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0.0179,0.0116,0.0393,2.0712,0.0079,0,26.7237,0,91792160,1624808224,0,0,319835508,1,0,1,0,0,0,24,0
1,0.0431,8.4779,0.3198,0.0025,0.317,0.3076,0.0062,0.0007,0.1859,0.2148,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0.0124,0.0093,0.0568,1.3482,0.3342,0.761,11.2628,1,91792160,1624804000,1,0,319835508,2,1,1,1,0,0,0,0
2,0.0451,9.5354,0.2627,0.0027,0.2596,0.2487,0.0077,0.0009,0.1914,0.2256,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0.0165,0.0104,0.0339,0.2093,0.0666,0.1461,10.0774,2,91792160,1624804704,2,0,319835508,3,2,1,1,0,0,0,0
3,0.0496,5.7045,0.3022,0.0047,0.2974,0.2863,0.008,0.0006,0.1556,0.1824,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.0117,0.009,0.03,0.2386,0.0755,0.0672,6.2223,3,91792160,1624801888,0,0,319835508,4,3,1,1,0,0,0,0
4,0.0374,12.8357,0.2166,0.0025,0.2138,0.2038,0.0067,0.0007,0.1493,0.1767,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0.0112,0.0062,0.0324,0.1651,0.0568,0.1364,13.3217,4,91792160,1624803296,1,0,319835508,5,4,1,1,0,0,0,0
5,0.05,12.4307,0.3151,0.0049,0.31,0.3001,0.0064,0.0006,0.1617,0.1898,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0.0114,0.008,0.0222,0.1949,0.0625,0.0554,12.8564,5,91792160,1624796960,2,0,319835508,6,5,1,1,0,0,0,0
6,0.0482,13.4512,0.2552,0.0028,0.2521,0.2404,0.0084,0.0006,0.1657,0.1919,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0.0116,0.0071,0.0221,0.164,0.0583,0.0598,13.8527,6,91792160,1624799072,0,0,319835508,7,6,1,1,0,0,0,0
7,0.0816,15.1349,0.3849,0.0048,0.3798,0.3246,0.0072,0.0008,0.1678,0.1921,0.0035,0,0,0,0,0,0,0,0,0,0,0,0,0.0112,0.0075,0.025,0.2341,0.0652,0.109,15.6983,7,91792160,1624806816,1,0,319835508,8,7,1,1,0,0,0,0
8,0.0518,3.1584,0.3557,0.0049,0.3505,0.3313,0.0146,0.0012,0.1932,0.2298,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0.0161,0.0317,0.0275,0.2935,0.1053,0.2027,3.9334,0,91792160,1624808224,2,0,319835508,9,8,1,1,0,0,0,0
9,0.041,2.9392,0.2309,0.003,0.2277,0.2167,0.0078,0.0007,0.1392,0.1629,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0.0098,0.0067,0.0245,0.1805,0.0849,0.0828,3.4203,1,91792160,1624804000,0,0,319835508,10,9,1,1,0,0,0,0
10,0.04,2.5933,0.2575,0.0026,0.2547,0.2441,0.0069,0.0009,0.137,0.1619,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0.0105,0.0079,0.019,0.1496,0.074,0.0597,2.9785,2,91792160,1624804704,1,0,319835508,11,10,1,1,0,0,0,0
11,0.0532,2.8358,0.3154,0.005,0.3101,0.3004,0.0062,0.0006,0.1337,0.1562,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.0068,0.0626,3.3375,0.0282,0,6.3286,3,91792160,1624801888,2,0,319835508,12,10,1,0,0,0,24,0
12,0.0492,4.6694,0.261,0.0031,0.2576,0.2496,0.0045,0.0012,0.1491,0.18,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,0.0096,0.0227,0.467,0.1005,0.0915,5.4603,4,91792160,1624803296,0,0,319835508,13,11,1,1,0,0,0,0
13,0.0407,5.6049,0.3333,0.0029,0.33,0.3192,0.0073,0.0008,0.169,0.2005,0.0045,0,0,0,0,0,0,0,0,0,0,0,0,0.0141,0.0096,0.1026,1.9449,0.6379,0.35,9.3447,5,91792160,1624796960,1,0,319835508,14,12,1,1,0,0,0,0
14,0.0497,8.4252,0.4439,0.0032,0.4403,0.4284,0.0075,0.0013,0.1979,0.2312,0.0051,0,0,0,0,0,0,0,0,0,0,0,0,0.0144,0.0112,0.1208,1.5407,0.7328,0.3732,11.6783,6,91792160,1624799072,2,0,319835508,15,13,1,1,0,0,0,0
