frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.1403,24.1589,0.1313,0.0031,0.1277,0.1163,0.0039,0.0016,6.062,6.1008,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0.0181,0.0146,0.171,3.2076,0.0133,0,27.703,0,91792160,1624812448,0,0,378072108,1,0,1,0,0,0,24,0
1,0.0405,23.4324,0.0628,0.0024,0.0602,0.0499,0.007,0.0008,0.1522,0.1763,0.0035,0,0,0,0,0,0,0,0,0,0,0,0,0.0111,0.0037,0.0322,0.5308,0.1674,0.3301,24.6576,1,91792160,1624805408,1,0,378072108,2,1,1,1,0,0,0,0
2,0.0954,23.3123,1.0351,0.0033,1.0313,1.0083,0.0156,0.002,0.3107,0.3648,0.0082,0,0,0,0,0,0,0,0,0,0,0,0,0.0234,0.017,0.0392,0.3086,0.0865,0.1963,24.091,2,91792160,1624799072,2,0,378072108,3,2,1,1,0,0,0,0
3,0.0647,20.9978,0.7206,0.0025,0.7179,0.707,0.0064,0.0009,0.174,0.2092,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.0134,0.0114,0.0244,0.2075,0.0669,0.136,21.5475,3,91792160,1624806112,0,0,378072108,4,3,1,1,0,0,0,0
4,0.0509,19.2674,0.6512,0.0049,0.646,0.6376,0.0043,0.0009,0.1378,0.1625,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.0077,0.0306,0.1996,0.0702,0.1373,19.8083,4,91792160,1624804000,1,0,378072108,5,4,1,1,0,0,0,0
5,0.0543,21.6849,0.6655,0.0024,0.6628,0.6342,0.0088,0.0013,0.2242,0.2611,0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0.0164,0.0103,0.0261,0.1768,0.0723,0.0747,22.1378,5,91792160,1624803296,2,0,378072108,6,5,1,1,0,0,0,0
6,0.1103,25.1532,1.6639,0.0089,1.6545,1.6318,0.0144,0.0016,0.2888,0.3358,0.0079,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0133,0.0502,0.5379,0.2902,0.356,26.685,6,91792160,1624811744,0,0,378072108,7,6,1,1,0,0,0,0
7,0.0419,18.9832,0.6279,0.0031,0.6246,0.5901,0.0049,0.0014,0.158,0.1931,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0.0148,0.0102,0.0824,0.9711,0.6071,0.3454,21.3276,7,91792160,1624801184,1,0,378072108,8,7,1,1,0,0,0,0
8,0.0445,18.5312,0.6442,0.0025,0.6415,0.6324,0.0053,0.001,0.134,0.1581,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0.0098,0.0028,0.0237,0.2174,0.0963,0.0924,19.0906,0,91792160,1624812448,2,0,378072108,9,8,1,1,0,0,0,0
9,0.0478,15.4479,0.9558,0.0031,0.9521,0.9336,0.0139,0.0012,0.2153,0.2523,0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0.0168,0.0119,0.0317,0.2815,0.1972,0.1201,16.2812,1,91792160,1624805408,0,0,378072108,10,9,1,1,0,0,0,0
