frame,frame_total_ms,producer_ms,consumer_ms,inter_frame_gap_ms,p_Telemetry/frame_data,p_compose_overlay,p_above_total,p_above_compose,p_above_region_to_bytes,p_map_cpu_upload,p_PIL/buffer preparation,p_chart_cpu_tobytes,p_chart_dynamic_tobytes,p_gauge_tobytes,c_MF ReadSample/decode availability,c_consumer_upload,c_consumer_native_call,c_VideoProcessor CPU submit,c_VideoProcessor GPU completion,c_GPU wait/synchronization,c_AMF submit/backpressure,c_AMF QueryOutput,c_Packet write,c_pipeline_total,p_HUD dirty extract
0,412.64930000761524,83.08510000642855,329.5642000011867,0.0,0.014199991710484028,51.8341999995755,0.0,0.0,0.0,0.008300004992634058,31.146500012255274,0.0,0.0,0.0,258.5545,42.99200000241399,27.74910000152886,6.1008,21.32276,17.9059,3.3837,0.0133,0.0,329.5444000104908,
1,45.64640000171494,17.360300000291318,28.28610000142362,0.018999999156221747,0.02099999983329326,12.563600001158193,0.0,0.0,0.0,0.008899995009414852,3.1986999965738505,0.0,0.0,0.0,0.3425,3.040000010514632,24.689199999556877,0.1763,21.97785,23.1871,0.5646,0.1674,0.3301,28.270499999052845,3.15950000367593
2,46.06229999626521,18.391899997368455,27.670399998896755,0.01479999627918005,0.01780000457074493,13.715599998249672,0.0,0.0,0.0,0.011099997209385037,4.180500007350929,0.0,0.0,0.0,0.4988,2.6882999954978004,24.133099999744445,0.3648,21.23897,21.8897,0.3494,0.0865,0.1963,27.547899997443892,4.140499993809499
3,41.974100007792,18.2282000023406,23.745900005451404,0.02479999966453761,0.02950000634882599,14.455299999099225,0.0,0.0,0.0,0.0092999980552122,3.268399988883175,0.0,0.0,0.0,0.3608,1.6804000042611733,21.567400006460957,0.2092,19.46381,20.0521,0.2329,0.0669,0.136,23.729799999273382,3.233999988879077
4,37.77559999434743,15.558900005999021,22.21669998834841,0.014899997040629387,0.0185999961104244,11.513599994941615,0.0,0.0,0.0,0.008000002708286047,3.5250999935669824,0.0,0.0,0.0,0.4528,1.7807999975048006,19.831000012345612,0.1625,17.844,18.4431,0.231,0.0702,0.1373,22.19729998614639,3.4890999959316105
5,40.588499992736615,15.707200000179,24.881299992557615,0.014800010831095278,0.017700003809295595,11.564999993424863,0.0,0.0,0.0,0.008999995770864189,3.672000006190501,0.0,0.0,0.0,0.7409,1.8031000072369352,22.15829999477137,0.2611,20.29785,20.7453,0.2041,0.0723,0.0747,24.84569999796804,3.63590000779368
6,54.64480000955518,19.68440000200644,34.96040000754874,0.013199998647905886,0.017400001524947584,11.447999990195967,0.0,0.0,0.0,0.009700001101009548,4.4572000042535365,0.0,0.0,0.0,4.2278,3.393500010133721,26.729000004706904,0.3358,22.60096,23.1339,0.5912,0.2902,0.356,34.90610000153538,4.407199987326749
7,44.24540000036359,19.835300001432188,24.4100999989314,0.04389999958220869,0.044800006435252726,15.997199996490963,0.0,0.0,0.0,0.008400005754083395,3.3147000067401677,0.0,0.0,0.0,0.8813,1.8075999978464097,21.3757000019541,0.1931,17.59488,18.1446,1.0593,0.6071,0.3454,24.361699994187802,3.278500007581897
8,43.83629999938421,21.99789999576751,21.838400003616698,0.06690000009257346,0.06790000770706683,18.156200007069856,0.0,0.0,0.0,0.007399998139590025,3.2821000058902428,0.0,0.0,0.0,0.8024,1.7311999981757253,19.115200004307553,0.1581,17.06462,17.7234,0.2425,0.0963,0.0924,21.795900000142865,3.2442999945487827
9,33.99429999990389,15.054799994686618,18.93950000521727,0.016299993149004877,0.01960000372491777,11.145299999043345,0.0,0.0,0.0,0.008200004231184721,3.4269000025233254,0.0,0.0,0.0,0.5762,1.8647999968379736,16.30630000727251,0.2523,13.63016,14.2237,0.3152,0.1972,0.1201,18.914799991762266,3.392600003280677
