frame,frame_total_ms,producer_ms,consumer_ms,inter_frame_gap_ms,p_Telemetry/frame_data,p_compose_overlay,p_above_total,p_above_compose,p_above_region_to_bytes,p_map_cpu_upload,p_PIL/buffer preparation,p_chart_cpu_tobytes,p_chart_dynamic_tobytes,p_gauge_tobytes,c_MF ReadSample/decode availability,c_consumer_upload,c_consumer_native_call,c_VideoProcessor CPU submit,c_VideoProcessor GPU completion,c_GPU wait/synchronization,c_AMF submit/backpressure,c_AMF QueryOutput,c_Packet write,c_pipeline_total,p_HUD dirty extract
0,324.4115000125021,53.139200012083165,271.2723000004189,0.0,0.015600002370774746,13.297000012244098,0.0,0.0,0.0,0.010400006431154907,9.903400001348928,0.8588000055169687,0.04950001311954111,0.0,224.7201,23.68249998835381,22.598600000492297,14.7642,8.70155,5.6065,2.0281,0.0083,0.0,271.25669999804813,
1,12.645800001337193,5.881399993086234,6.764400008250959,0.01720000000204891,0.020199993741698563,5.333599998266436,0.0,0.0,0.0,0.004599991370923817,0.018499995348975062,0.0,0.03159999323543161,0.0,0.3423,0.27709999994840473,5.951900006039068,0.2121,4.30415,4.2942,0.6698,0.1641,0.2829,6.746300001395866,0.00019998697098344564
2,37.70510001049843,17.04710000194609,20.658000008552335,0.019699989934451878,0.024100008886307478,16.789300003438257,0.0,0.0,0.0,0.007199996616691351,0.012600008631125093,0.0,0.07020001066848636,0.0,0.6652,0.8030999888433143,18.972300007590093,0.2771,17.96729,18.0062,0.2248,0.064,0.1497,20.59230000304524,0.000400003045797348
3,10.267299992847256,5.532199997105636,4.735099995741621,0.015099998563528061,0.01780000457074493,5.398699999204837,0.0,0.0,0.0,0.0046000059228390455,0.006900008884258568,0.0,0.03429999924264848,0.0,0.3238,0.218400004087016,4.073499992955476,0.2701,3.23972,3.2409,0.1917,0.0712,0.0606,4.724300000816584,0.000300002284348011
4,14.374199992744252,5.358799986424856,9.015400006319396,0.016400008462369442,0.018399994587525725,5.224699998507276,0.0,0.0,0.0,0.004399989848025143,0.006799993570894003,0.0,0.029799994081258774,0.0,0.7139,0.8055000071180984,7.3742999957175925,0.2826,6.41641,6.4039,0.2288,0.0676,0.1589,9.004200008348562,0.000200001522898674
5,11.439599998993799,5.364500000723638,6.0750999982701614,0.014699995517730713,0.0185999961104244,5.233599993516691,0.0,0.0,0.0,0.0040000013541430235,0.007499998901039362,0.0,0.032500000088475645,0.0,0.4425,0.26050000451505184,5.233899995801039,0.1891,3.8648,4.0231,0.7819,0.0062,0.0,6.043200002750382,0.000200001522898674
6,17.34940000460483,5.252100003417581,12.09730000118725,0.015199999324977398,0.018100006855092943,5.131099998834543,0.0,0.0,0.0,0.005199995939619839,0.006300004315562546,0.0,0.030100010917522013,0.0,1.1069,0.09869999485090375,10.786299986648373,0.1809,9.72477,9.8769,0.4105,0.0604,0.0532,12.087299997801892,0.000200001522898674
7,17.774399995687418,5.450500000733882,12.323899994953535,0.014200006262399256,0.019099999917671084,5.295700000715442,0.0,0.0,0.0,0.006000002031214535,0.008099988917820156,0.0,0.03479998849797994,0.0,0.466,0.4545999981928617,11.281599989160895,0.1926,10.43592,10.4617,0.2829,0.0805,0.0706,12.31210000696592,0.00029998773243278265
8,9.838199999649078,5.472899996675551,4.365300002973527,0.016200006939470768,0.019799990695901215,5.33900001028087,0.0,0.0,0.0,0.0042000028770416975,0.006599992047995329,0.0,0.032800002372823656,0.0,0.7006,0.21260000357870013,3.3167999936267734,0.1447,2.4803,2.6282,0.1718,0.0738,0.1195,4.333800010499544,0.000200001522898674
9,11.252999989665113,5.187499991734512,6.065499997930601,0.014899997040629387,0.01819999306462705,5.068899990874343,0.0,0.0,0.0,0.0039000005926936865,0.006400005077011883,0.0,0.02819999644998461,0.0,0.9274,0.07490000280085951,4.951099996105768,0.1738,3.86237,4.0662,0.2053,0.0875,0.1508,6.054700003005564,0.000200001522898674
10,13.071299996227026,5.337900001904927,7.733399994322099,0.015700003132224083,0.018300008377991617,5.211300012888387,0.0,0.0,0.0,0.0052000104915350676,0.006400005077011883,0.0,0.029199989512562752,0.0,0.9091,0.09839999256655574,6.6107000020565465,0.2333,5.71027,5.8299,0.174,0.0704,0.069,7.722499998635612,0.000100000761449337
11,12.96110000112094,5.337299997336231,7.623800003784709,0.015900004655122757,0.01850000990089029,5.21080000908114,0.0,0.0,0.0,0.0039000005926936865,0.007300011930055916,0.0,0.029700007871724665,0.0,0.507,0.27459999546408653,6.718200005707331,0.2355,5.84624,5.9662,0.1495,0.0825,0.0628,7.595800008857623,0.000200001522898674
12,13.498900007107295,5.468200004543178,8.030700002564117,0.015500001609325409,0.017300000763498247,5.33160001214128,0.0,0.0,0.0,0.0041000021155923605,0.006699992809444666,0.0,0.0388999906135723,0.0,0.5885,0.2615999983390793,7.066999998642132,0.2594,6.20733,6.2592,0.1654,0.0838,0.0621,8.019000000786036,0.000200001522898674
13,12.751600006595254,5.241000006208196,7.510600000387058,0.01549998705741018,0.01789999078027904,5.120000001625158,0.0,0.0,0.0,0.0041000021155923605,0.005800000508315861,0.0,0.027700007194653153,0.0,0.8907,0.07410001126118004,6.434599999920465,0.1599,5.58383,5.7438,0.1479,0.0837,0.0623,7.500199993955903,0.000300002284348011
