frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.0799,23.9645,0.0934,0.0049,0.0883,0.0783,0.0047,0.0013,4.1339,4.1829,0.0038,0,0.0296,0.0001,0,0,0,0,0,0,0,0,0.0001,0.0051,0.0078,0.0572,2.9765,0.0144,0,27.1014,0,1624801888,1169286944,0,0,378072108,1,0,1,0,0,0,24,0
1,0.153,25.5587,0.6027,0.0192,0.5825,0.5451,0.021,0.0062,1.0935,1.3246,0.064,0,0.0824,0.0004,0,0,0,0,0,0,0,0,0.0004,0.03,0.0255,0.0273,0.6131,0.1517,0.3505,26.9795,1,1624801888,1169278496,1,0,378072108,2,1,1,1,0,0,0,0
2,0.0418,24.6282,0.1881,0.0045,0.1833,0.1674,0.0117,0.0016,0.215,0.2709,0.0064,0,0.0286,0.0001,0,0,0,0,0,0,0,0,0.0001,0.0075,0.007,0.0919,1.5081,0.5255,1.0829,28.0849,2,1624801888,1624800480,2,0,378072108,3,2,1,1,0,0,0,0
3,0.0345,24.8159,0.1109,0.0024,0.1084,0.093,0.0118,0.001,0.1778,0.2215,0.0036,0,0.0239,0.0001,0,0,0,0,0,0,0,0,0.0001,0.0042,0.0074,0.0224,0.2205,0.0666,0.1748,25.3759,3,1624801888,1624806112,0,0,378072108,4,3,1,1,0,0,0,0
4,0.0432,17.7592,0.1751,0.0047,0.1702,0.1537,0.0112,0.002,0.1658,0.2,0.0035,0,0.0159,0,0,0,0,0,0,0,0,0,0,0.0043,0.0049,0.0295,0.2221,0.0829,0.1383,18.3338,4,1624801888,1624801184,1,0,378072108,5,4,1,1,0,0,0,0
5,0.0473,23.6622,0.1332,0.0051,0.128,0.1207,0.003,0.0014,0.2212,0.2736,0.0064,0,0.024,0.0001,0,0,0,0,0,0,0,0,0.0001,0.0078,0.0052,0.0241,0.2403,0.0763,0.1261,24.2295,5,1624801888,1624798368,2,0,378072108,6,5,1,1,0,0,0,0
6,0.0323,27.0374,0.0493,0.0022,0.0469,0.0411,0.0026,0.001,0.1235,0.1531,0.0032,0,0.0136,0,0,0,0,0,0,0,0,0,0,0.0039,0.0021,0.0261,0.294,0.1538,0.1486,27.839,6,1624801888,1624806816,0,0,378072108,7,6,1,1,0,0,0,0
7,0.0381,26.0796,0.174,0.0051,0.1688,0.1274,0.004,0.0009,0.1461,0.1785,0.0034,0,0.0153,0.0001,0,0,0,0,0,0,0,0,0.0001,0.0042,0.0061,0.0215,0.2603,0.0929,0.088,26.6469,7,1624801888,1624805408,1,0,378072108,8,7,1,1,0,0,0,0
8,0.0347,14.4656,0.1251,0.0046,0.1203,0.1137,0.0035,0.0007,0.1087,0.1385,0.0031,0,0.0128,0,0,0,0,0,0,0,0,0,0,0.0037,0.0026,0.0282,0.2997,0.1644,0.1365,15.232,0,1624801888,1169286944,2,0,378072108,9,8,1,1,0,0,0,0
9,0.0379,8.3429,0.1325,0.0046,0.1278,0.1207,0.0038,0.0006,0.121,0.1534,0.0036,0,0.0133,0.0001,0,0,0,0,0,0,0,0,0.0001,0.004,0.0031,0.0169,0.9236,0.0101,0,9.3348,1,1624801888,1169278496,0,0,378072108,10,8,1,0,0,0,24,0
