frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,2.3992,31.0962,0.1004,0.0292,0.0707,0.0635,0.0023,0.0009,10.9164,10.935,0.0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0435,2.9254,0.0132,0,36.4832,0,91785120,1624805408,0,0,378072108,1,0,1,0,0,0,24,0
1,0.0527,42.1348,0.1197,0.0026,0.1168,0.0957,0.0175,0.0009,0.1874,0.2006,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0139,0.0405,1.2886,0.3622,0.67,45.0062,1,91785120,1624812448,1,0,378072108,2,1,1,1,0,0,0,0
2,0.4132,18.0314,0.134,0.0264,0.1072,0.0944,0.0078,0.0014,0.3514,0.3718,0.0072,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0078,0.018,1.0888,0.0075,0,19.5633,2,91785120,1624806112,2,0,378072108,3,1,1,0,0,0,24,0
3,0.0399,17.0383,0.3272,0.0038,0.3232,0.0795,0.2355,0.0009,0.1463,0.1634,0.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084,0.0775,2.3011,0.2961,0.3739,20.3486,3,91785120,1624810336,0,0,378072108,4,2,1,1,0,0,0,0
4,0.4314,39.36,0.5167,0.0246,0.4915,0.1351,0.0094,0.0016,0.3212,0.3467,0.0096,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0905,0.0237,0.2617,0.0795,0.2307,40.4501,4,91785120,1624803296,1,0,378072108,5,3,1,1,0,0,0,0
5,0.1455,7.5658,0.062,0.0076,0.0541,0.0472,0.0038,0.0006,0.1434,0.1581,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0021,0.0192,0.1914,0.074,0.0743,8.1342,5,91785120,1624798368,2,0,378072108,6,4,1,1,0,0,0,0
6,0.0525,27.5834,0.0751,0.0043,0.0705,0.0538,0.0123,0.0012,0.2415,0.2616,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0068,0.0207,0.2206,0.0853,0.1426,28.1806,6,91785120,1624806816,0,0,378072108,7,5,1,1,0,0,0,0
7,0.0533,9.6546,0.132,0.0044,0.127,0.0787,0.0124,0.0012,0.2537,0.2746,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0068,0.0188,0.8496,0.0058,0,10.5862,7,91785120,1624804000,1,0,378072108,8,5,1,0,0,0,24,0
8,0.0327,39.6899,0.0535,0.003,0.0502,0.043,0.0031,0.0011,0.1386,0.1507,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034,0.0208,0.4577,0.0956,0.0865,40.4873,0,91785120,1624805408,2,0,378072108,9,6,1,1,0,0,0,0
9,0.8016,13.2459,0.4056,0.0302,0.3749,0.0971,0.0034,0.0016,0.2132,0.2386,0.0072,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0101,0.0265,0.3183,0.1878,0.1679,14.9254,1,91785120,1624812448,0,0,378072108,10,7,1,1,0,0,0,0
10,0.0481,25.9514,0.4631,0.0052,0.4576,0.102,0.3295,0.0015,0.2446,0.2645,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0098,0.051,0.7626,0.2788,0.2505,27.5172,2,91785120,1624806112,1,0,378072108,11,8,1,1,0,0,0,0
11,0.367,4.8623,0.091,0.012,0.0786,0.0577,0.0156,0.0016,0.2582,0.2825,0.0087,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.008,0.0155,0.9714,0.0056,0,6.2265,3,91785120,1624810336,2,0,378072108,12,8,1,0,0,0,24,0
12,0.2192,37.048,0.0642,0.0082,0.0556,0.0436,0.0072,0.0015,0.2094,0.2306,0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0064,0.0172,0.4615,0.0902,0.1171,38.0469,4,91785120,1624803296,0,0,378072108,13,9,1,1,0,0,0,0
13,0.6784,9.4728,0.0605,0.0075,0.0524,0.0464,0.0029,0.0008,0.1478,0.1592,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0023,0.0882,0.7386,0.4328,0.5299,12.1696,5,91785120,1624798368,1,0,378072108,14,10,1,1,0,0,0,0
14,0.357,36.4356,0.1348,0.0247,0.1096,0.0859,0.0171,0.0023,0.2897,0.3172,0.0101,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0092,0.0192,0.1895,0.1002,0.097,37.3064,6,91785120,1624806816,2,0,378072108,15,11,1,1,0,0,0,0
15,0.1495,6.2679,0.129,0.024,0.1047,0.0535,0.0109,0.0014,0.2056,0.2273,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064,0.0149,0.2077,0.0944,0.1366,6.9365,7,91785120,1624804000,0,0,378072108,16,12,1,1,0,0,0,0
16,0.1319,43.0407,0.0831,0.0198,0.0624,0.0531,0.0054,0.0012,0.2134,0.2321,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034,0.0275,0.366,0.1698,0.1234,43.9673,0,91785120,1624805408,1,0,378072108,17,13,1,1,0,0,0,0
17,0.0648,4.503,0.3019,0.0036,0.298,0.046,0.0111,0.0009,0.164,0.1824,0.0047,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0073,0.0179,0.1803,0.1034,0.1804,5.161,1,91785120,1624812448,2,0,378072108,18,14,1,1,0,0,0,0
18,0.036,41.8433,0.3869,0.0023,0.3843,0.376,0.0007,0.0009,0.1438,0.1556,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0032,0.019,0.1884,0.1007,0.1795,42.4505,2,91785120,1624806112,0,0,378072108,19,15,1,1,0,0,0,0
19,0.0414,10.8734,0.06,0.0042,0.0556,0.0461,0.0056,0.0013,0.195,0.2157,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0037,0.0418,0.5758,0.3,0.3006,12.3431,3,91785120,1624810336,1,0,378072108,20,16,1,1,0,0,0,0
20,0.262,36.4149,0.1332,0.0309,0.1019,0.0883,0.008,0.002,0.2408,0.2692,0.0087,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0061,0.0211,0.1916,0.0862,0.0926,37.1448,4,91785120,1624803296,2,0,378072108,21,17,1,1,0,0,0,0
21,0.0443,12.3981,0.0592,0.0048,0.0541,0.0442,0.0061,0.0013,0.1962,0.2174,0.0069,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.007,0.0252,0.3327,0.231,0.2021,13.4367,5,91785120,1624798368,0,0,378072108,22,18,1,1,0,0,0,0
22,0.0554,39.524,0.3726,0.0064,0.3655,0.0747,0.011,0.0012,0.2178,0.2378,0.0069,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0071,0.0196,0.1895,0.0919,0.115,40.0802,6,91785120,1624806816,1,0,378072108,23,19,1,1,0,0,0,0
23,0.0462,10.3448,0.2308,0.0048,0.2257,0.0719,0.0054,0.0012,0.1054,0.1192,0.0035,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0041,0.0349,0.4661,0.3331,0.2168,11.6407,7,91785120,1624804000,2,0,378072108,24,20,1,1,0,0,0,0
24,0.3371,34.3071,0.1123,0.0341,0.0775,0.0651,0.0072,0.001,0.1993,0.2194,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0084,0.021,0.1826,0.1069,0.1183,35.1684,0,91785120,1624805408,0,0,378072108,25,21,1,1,0,0,0,0
25,0.1822,9.0539,0.0829,0.0155,0.067,0.0598,0.0035,0.0007,0.127,0.1395,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0.016,0.1733,0.0961,0.0966,9.6915,1,91785120,1624812448,1,0,378072108,26,22,1,1,0,0,0,0
