frame,frame_total_ms,producer_ms,consumer_ms,inter_frame_gap_ms,c_MF ReadSample/decode availability,c_consumer_upload,c_consumer_native_call,c_VideoProcessor CPU submit,c_VideoProcessor GPU completion,c_GPU wait/synchronization,c_AMF submit/backpressure,c_AMF QueryOutput,c_Packet write,c_pipeline_total
0,267.7523000020301,0.018799997633323073,267.7335000043968,0.0,231.0439,0.0049000082071870565,36.513400002149865,10.935,24.84316,20.0447,2.9719,0.0132,0.0,267.724499994074
1,45.610500004841015,0.025300003471784294,45.58520000136923,0.011099997209385037,0.3822,0.0028999929782003164,45.03540000587236,0.2006,41.6367,41.7966,1.3317,0.3622,0.67,45.56620000221301
2,20.487000001594424,0.04189999890513718,20.445100002689287,0.023200002033263445,0.6279,0.007099995855242014,19.627100002253428,0.3718,17.56776,17.5058,1.1087,0.0075,0.0,20.43230000708718
3,21.12400000623893,0.029000002541579306,21.09500000369735,0.013499986380338669,0.4981,0.006000002031214535,20.388700009789318,0.1634,16.5936,16.5328,2.3835,0.2961,0.3739,21.06929999717977
4,42.003399998066016,0.06739998934790492,41.93600000871811,0.03890000516548753,1.3003,0.0050000089686363935,40.47839999839198,0.3467,38.40873,38.4018,0.2865,0.0795,0.2307,41.922600008547306
5,8.69550000061281,0.02340000355616212,8.672099997056648,0.011500000255182385,0.4036,0.003999986802227795,8.157500007655472,0.1581,7.22747,7.3417,0.2113,0.074,0.0743,8.652899996377528
6,28.83260000089649,0.02269999822601676,28.809900002670474,0.011600001016631722,0.4904,0.0045000051613897085,28.207499999552965,0.2616,27.19595,27.2371,0.2423,0.0853,0.1426,28.80070000537671
7,11.583899991819635,0.023999993572942913,11.559899998246692,0.011600001016631722,0.8309,0.0047000066842883825,10.616900006425567,0.2746,9.268,9.2383,0.8699,0.0058,0.0,11.5498000086518
8,40.98240000894293,0.023500004317611456,40.95890000462532,0.011299998732283711,0.3591,0.0023000029614195228,40.50860001007095,0.1507,39.31469,39.4799,0.4792,0.0956,0.0865,40.94829999667127
9,15.704799996456131,0.023999993572942913,15.680800002883188,0.012899996363557875,0.4938,0.0029999937396496534,14.953899997635745,0.2386,12.59918,12.5884,0.3472,0.1878,0.1679,15.575299999909475
10,28.928999992785975,0.03700000524986535,28.89199998753611,0.021200001356191933,1.1049,0.0033999967854470015,27.55280000565108,0.2645,25.43566,25.2074,0.8167,0.2788,0.2505,28.843300009611994
11,7.94809999933932,0.054800009820610285,7.8932999895187095,0.031000003218650818,1.4943,0.0043000036384910345,6.254699997953139,0.2825,4.3866,4.4781,0.989,0.0056,0.0,7.879299999331124
12,39.198900005430914,0.04099999205209315,39.15790001337882,0.01610000617802143,0.9781,0.0027999922167509794,38.069599992013536,0.2306,36.61038,36.7443,0.4804,0.0902,0.1171,39.14649999933317
13,12.992000003578141,0.02370000584051013,12.968299997737631,0.011799987987615168,0.5406,0.0024999899324029684,12.212499990710057,0.1592,9.18235,9.245,0.8315,0.4328,0.5299,12.943800000357442
14,39.280900004087016,0.06930000381544232,39.211600000271574,0.03840000135824084,1.7329,0.0042000028770416975,37.33229999488685,0.3172,35.82499,35.9712,0.2093,0.1002,0.097,39.19779999705497
15,7.678699999814853,0.023200002033263445,7.65549999778159,0.010899995686486363,0.5526,0.008400005754083395,6.972899995162152,0.2273,5.85496,5.9034,0.2236,0.0944,0.1366,7.646400001249276
16,44.68570000608452,0.02239999594166875,44.66330001014285,0.011399999493733048,0.5134,0.003100009053014219,44.0082999994047,0.2321,42.62188,42.7193,0.3953,0.1698,0.1234,44.64769999322016
17,6.1271000013221055,0.03720000677276403,6.0898999945493415,0.020099992980249226,0.7904,0.002800006768666208,5.1848000002792105,0.1824,3.87669,4.0092,0.1991,0.1034,0.1804,6.0794000019086525
18,43.75430000072811,0.02540000423323363,43.728899996494874,0.012899996363557875,1.1238,0.0022000021999701858,42.46870000497438,0.1556,41.48044,41.295,0.2084,0.1007,0.1795,43.718300003092736
19,13.79740000993479,0.023100001271814108,13.774300008662976,0.012999997125007212,1.1781,0.0035999983083456755,12.376800004858524,0.2157,10.52315,10.5916,0.6214,0.3,0.3006,13.709599996218458
20,38.87039999244735,0.054199990699999034,38.81620000174735,0.030399998649954796,1.489,0.006800008122809231,37.17899999173824,0.2692,35.8837,36.0037,0.2132,0.0862,0.0926,38.80709999066312
21,14.47599999664817,0.02160000440198928,14.45439999224618,0.012500007869675756,0.8445,0.0040000013541430235,13.466499993228354,0.2174,12.06958,12.1112,0.3598,0.231,0.2021,14.441199993598275
22,41.43110000586603,0.0450000079581514,41.38609999790788,0.024199995095841587,1.1531,0.0034999975468963385,40.106999993440695,0.2378,38.71053,38.9027,0.2096,0.0919,0.115,41.37700000137556
23,12.451200003852136,0.023599990527145565,12.42760001332499,0.011900003300979733,0.5966,0.00340001133736223,11.669699990306981,0.1192,9.92001,9.988,0.5041,0.3331,0.2168,12.411999996402301
24,36.50529999868013,0.05149999924469739,36.45379999943543,0.027299989596940577,1.045,0.007099995855242014,35.221300000557676,0.2194,33.76091,33.9634,0.2043,0.1069,0.1183,36.44250000070315
25,10.323299997253343,0.023100001271814108,10.30019999598153,0.011600001016631722,0.497,0.0025999906938523054,9.713899999042042,0.1395,8.78633,8.8273,0.19,0.0961,0.0966,10.292900013155304
26,40.53869999188464,0.020699997548945248,40.517999994335696,0.01130001328419894,0.5572,0.002800006768666208,39.859500000602566,0.1267,38.83262,39.0475,0.2196,0.1027,0.124,40.50889999780338
27,8.050200005527586,0.026399997295811772,8.023800008231774,0.011800002539530396,0.5571,0.0039000005926936865,7.368600010522641,0.1345,6.26692,6.5209,0.1777,0.0921,0.0963,8.016000007046387
28,48.39630000060424,0.020399995264597237,48.375900005339645,0.011399999493733048,1.0009,0.00340001133736223,47.137100002146326,0.2067,44.51181,44.6709,0.9831,0.4644,0.3851,48.35120000643656
29,10.037100000772625,0.12150000839028507,9.91559999238234,0.05019998934585601,4.3406,0.00549999822396785,5.38720001350157,0.3516,3.65629,3.5943,0.2326,0.138,0.1206,9.878099997877143
30,3969.893300003605,0.025999994250014424,3969.867300009355,0.013700002455152571,0.9451,0.0027999922167509794,3968.7722000089707,1256.0683,3960.15133,1.2555,0.22,0.0945,0.0791,3969.857799995225
31,12.329800010775216,0.027600006433203816,12.302200004342012,0.012099990271963179,0.4632,0.005800000508315861,11.685599994962104,0.1633,9.92646,10.1459,0.4195,0.2474,0.2003,12.289300007978454
32,25.352899989229627,0.04430000262800604,25.30859998660162,0.02479999966453761,1.1375,0.004399989848025143,24.040099990088493,0.2182,22.74204,22.9124,0.2003,0.1024,0.1096,25.29829999548383
33,10.629900003550574,0.022899999748915434,10.607000003801659,0.01270000939257443,0.7912,0.0014999968698248267,9.731700003612787,0.1282,8.38155,8.6397,0.2134,0.1011,0.1508,10.599100001854822
34,23.4515000047395,0.02379999205004424,23.427700012689456,0.012799995602108538,0.4836,0.0030999945010989904,22.705000010319054,0.122,18.1192,18.2898,0.9798,0.9924,1.4279,23.402699996950105
35,8.071599993854761,0.08349999552592635,7.988099998328835,0.05469999450724572,1.6703,0.006900008884258568,6.137199990916997,0.2757,4.63454,4.7054,0.2065,0.1359,0.1169,7.9741999943507835
36,23.52950000204146,0.031200004741549492,23.49829999729991,0.030800001695752144,0.9944,0.0022000021999701858,22.405099996831268,0.1639,21.24313,21.4209,0.2187,0.0881,0.0999,23.489500003051944
37,14.123799992376007,0.02160000440198928,14.102199987974018,0.011800002539530396,0.4674,0.0034999975468963385,13.39670000015758,0.2274,8.5644,8.5604,4.3186,0.0226,0.0,14.077799991355278
38,37.65619998739567,0.08539999544154853,37.57079999195412,0.04950001311954111,1.6964,0.0033999967854470015,35.71809999994002,0.3056,33.90595,34.0582,0.457,0.0815,0.1023,37.557900010142475
39,8.834699998260476,0.02439999661874026,8.810300001641735,0.013100012438371778,0.9237,0.004699992132373154,7.717699991189875,0.1625,6.0324,6.1268,0.2918,0.1202,0.1235,8.74580000527203
40,48.45569998724386,0.02269999822601676,48.432999989017844,0.01170000177808106,0.4071,0.001800013706088066,47.86940000485629,0.2106,46.2274,46.3992,0.4693,0.2233,0.2503,48.417300000437535
41,6.419900004402734,0.05529999907594174,6.364600005326793,0.028700000257231295,1.4727,0.009499999578110874,4.740499993204139,0.2029,3.4226,3.5397,0.2056,0.1076,0.1102,6.35379999584984
42,28.756100000464357,0.02510000194888562,28.730999998515472,0.013800003216601908,0.8366,0.00340001133736223,27.766300001530908,0.1548,26.54968,26.6917,0.3711,0.1496,0.1554,28.719900001306087
43,6.748899992089719,0.03519999154377729,6.713700000545941,0.01960000372491777,1.0401,0.002700006007216871,5.537999997613952,0.2141,3.64585,3.7807,1.1178,0.0089,0.0,6.701899998006411
44,49.64250000193715,0.036600002204068005,49.60589999973308,0.023600005079060793,0.9466,0.0018999999156221747,48.521999997319654,0.1296,46.41256,46.6276,1.017,0.1823,0.1761,49.59179999423213
45,6.581699999514967,0.04150001041125506,6.540199989103712,0.023499989765696228,1.2283,0.005900001269765198,5.164199988939799,0.2372,3.6846,3.7906,0.2095,0.1262,0.1166,6.530300001031719
46,40.68619999452494,0.026399997295811772,40.65979999722913,0.014900011592544615,0.7395,0.004699992132373154,39.81930000009015,0.1521,38.71116,38.8473,0.2081,0.1189,0.0926,40.651699993759394
47,14.57739999750629,0.021400002879090607,14.5559999946272,0.01200000406242907,0.5342,0.0027999922167509794,13.87970001087524,0.2766,12.25757,12.2583,0.3971,0.2686,0.2422,14.542099990649149
48,37.49229999084491,0.046599991037510335,37.4456999998074,0.025200002710334957,1.1692,0.005199995939619839,36.13809999660589,0.2409,34.8705,35.0194,0.218,0.1004,0.1056,37.43660000327509
49,13.91370000783354,0.02580000727903098,13.88790000055451,0.011199997970834374,0.5342,0.0017999991541728377,13.059799995971844,0.1652,9.89562,9.9975,1.1394,0.6435,0.4557,13.791100005619228
50,39.36710000562016,0.08140000863932073,39.28569999698084,0.048699992476031184,2.4489,0.005900001269765198,36.66420000081416,0.2909,35.14426,35.2683,0.2238,0.1104,0.104,39.27340000518598
51,8.465699997032061,0.023999993572942913,8.441700003459118,0.01170000177808106,1.0976,0.0016999983927235007,7.258099998580292,0.1522,6.53052,6.5747,0.1671,0.0962,0.0802,8.434399991529062
52,43.5596000024816,0.020699997548945248,43.53890000493266,0.010400006431154907,0.5834,0.003300010575912893,42.8539999993518,0.2087,41.85876,41.9446,0.2256,0.088,0.1015,43.53049999917857
53,6.6829999996116385,0.023499989765696228,6.659500009845942,0.012899996363557875,0.6356,0.0032999960239976645,5.92490000417456,0.1366,4.9994,5.1289,0.2076,0.0927,0.0922,6.651499992585741
54,46.95530000026338,0.021900006686337292,46.93339999357704,0.010899995686486363,0.4445,0.0023999891709536314,46.25020000094082,0.129,43.12179,43.2869,1.1906,0.6379,0.4293,46.907800002372824
55,8.002999995369464,0.08630000229459256,7.916699993074872,0.052100003813393414,1.6456,0.003999986802227795,6.108400004450232,0.3242,4.43841,4.5217,0.2501,0.1395,0.1317,7.900199998402968
56,40.07820000697393,0.03710000601131469,40.041100000962615,0.021100000594742596,0.9684,0.005399997462518513,38.94179999770131,0.2466,37.71673,37.8351,0.2123,0.1067,0.1102,40.03259999444708
57,14.395299993338995,0.023599990527145565,14.37170000281185,0.013500000932253897,0.5243,0.003100009053014219,13.65079999959562,0.2291,11.33426,11.32,0.6483,0.4578,0.5847,14.352499987580813
58,39.23169999325182,0.06999999459367245,39.16169999865815,0.03890000516548753,1.8046,0.0036999990697950125,37.2196999960579,0.4958,35.66739,35.5807,0.2094,0.1076,0.184,39.15110000525601
59,7.660199989913963,0.0236999912885949,7.636499998625368,0.012200005585327744,1.8098,0.0017999991541728377,5.726799994590692,0.188,4.88821,4.6562,0.155,0.0958,0.0991,7.610899992869236
60,47.36139999295119,0.017700003809295595,47.343699989141896,0.010500007192604244,0.4714,0.0033999967854470015,46.76860000472516,0.1245,45.65562,45.9274,0.219,0.1008,0.12,47.33620000479277
61,4.585000002407469,0.022900014300830662,4.562099988106638,0.011299998732283711,1.1098,0.0041000021155923605,3.3601000031922013,0.1269,2.5738,2.6929,0.1551,0.0996,0.0971,4.555599996820092
62,49.2794000019785,0.02020000829361379,49.25919999368489,0.011399999493733048,0.4849,0.0026000052457675338,48.63570000452455,0.122,47.01361,47.2568,0.3852,0.3053,0.2411,49.24639999808278
63,6.462999997893348,0.03840000135824084,6.4245999965351075,0.02300000051036477,1.1943,0.005800000508315861,5.084500007797033,0.2458,3.67844,3.677,0.2592,0.1333,0.1654,6.414699993911199
64,39.460100000724196,0.028000009479001164,39.432099991245195,0.015199999324977398,0.7005,0.0046000059228390455,38.594899990130216,0.2732,37.56443,37.656,0.2114,0.0909,0.103,39.42119999555871
