name,ok,wall_s,w,h,fps,frames,render_fps,true_fps,mux_wall_ms,decode_med,telemetry_med,compose_med,above_total_med,map_cpu_upload_med,vp_submit_med,vp_gpu_completion_med,gpu_wait_med,amf_submit_med,amf_query_med,pipeline_total_med,producer_med,consumer_upload_med,consumer_native_med,map_path,chart_path,gauge_path,sys_cpu_avg,sys_cpu_med,sys_gpu3d_avg,sys_gpu3d_med,sys_gpudec_avg,sys_gpuenc_avg,sys_ram_used_avg,sys_vram_ded_avg,sys_vram_shared_avg
abl_none_720p,True,9.705,1280,720,60.0,90,40.787590239708074,10.256469749779528,6345.650000002934,0.745,0.0,0.0,0.0,0.0,0.23,8.298,8.355,0.289,0.095,10.426,0.013,0.005,9.479,GPU,GPU_SPLIT,GPU,,,,,,,,,
abl_text_720p,True,9.618,1280,720,60.0,90,40.523799830268494,10.33933383465848,6177.813199989032,0.697,0.02,2.467,0.0,0.006,0.205,5.02,5.146,0.279,0.111,7.858,2.775,0.354,6.657,GPU,GPU_SPLIT,GPU,,,,,,,,,
abl_gauge_720p,True,9.688,1280,720,60.0,90,42.31212043390887,10.296093336153026,6340.357199995196,0.835,0.025,1.851,0.0,0.008,0.245,4.805,4.947,0.287,0.103,8.268,2.474,0.538,6.543,GPU,GPU_SPLIT,GPU,,,,,,,,,
abl_chart_720p,True,9.975,1280,720,60.0,90,38.368247870495345,10.102162949428369,6298.629099997925,0.675,0.023,5.486,0.0,0.005,0.193,2.732,2.858,0.225,0.082,5.174,5.606,0.27,3.933,GPU,GPU_SPLIT,GPU,,,,,,,,,
abl_map_720p,True,9.506,1280,720,60.0,90,41.524364974655285,10.40723234192491,6165.684600011446,0.795,0.026,0.053,0.03,1.541,0.264,6.438,6.367,0.32,0.122,9.239,1.76,0.324,8.094,GPU,GPU_SPLIT,GPU,,,,,,,,,
abl_gauge_chart_720p,True,11.163,1280,720,60.0,90,32.68115901762311,8.948538654421826,7038.393800001359,0.599,0.032,11.8,0.0,0.005,0.18,1.997,2.373,0.275,0.088,6.471,13.679,0.941,4.517,GPU,GPU_SPLIT,GPU,,,,,,,,,
abl_map_gauge_chart_720p,True,10.832,1280,720,60.0,90,29.269465365200254,9.01795492861266,6640.881100000115,0.596,0.03,0.046,9.283,1.091,0.218,2.561,3.015,0.283,0.098,5.976,11.475,0.552,4.366,GPU,GPU_SPLIT,GPU,,,,,,,,,
map_cpu_reference_720p,True,11.781,1280,720,60.0,90,23.197114464541702,8.229266260792677,6566.387099999702,0.639,0.033,19.474,0.0,0.0,0.17,2.135,2.747,0.266,0.098,6.945,22.732,1.272,4.595,CPU_REFERENCE,GPU_SPLIT,GPU,,,,,,,,,
decode_cpu_reference_720p,True,14.262,1280,720,60.0,90,14.300099732074585,6.677871640622301,6814.725400006864,0.0,0.036,16.744,0.0,0.0,0.457,0.554,0.819,0.279,0.101,27.291,18.454,23.462,2.171,CPU_REFERENCE,CPU_REFERENCE,CPU_REFERENCE,,,,,,,,,
amf_submit_no_mux_720p,True,4.436,1280,720,60.0,90,23.913730738104373,22.465658432837426,0.0,0.626,0.033,3.445,13.288,1.106,0.193,2.396,3.164,0.263,0.102,6.757,19.464,0.904,4.673,GPU,GPU_SPLIT,GPU,,,,,,,,,
amf_bypass_720p,True,3.77,1280,720,60.0,90,0.0,26.25767938652323,0.0,0.631,0.027,2.977,12.017,1.049,0.192,2.0,2.771,0.0,0.0,5.237,17.117,0.816,3.581,GPU,GPU_SPLIT,GPU,,,,,,,,,
telemetry_reference_720p,True,13.439,1280,720,60.0,90,15.630855600710447,7.072480072407364,6718.00959999382,0.617,21.442,2.924,11.918,1.081,0.191,2.002,2.906,0.22,0.087,5.939,38.877,0.916,4.12,GPU,GPU_SPLIT,GPU,,,,,,,,,
alloc_tracemalloc_720p,True,10.263,1280,720,60.0,60,20.702892887650933,6.374874697858959,6232.735700003104,0.629,0.035,3.655,13.357,1.088,0.211,2.325,3.072,0.307,0.12,7.067,21.833,0.886,5.02,GPU,GPU_SPLIT,GPU,,,,,,,,,
