tag,t,cpu_total,cpu_py_raw,cpu_py_norm,gpu_3d,gpu_decode,gpu_encode,gpu_copy,ram_used_mb,ram_avail_mb,vram_ded_mb,vram_shared_mb
abl_none_720p,17:06:33.351,31,,,0,0,0,0,22068,10070,401,523
abl_none_720p,17:06:41.243,19,,,6.5,0,0,0.4,21919,10219,401,523
abl_text_720p,17:06:49.129,10,,,5.7,0,0,1.4,21851,10287,401,523
abl_gauge_720p,17:06:55.599,13,,,5.9,0,0,0,21798,10340,402,858
abl_chart_720p,17:07:02.877,13,,,0,0,0,0,21776,10362,401,523
abl_chart_720p,17:07:10.008,34,,,5.4,0,0,0,21845,10293,401,523
abl_map_720p,17:07:17.839,18,,,5.8,0,0,0.2,22138,10000,421,527
abl_gauge_chart_720p,17:07:24.859,31,,,5.9,0,0,0,22037,10101,401,527
abl_map_gauge_chart_720p,17:07:32.148,30,,,0,0,0,0,21900,10238,401,527
abl_map_gauge_chart_720p,17:07:39.046,33,,,5.6,0,0,5,22391,9747,421,862
map_cpu_reference_720p,17:07:46.252,31,,,0,0,0,0,21972,10166,401,527
map_cpu_reference_720p,17:07:55.199,19,,,8.2,0,0,0,22638,9500,417,527
decode_cpu_reference_720p,17:08:02.076,17,,,6.2,0,0,0.4,21778,10360,401,579
amf_submit_no_mux_720p,17:08:09.370,34,,,0,0,0,0,22279,9859,421,860
amf_bypass_720p,17:08:16.568,20,,,12.4,0,39.4,0,22230,9908,424,527
telemetry_reference_720p,17:08:23.714,11,,,6.6,0,0,0,21985,10153,401,553
alloc_tracemalloc_720p,17:08:31.740,44,,,0,0,0,0,21844,10294,401,527
