timestamp,utilization.gpu,memory.total,memory.used
2026-08-17T06:13:18.196197,2026/08/17 08:13:18.186, 11, 2048, 1308
2026-08-17T06:13:19.254523,2026/08/17 08:13:19.241, 1, 2048, 1355
2026-08-17T06:13:20.350491,2026/08/17 08:13:20.329, 99, 2048, 1854
2026-08-17T06:13:21.438247,2026/08/17 08:13:21.420, 75, 2048, 1854
2026-08-17T06:13:22.523664,2026/08/17 08:13:22.506, 76, 2048, 1855
2026-08-17T06:13:23.601961,2026/08/17 08:13:23.584, 83, 2048, 1840
2026-08-17T06:13:24.683872,2026/08/17 08:13:24.663, 96, 2048, 1845
2026-08-17T06:13:25.766955,2026/08/17 08:13:25.740, 76, 2048, 1839
2026-08-17T06:13:26.859153,2026/08/17 08:13:26.841, 83, 2048, 1846
2026-08-17T06:13:27.930906,2026/08/17 08:13:27.913, 72, 2048, 1839
2026-08-17T06:13:29.077682,2026/08/17 08:13:29.059, 74, 2048, 1850
2026-08-17T06:13:30.189259,2026/08/17 08:13:30.164, 79, 2048, 1870
2026-08-17T06:13:31.288165,2026/08/17 08:13:31.266, 67, 2048, 1903
2026-08-17T06:13:32.407626,2026/08/17 08:13:32.364, 45, 2048, 1900
2026-08-17T06:13:33.670057,2026/08/17 08:13:33.640, 37, 2048, 1894
2026-08-17T06:13:34.772655,2026/08/17 08:13:34.747, 68, 2048, 1834
2026-08-17T06:13:35.849243,2026/08/17 08:13:35.831, 82, 2048, 1825
2026-08-17T06:13:36.952901,2026/08/17 08:13:36.933, 81, 2048, 1831
2026-08-17T06:13:38.082658,2026/08/17 08:13:38.041, 53, 2048, 1834
2026-08-17T06:13:39.151856,2026/08/17 08:13:39.139, 73, 2048, 1885
2026-08-17T06:13:40.234011,2026/08/17 08:13:40.214, 79, 2048, 1888
2026-08-17T06:13:41.311786,2026/08/17 08:13:41.297, 68, 2048, 1889
2026-08-17T06:13:42.399247,2026/08/17 08:13:42.380, 85, 2048, 1887
2026-08-17T06:13:43.483579,2026/08/17 08:13:43.465, 72, 2048, 1890
2026-08-17T06:13:44.573769,2026/08/17 08:13:44.548, 72, 2048, 1876
2026-08-17T06:13:45.687324,2026/08/17 08:13:45.666, 17, 2048, 1861
2026-08-17T06:13:46.767211,2026/08/17 08:13:46.746, 66, 2048, 1860
2026-08-17T06:13:47.848555,2026/08/17 08:13:47.831, 69, 2048, 1859
2026-08-17T06:13:48.951530,2026/08/17 08:13:48.928, 79, 2048, 1866
2026-08-17T06:13:50.047778,2026/08/17 08:13:50.030, 78, 2048, 1866
2026-08-17T06:13:51.138843,2026/08/17 08:13:51.113, 81, 2048, 1868
2026-08-17T06:13:52.225765,2026/08/17 08:13:52.203, 75, 2048, 1880
2026-08-17T06:13:53.326181,2026/08/17 08:13:53.308, 73, 2048, 1877
2026-08-17T06:13:54.428905,2026/08/17 08:13:54.405, 56, 2048, 1887
2026-08-17T06:13:55.511680,2026/08/17 08:13:55.496, 75, 2048, 1879
2026-08-17T06:13:56.624531,2026/08/17 08:13:56.601, 72, 2048, 1883
2026-08-17T06:13:57.732061,2026/08/17 08:13:57.701, 74, 2048, 1885
2026-08-17T06:13:58.805222,2026/08/17 08:13:58.784, 88, 2048, 1886
