frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,29076304435749,29076306187712,29076306187852,29076306248612,29076306283360,29076306365832,29076306450152,29076306450184,16,20.1443,17.5196,0.0014,0.6076,0.34748,0.82472,0.8432
1,1,0,1e+08,29076307815847,29076308948019,29076308948175,29076308981547,29076308988219,29076309024359,29076309129099,29076309129151,16,13.133,11.3217,0.00156,0.33372,0.06672,0.3614,1.0474
2,1,0,1e+08,29076310319036,29076311351324,29076311351784,29076311446312,29076311463062,29076311589143,29076311779464,29076311779536,16,14.605,10.3229,0.0046,0.94528,0.1675,1.26081,1.90321
3,1,0,1e+08,29076313342102,29076313919862,29076313920292,29076313973222,29076313988908,29076314097564,29076314457591,29076314457756,16,11.1565,5.7776,0.0043,0.5293,0.15686,1.08656,3.60027
4,1,0,1e+08,29076315214172,29076316424712,29076316424868,29076316443804,29076316449808,29076316487764,29076316600120,29076316600156,16,13.8598,12.1054,0.00156,0.18936,0.06004,0.37956,1.12356
5,1,0,1e+08,29076317433675,29076318675106,29076318675571,29076318803989,29076318914742,29076319068724,29076319287430,29076319287518,16,18.5384,12.4143,0.00465,1.28418,1.10753,1.53982,2.18706
6,1,0,1e+08,29076320983099,29076321368579,29076321368811,29076321396095,29076321405333,29076321444845,29076321544049,29076321544085,16,5.60986,3.8548,0.00232,0.27284,0.09238,0.39512,0.99204
7,1,0,1e+08,29076322090391,29076322528528,29076322528656,29076322544656,29076322549844,29076322581296,29076322658856,29076322658888,16,5.68497,4.38137,0.00128,0.16,0.05188,0.31452,0.7756
8,1,0,1e+08,29076323229960,29076323589331,29076323589403,29076323606239,29076323611695,29076323636451,29076323725647,29076323725667,16,4.95707,3.59371,0.00072,0.16836,0.05456,0.24756,0.89196
9,1,0,1e+08,29076324413684,29076325197196,29076325197312,29076325211484,29076325225192,29076325254312,29076325325000,29076325325028,16,9.11344,7.83512,0.00116,0.14172,0.13708,0.2912,0.70688
10,1,0,1e+08,29076325927896,29076326794128,29076326794196,29076326806716,29076326811908,29076326828236,29076327018151,29076327018187,16,10.9029,8.66232,0.00068,0.1252,0.05192,0.16328,1.89915
11,1,0,1e+08,29076327645781,29076328168234,29076328168318,29076328182130,29076328187630,29076328213542,29076328293726,29076328293766,16,6.47985,5.22453,0.00084,0.13812,0.055,0.25912,0.80184
12,1,0,1e+08,29076328914456,29076329606587,29076329606663,29076329628283,29076329645575,29076329775908,29076330383541,29076330383613,16,14.6916,6.92131,0.00076,0.2162,0.17292,1.30333,6.07633
