frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,29062741891513,29062744148855,29062744149127,29062744363852,29062744382204,29062744645948,29062744910208,29062744910232,16,30.1872,22.5734,0.00272,2.14725,0.18352,2.63744,2.6426
1,1,0,1e+08,29062746483907,29062748830545,29062748830749,29062748930365,29062748945649,29062749321790,29062749673511,29062749673567,16,31.8966,23.4664,0.00204,0.99616,0.15284,3.76141,3.51721
2,1,0,1e+08,29062751064751,29062753465641,29062753465793,29062753524917,29062753537637,29062754324631,29062754848056,29062754848100,16,37.8335,24.0089,0.00152,0.59124,0.1272,7.86994,5.23425
3,1,0,1e+08,29062756279346,29062758274989,29062758275157,29062758421137,29062758437469,29062758832717,29062759136538,29062759136570,16,28.5722,19.9564,0.00168,1.4598,0.16332,3.95248,3.03821
4,1,0,1e+08,29062760307626,29062762674521,29062762674697,29062762766553,29062762782241,29062763155990,29062763496710,29062763496738,16,31.8911,23.669,0.00176,0.91856,0.15688,3.73749,3.4072
5,1,0,1e+08,29062764758296,29062767475403,29062767475691,29062767573162,29062767596274,29062768112036,29062768454644,29062768454684,16,36.9639,27.1711,0.00288,0.97471,0.23112,5.15762,3.42608
6,1,0,1e+08,29062769884677,29062772440680,29062772441210,29062772613458,29062772651578,29062773597450,29062774039138,29062774039206,16,41.5453,25.56,0.0053,1.72248,0.3812,9.45872,4.41688
7,1,0,1e+08,29062775074635,29062777630421,29062777630709,29062777770191,29062777830623,29062778297048,29062778686625,29062778686661,16,36.1203,25.5579,0.00288,1.39482,0.60432,4.66425,3.89577
8,1,0,1e+08,29062779733014,29062780584974,29062780585070,29062780676046,29062780706790,29062781197620,29062781542688,29062781542724,16,18.0971,8.5196,0.00096,0.90976,0.30744,4.9083,3.45068
9,1,0,1e+08,29062782785512,29062783600773,29062783600869,29062783692550,29062783738610,29062784159158,29062784515302,29062784515342,16,17.2983,8.15261,0.00096,0.91681,0.4606,4.20548,3.56144
10,1,0,1e+08,29062785673527,29062786955444,29062786955760,29062787050234,29062787069894,29062787501447,29062787850891,29062787850927,16,21.774,12.8192,0.00316,0.94474,0.1966,4.31553,3.49444
11,1,0,1e+08,29062789122862,29062789720252,29062789720300,29062789832386,29062789860153,29062790154149,29062790558697,29062790558737,16,14.3588,5.9739,0.00048,1.12086,0.27767,2.93996,4.04548
12,1,0,1e+08,29062791837040,29062792191535,29062792191595,29062792256631,29062792271143,29062792609551,29062792920701,29062792920725,16,10.8369,3.54495,0.0006,0.65036,0.14512,3.38408,3.1115
13,1,0,1e+08,29062794081548,29062794478437,29062794478525,29062794562281,29062794574309,29062795054025,29062795480294,29062795480338,16,13.9879,3.96889,0.00088,0.83756,0.12028,4.79716,4.26269
14,1,0,1e+08,29062796622645,29062797328380,29062797328575,29062797490416,29062797524288,29062798134514,29062798526842,29062798526870,16,19.0422,7.05735,0.00195,1.61841,0.33872,6.10226,3.92328
15,1,0,1e+08,29062799666001,29062800077344,29062800077388,29062800136408,29062800148852,29062800523864,29062800930124,29062800930280,16,12.6428,4.11343,0.00044,0.5902,0.12444,3.75012,4.0626
16,1,0,1e+08,29062801968330,29062802289800,29062802289844,29062802347524,29062802359952,29062802716353,29062803041977,29062803042009,16,10.7368,3.2147,0.00044,0.5768,0.12428,3.56401,3.25624
