frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,29081217772167,29081219774163,29081219774327,29081219806479,29081219928723,29081220180207,29081220529027,29081220529075,16,27.5691,20.02,0.00164,0.32152,1.22244,2.51484,3.4882
1,1,0,1e+08,29081222242517,29081223700220,29081223700635,29081223747245,29081223783510,29081224160101,29081224464671,29081224464711,16,22.2219,14.577,0.00415,0.4661,0.36265,3.76591,3.0457
2,1,0,1e+08,29081225795545,29081227537225,29081227537630,29081227578760,29081227614466,29081228281811,29081229024221,29081229024269,16,32.2872,17.4168,0.00405,0.4113,0.35706,6.67345,7.4241
3,1,0,1e+08,29081230334721,29081231972866,29081231973018,29081231980398,29081231995506,29081232325186,29081232664038,29081232664078,16,23.2936,16.3814,0.00152,0.0738,0.15108,3.2968,3.38852
4,1,0,1e+08,29081233844325,29081236379777,29081236380182,29081236403064,29081236439269,29081237015223,29081237458067,29081237458119,16,36.1379,25.3545,0.00405,0.22882,0.36205,5.75954,4.42844
5,1,0,1e+08,29081238562949,29081241087877,29081241087985,29081241134969,29081241154557,29081241609284,29081241841880,29081241841912,16,32.7896,25.2493,0.00108,0.46984,0.19588,4.54727,2.32596
6,1,0,1e+08,29081242887823,29081245146876,29081245146992,29081245153812,29081245167952,29081245526759,29081245808771,29081245808799,16,29.2098,22.5905,0.00116,0.0682,0.1414,3.58807,2.82012
7,1,0,1e+08,29081246712302,29081249125469,29081249125577,29081249193061,29081249207197,29081249404003,29081249767742,29081249767782,16,30.5548,24.1317,0.00108,0.67484,0.14136,1.96806,3.63739
8,1,0,1e+08,29081250725021,29081250986065,29081250986113,29081251011313,29081251022609,29081251284673,29081251531449,29081251531477,16,8.06456,2.61044,0.00048,0.252,0.11296,2.62064,2.46776
9,1,0,1e+08,29081252441937,29081253657122,29081253657230,29081253712618,29081253729966,29081254059866,29081254354922,29081254354962,16,19.1303,12.1519,0.00108,0.55388,0.17348,3.299,2.95056
