frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,29084448482332,29084449923235,29084449923331,29084450115363,29084450132083,29084450474145,29084450808871,29084450808895,16,23.2656,14.409,0.00096,1.92032,0.1672,3.42062,3.34726
1,1,0,1e+08,29084453578210,29084453882078,29084453882138,29084454021580,29084454057725,29084454939215,29084455481038,29084455481094,16,19.0288,3.03868,0.0006,1.39442,0.36145,8.8149,5.41823
2,1,0,1e+08,29084457054173,29084458501716,29084458501880,29084458567392,29084458581780,29084458865093,29084459155977,29084459156013,16,21.0184,14.4754,0.00164,0.65512,0.14388,2.83313,2.90884
3,1,0,1e+08,29084460227430,29084462140500,29084462140596,29084462214748,29084462229356,29084462579126,29084462859262,29084462859298,16,26.3187,19.1307,0.00096,0.74152,0.14608,3.4977,2.80136
4,1,0,1e+08,29084463930908,29084466281525,29084466281661,29084466349021,29084466365557,29084466712290,29084467189169,29084467189205,16,32.583,23.5062,0.00136,0.6736,0.16536,3.46733,4.76879
5,1,0,1e+08,29084468230861,29084470287041,29084470287285,29084470379972,29084470406180,29084470860706,29084471199078,29084471199118,16,29.6826,20.5618,0.00244,0.92687,0.26208,4.54526,3.38372
6,1,0,1e+08,29084472338579,29084474004970,29084474005126,29084474130170,29084474146566,29084474976438,29084475555044,29084475555092,16,32.1651,16.6639,0.00156,1.25044,0.16396,8.29872,5.78606
7,1,0,1e+08,29084476776020,29084478815274,29084478815729,29084478973717,29084479050867,29084479810462,29084480227424,29084480227468,16,34.5145,20.3925,0.00455,1.57988,0.7715,7.59595,4.16962
8,1,0,1e+08,29084481371048,29084481621002,29084481621058,29084481680303,29084481693567,29084482049439,29084482351443,29084482351475,16,9.80427,2.49954,0.00056,0.59245,0.13264,3.55872,3.02004
9,1,0,1e+08,29084483393093,29084484867161,29084484867393,29084484951116,29084484981565,29084485419361,29084485767981,29084485768021,16,23.7493,14.7407,0.00232,0.83723,0.30449,4.37796,3.4862
10,1,0,1e+08,29084486924091,29084487734170,29084487734315,29084487820916,29084487854152,29084488395371,29084488760867,29084488760899,16,18.3681,8.10079,0.00145,0.86601,0.33236,5.41219,3.65496
