frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,29078145746061,29078147534005,29078147534173,29078147796354,29078147811322,29078147811382,29078148162358,29078148162398,16,24.1634,17.8794,0.00168,2.62181,0.14968,0.0006,3.50976
1,1,0,1e+08,29078149410361,29078151459063,29078151459151,29078151523679,29078151536935,29078151536967,29078151823691,29078151823727,16,24.1337,20.487,0.00088,0.64528,0.13256,0.00032,2.86724
2,1,0,1e+08,29078152784253,29078154814950,29078154815400,29078154976984,29078155021713,29078155021973,29078155540027,29078155540071,16,27.5582,20.307,0.0045,1.61584,0.44729,0.0026,5.18054
3,1,0,1e+08,29078156398484,29078158644118,29078158644206,29078158721099,29078158740363,29078158740451,29078159093814,29078159093862,16,26.9538,22.4563,0.00088,0.76893,0.19264,0.00088,3.53363
4,1,0,1e+08,29078159810678,29078161296436,29078161296572,29078161361960,29078161376468,29078161376520,29078161720040,29078161720068,16,19.0939,14.8576,0.00136,0.65388,0.14508,0.00052,3.4352
5,1,0,1e+08,29078162412710,29078164130963,29078164131115,29078164207759,29078164232395,29078164232575,29078164580207,29078164580243,16,21.6753,17.1825,0.00152,0.76644,0.24636,0.0018,3.47632
6,1,0,1e+08,29078165218120,29078167268020,29078167268176,29078167349444,29078167378300,29078167378360,29078167796700,29078167796736,16,25.7862,20.499,0.00156,0.81268,0.28856,0.0006,4.1834
7,1,0,1e+08,29078168562885,29078169923104,29078169923256,29078169991296,29078170006756,29078170006808,29078170354648,29078170354688,16,17.918,13.6022,0.00152,0.6804,0.1546,0.00052,3.4784
8,1,0,1e+08,29078172038720,29078172325052,29078172325088,29078172385960,29078172403516,29078172403552,29078172681880,29078172681904,16,6.43184,2.86332,0.00036,0.60872,0.17556,0.00036,2.78328
9,1,0,1e+08,29078173408293,29078173736441,29078173736497,29078173790741,29078173802065,29078173802105,29078174257590,29078174257630,16,8.49337,3.28148,0.00056,0.54244,0.11324,0.0004,4.55485
10,1,0,1e+08,29078174911452,29078175715366,29078175715494,29078175789602,29078175805302,29078175805346,29078176143614,29078176143650,16,12.322,8.03914,0.00128,0.74108,0.157,0.00044,3.38268
11,1,0,1e+08,29078176862904,29078177789054,29078177789146,29078177870202,29078177905976,29078177906136,29078178352985,29078178353037,16,14.9013,9.2615,0.00092,0.81056,0.35774,0.0016,4.46849
12,1,0,1e+08,29078179226990,29078179490923,29078179490979,29078179548295,29078179561235,29078179561291,29078179969795,29078179969831,16,7.42841,2.63933,0.00056,0.57316,0.1294,0.00056,4.08504
13,1,0,1e+08,29078180810436,29078181674880,29078181675350,29078181833993,29078181893286,29078181893471,29078182479470,29078182479526,16,16.6909,8.64444,0.0047,1.58643,0.59293,0.00185,5.85999
14,1,0,1e+08,29078183365533,29078183658850,29078183658878,29078183708630,29078183718622,29078183718654,29078184009266,29078184009294,16,6.43761,2.93317,0.00028,0.49752,0.09992,0.00032,2.90612
15,1,0,1e+08,29078184694351,29078185458922,29078185459112,29078185553876,29078185586564,29078185586656,29078186106216,29078186106272,16,14.1192,7.64571,0.0019,0.94764,0.32688,0.00092,5.1956
16,1,0,1e+08,29078187099469,29078187396429,29078187396501,29078187458737,29078187469281,29078187469309,29078187700833,29078187700861,16,6.01392,2.9696,0.00072,0.62236,0.10544,0.00028,2.31524
17,1,0,1e+08,29078188414564,29078190409171,29078190409411,29078190496547,29078190527619,29078190527707,29078190991481,29078190991529,16,25.7697,19.9461,0.0024,0.87136,0.31072,0.00088,4.63774
18,1,0,1e+08,29078191808099,29078192058460,29078192058492,29078192101400,29078192113616,29078192113644,29078192354416,29078192354440,16,5.46341,2.50361,0.00032,0.42908,0.12216,0.00028,2.40772
19,1,0,1e+08,29078193126617,29078193371236,29078193371411,29078193530788,29078193607570,29078193608025,29078194389568,29078194389628,16,12.6301,2.44619,0.00175,1.59377,0.76782,0.00455,7.81543
20,1,0,1e+08,29078195340133,29078195749901,29078195749973,29078195797613,29078195808433,29078195808461,29078196650374,29078196650446,16,13.1031,4.09768,0.00072,0.4764,0.1082,0.00028,8.41913
21,1,0,1e+08,29078197891547,29078198463713,29078198463797,29078198523057,29078198538665,29078198538697,29078198806481,29078198806513,16,9.14966,5.72166,0.00084,0.5926,0.15608,0.00032,2.67784
22,1,0,1e+08,29078199582927,29078199880263,29078199880295,29078199931815,29078199944679,29078199944715,29078200201723,29078200201751,16,6.18824,2.97336,0.00032,0.5152,0.12864,0.00036,2.57008
23,1,0,1e+08,29078200944028,29078201582731,29078201582823,29078201643503,29078201657019,29078201657055,29078201942839,29078201942875,16,9.98847,6.38703,0.00092,0.6068,0.13516,0.00036,2.85784
24,1,0,1e+08,29078202650491,29078202910840,29078202910876,29078202960208,29078202973108,29078202973144,29078203225664,29078203225692,16,5.75201,2.60349,0.00036,0.49332,0.129,0.00036,2.5252
25,1,0,1e+08,29078203963976,29078204728588,29078204728688,29078204789444,29078204802636,29078204802676,29078205119568,29078205119608,16,11.5563,7.64612,0.001,0.60756,0.13192,0.0004,3.16892
26,1,0,1e+08,29078205782359,29078206138670,29078206138714,29078206189154,29078206214498,29078206214606,29078206505582,29078206505610,16,7.23251,3.56311,0.00044,0.5044,0.25344,0.00108,2.90976
27,1,0,1e+08,29078207347321,29078207905172,29078207905276,29078207954044,29078207964836,29078207964868,29078208211488,29078208211520,16,8.64199,5.57851,0.00104,0.48768,0.10792,0.00032,2.4662
28,1,0,1e+08,29078208887311,29078221849098,29078221849563,29078221972428,29078221990884,29078221990976,29078222517060,29078222517104,16,136.298,129.618,0.00465,1.22865,0.18456,0.00092,5.26084
29,1,0,1e+08,29078223497821,29078223798651,29078223798707,29078223862823,29078223875911,29078223875959,29078224259071,29078224259119,16,7.61298,3.0083,0.00056,0.64116,0.13088,0.00048,3.83112
30,1,0,1e+08,29078225052421,29078225961156,29078225961616,29078226055552,29078226097632,29078226097856,29078226582326,29078226582366,16,15.2994,9.08735,0.0046,0.93936,0.4208,0.00224,4.8447
31,1,0,1e+08,29078227610939,29078228538179,29078228538399,29078228623020,29078228641212,29078228641296,29078229106211,29078229106251,16,14.9531,9.2724,0.0022,0.84621,0.18192,0.00084,4.64915
32,1,0,1e+08,29078229770962,29078230589685,29078230589777,29078230673744,29078230704392,29078230704480,29078231179985,29078231180025,16,14.0906,8.18723,0.00092,0.83967,0.30648,0.00088,4.75505
33,1,0,1e+08,29078232263515,29078233214937,29078233215001,29078233293437,29078233322569,29078233322629,29078233738106,29078233738150,16,14.7463,9.51422,0.00064,0.78436,0.29132,0.0006,4.15477
34,1,0,1e+08,29078234484452,29078235121123,29078235121313,29078235358400,29078235395225,29078235395313,29078235923422,29078235923466,16,14.3901,6.36671,0.0019,2.37087,0.36825,0.00088,5.28109
35,1,0,1e+08,29078236776561,29078237056786,29078237056810,29078237109594,29078237124970,29078237125006,29078237392210,29078237392250,16,6.15689,2.80225,0.00024,0.52784,0.15376,0.00036,2.67204
36,1,0,1e+08,29078238292646,29078239609166,29078239609322,29078239720130,29078239745918,29078239745978,29078240158002,29078240158038,16,18.6539,13.1652,0.00156,1.10808,0.25788,0.0006,4.12024
37,1,0,1e+08,29078241288186,29078241731762,29078241731850,29078241830311,29078241851983,29078241852067,29078242743774,29078242743858,16,14.5567,4.43576,0.00088,0.98461,0.21672,0.00084,8.91707
38,1,0,1e+08,29078243484056,29078243836569,29078243836601,29078243925397,29078243945869,29078243945905,29078244342757,29078244342793,16,8.58737,3.52513,0.00032,0.88796,0.20472,0.00036,3.96852
39,1,0,1e+08,29078245088853,29078245741769,29078245741964,29078245955995,29078245993574,29078245993764,29078246592493,29078246592549,16,15.037,6.52916,0.00195,2.14031,0.37579,0.0019,5.98729
40,1,0,1e+08,29078247679448,29078248434605,29078248434800,29078248591807,29078248622331,29078248622423,29078249138384,29078249138428,16,14.5898,7.55157,0.00195,1.57007,0.30524,0.00092,5.15961
41,1,0,1e+08,29078250043082,29078250340990,29078250341034,29078250414642,29078250429938,29078250429994,29078251054988,29078251055080,16,10.12,2.97908,0.00044,0.73608,0.15296,0.00056,6.24994
42,1,0,1e+08,29078251787044,29078253692639,29078253692743,29078253760587,29078253774859,29078253774895,29078254068747,29078254068771,16,22.8173,19.0559,0.00104,0.67844,0.14272,0.00036,2.93852
43,1,0,1e+08,29078254854575,29078255152331,29078255152375,29078255218367,29078255233531,29078255233575,29078255583735,29078255583775,16,7.292,2.97756,0.00044,0.65992,0.15164,0.00044,3.5016
44,1,0,1e+08,29078256576610,29078257370292,29078257370482,29078257460460,29078257502968,29078257503192,29078257990714,29078257990754,16,14.1414,7.93682,0.0019,0.89978,0.42508,0.00224,4.87522
45,1,0,1e+08,29078259145837,29078259710263,29078259710433,29078259867468,29078259903180,29078259903350,29078260655337,29078260655389,16,15.0955,5.64426,0.0017,1.57035,0.35712,0.0017,7.51987
46,1,0,1e+08,29078261811508,29078262172322,29078262172374,29078262240870,29078262257170,29078262257230,29078262872342,29078262872472,16,10.6096,3.60814,0.00052,0.68496,0.163,0.0006,6.15112
47,1,0,1e+08,29078264077971,29078264923357,29078264923453,29078265004252,29078265046188,29078265046416,29078265507583,29078265507631,16,14.2966,8.45386,0.00096,0.80799,0.41936,0.00228,4.61167
48,1,0,1e+08,29078266465562,29078267104335,29078267104525,29078267263908,29078267308203,29078267308388,29078267879433,29078267879477,16,14.1391,6.38773,0.0019,1.59383,0.44295,0.00185,5.71045
49,1,0,1e+08,29078268835260,29078270779906,29078270780006,29078270845694,29078270860370,29078270860406,29078271147590,29078271147626,16,23.1237,19.4465,0.001,0.65688,0.14676,0.00036,2.87184
50,1,0,1e+08,29078271958591,29078272255660,29078272255696,29078272308620,29078272320188,29078272320228,29078272603980,29078272604012,16,6.45421,2.97069,0.00036,0.52924,0.11568,0.0004,2.83752
51,1,0,1e+08,29078273402180,29078273803924,29078273804020,29078273856040,29078273867412,29078273867448,29078274155640,29078274155684,16,7.53504,4.01744,0.00096,0.5202,0.11372,0.00036,2.88192
52,1,0,1e+08,29078274982355,29078276320415,29078276320507,29078276400587,29078276417583,29078276417619,29078276988714,29078276988844,16,20.0649,13.3806,0.00092,0.8008,0.16996,0.00036,5.71095
53,1,0,1e+08,29078277888007,29078278710738,29078278710834,29078278800290,29078278851694,29078278851918,29078279370339,29078279370391,16,14.8238,8.22731,0.00096,0.89456,0.51404,0.00224,5.18421
54,1,0,1e+08,29078280572753,29078281019023,29078281019087,29078281107368,29078281127112,29078281127172,29078281793423,29078281793467,16,12.2071,4.4627,0.00064,0.88281,0.19744,0.0006,6.66251
55,1,0,1e+08,29078282680843,29078283011388,29078283011428,29078283075108,29078283088656,29078283088692,29078283500116,29078283500148,16,8.19305,3.30545,0.0004,0.6368,0.13548,0.00036,4.11424
56,1,0,1e+08,29078284209089,29078285074086,29078285074178,29078285154574,29078285190332,29078285190492,29078285629101,29078285629141,16,14.2005,8.64997,0.00092,0.80396,0.35758,0.0016,4.38609
57,1,0,1e+08,29078286698191,29078286993735,29078286993791,29078287057719,29078287074423,29078287074475,29078287452399,29078287452451,16,7.5426,2.95544,0.00056,0.63928,0.16704,0.00052,3.77924
58,1,0,1e+08,29078288104715,29078291207313,29078291207557,29078291296305,29078291339397,29078291339621,29078291850844,29078291850888,16,37.4617,31.026,0.00244,0.88748,0.43092,0.00224,5.11223
59,1,0,1e+08,29078292837320,29078293114730,29078293114790,29078293212344,29078293247214,29078293247384,29078293749211,29078293749267,16,9.11947,2.7741,0.0006,0.97554,0.3487,0.0017,5.01827
60,1,0,1e+08,29078294583211,29078295371665,29078295371855,29078295459770,29078295488666,29078295488754,29078295973245,29078295973285,16,13.9007,7.88454,0.0019,0.87915,0.28896,0.00088,4.84491
61,1,0,1e+08,29078296992821,29078297651834,29078297652019,29078297811272,29078297852327,29078297852517,29078298402481,29078298402537,16,14.0972,6.59013,0.00185,1.59253,0.41055,0.0019,5.49964
62,1,0,1e+08,29078299395196,29078299699616,29078299699676,29078299763980,29078299782234,29078299782322,29078300728172,29078300728208,16,13.3301,3.0442,0.0006,0.64304,0.18254,0.00088,9.4585
63,1,0,1e+08,29078301298438,29078303411457,29078303411541,29078303475337,29078303488953,29078303488985,29078303799429,29078303799469,16,25.0103,21.1302,0.00084,0.63796,0.13616,0.00032,3.10444
64,1,0,1e+08,29078304462528,29078305194475,29078305194675,29078305319927,29078305367719,29078305367951,29078305856132,29078305856180,16,13.9365,7.31947,0.002,1.25252,0.47792,0.00232,4.88181
65,1,0,1e+08,29078306809499,29078307083571,29078307083599,29078307131195,29078307144923,29078307144951,29078307373199,29078307373231,16,5.63732,2.74072,0.00028,0.47596,0.13728,0.00028,2.28248
