frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,29087740585940,29087742750594,29087742750702,29087742750734,29087742750766,29087742750798,29087742750830,29087742750862,16,21.6492,21.6465,0.00108,0.00032,0.00032,0.00032,0.00032
1,1,0,1e+08,29087743327050,29087746527822,29087746527954,29087746538550,29087746538606,29087746538646,29087746538690,29087746538742,16,32.1169,32.0077,0.00132,0.10596,0.00056,0.0004,0.00044
2,1,0,1e+08,29087746926220,29087747702214,29087747702338,29087747702374,29087747702410,29087747702450,29087747702486,29087747702522,16,7.76302,7.75994,0.00124,0.00036,0.00036,0.0004,0.00036
3,1,0,1e+08,29087747943290,29087751905042,29087751905258,29087751905326,29087751905394,29087751905462,29087751905534,29087751905618,16,39.6233,39.6175,0.00216,0.00068,0.00068,0.00068,0.00072
4,1,0,1e+08,29087752134002,29087754305237,29087754305345,29087754305381,29087754305413,29087754305449,29087754305485,29087754305517,16,21.7151,21.7123,0.00108,0.00036,0.00032,0.00036,0.00036
5,1,0,1e+08,29087754501309,29087755343849,29087755343945,29087755343973,29087755344005,29087755344037,29087755344069,29087755344105,16,8.42796,8.4254,0.00096,0.00028,0.00032,0.00032,0.00032
6,1,0,1e+08,29087755520145,29087758128123,29087758128259,29087758128299,29087758128343,29087758128387,29087758128431,29087758128471,16,26.0833,26.0798,0.00136,0.0004,0.00044,0.00044,0.00044
7,1,0,1e+08,29087758317187,29087759026936,29087759027036,29087759027068,29087759027096,29087759027128,29087759027160,29087759027196,16,7.10009,7.09749,0.001,0.00032,0.00028,0.00032,0.00032
8,1,0,1e+08,29087759313188,29087762961401,29087762961537,29087762961573,29087762961613,29087762961649,29087762961685,29087762961725,16,36.4854,36.4821,0.00136,0.00036,0.0004,0.00036,0.00036
9,1,0,1e+08,29087763204489,29087763594435,29087763594531,29087763594563,29087763594595,29087763594623,29087763594655,29087763594691,16,3.90202,3.89946,0.00096,0.00032,0.00032,0.00028,0.00032
10,1,0,1e+08,29087763775684,29087767871908,29087767872348,29087767872498,29087767872653,29087767872798,29087767872958,29087767873103,16,40.9742,40.9622,0.0044,0.0015,0.00155,0.00145,0.0016
11,1,0,1e+08,29087768466859,29087768862621,29087768862665,29087768862697,29087768862733,29087768862765,29087768862801,29087768862841,16,3.95982,3.95762,0.00044,0.00032,0.00036,0.00032,0.00036
12,1,0,1e+08,29087769086493,29087772675843,29087772711607,29087772711715,29087772711763,29087772711795,29087772711839,29087772711871,16,36.2538,35.8935,0.35764,0.00108,0.00048,0.00032,0.00044
13,1,0,1e+08,29087772905856,29087773995361,29087773995513,29087773995561,29087773995613,29087773995665,29087773995717,29087773995777,16,10.8992,10.895,0.00152,0.00048,0.00052,0.00052,0.00052
14,1,0,1e+08,29087774405649,29087776051479,29087776051631,29087776051679,29087776051731,29087776051779,29087776051827,29087776051875,16,16.4623,16.4583,0.00152,0.00048,0.00052,0.00048,0.00048
