frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,29158379708677,29158380630549,29158380630954,29158380706675,29158380710223,29158380742067,29158380822095,29158380822123,16,11.1345,9.21872,0.00405,0.75721,0.03548,0.31844,0.80028
1,1,0,1e+08,29158382057720,29158382309180,29158382309288,29158382325676,29158382329304,29158382351624,29158382442720,29158382442760,16,3.8504,2.5146,0.00108,0.16388,0.03628,0.2232,0.91096
2,1,0,1e+08,29158383455848,29158383798690,29158383798762,29158383814534,29158383817894,29158383833554,29158383919198,29158383919234,16,4.63386,3.42842,0.00072,0.15772,0.0336,0.1566,0.85644
3,1,0,1e+08,29158384823284,29158385204701,29158385204761,29158385219605,29158385222993,29158385237581,29158385370283,29158385370371,16,5.47087,3.81417,0.0006,0.14844,0.03388,0.14588,1.32702
4,1,0,1e+08,29158386280722,29158386660363,29158386660443,29158386681512,29158386690767,29158386778534,29158386857726,29158386857754,16,5.77032,3.79641,0.0008,0.21069,0.09255,0.87767,0.79192
5,1,0,1e+08,29158388036359,29158388409813,29158388409921,29158388420537,29158388422809,29158388437709,29158388525222,29158388525282,16,4.88923,3.73454,0.00108,0.10616,0.02272,0.149,0.87513
6,1,0,1e+08,29158389642339,29158389994961,29158389995045,29158390005197,29158390007385,29158390019937,29158390071441,29158390071465,16,4.29126,3.52622,0.00084,0.10152,0.02188,0.12552,0.51504
7,1,0,1e+08,29158390652395,29158390870551,29158390870802,29158390895917,29158390901141,29158390949021,29158391039580,29158391039612,16,3.87217,2.18156,0.00251,0.25115,0.05224,0.4788,0.90559
8,1,0,1e+08,29158391562841,29158391698958,29158391698982,29158391708694,29158391710786,29158391723090,29158391779726,29158391779746,16,2.16905,1.36117,0.00024,0.09712,0.02092,0.12304,0.56636
9,1,0,1e+08,29158392470054,29158392646423,29158392646507,29158392657167,29158392659471,29158392672231,29158392834255,29158392834291,16,3.64237,1.76369,0.00084,0.1066,0.02304,0.1276,1.62024
10,1,0,1e+08,29158393528076,29158393900223,29158393900291,29158393911119,29158393913423,29158393926263,29158394008548,29158394008683,16,4.80607,3.72147,0.00068,0.10828,0.02304,0.1284,0.82285
11,1,0,1e+08,29158394536882,29158395111828,29158395111896,29158395124260,29158395126916,29158395178808,29158395535833,29158395536018,16,9.99136,5.74946,0.00068,0.12364,0.02656,0.51892,3.57025
12,1,0,1e+08,29158396929178,29158397040818,29158397040854,29158397054114,29158397057038,29158397074738,29158397145478,29158397145506,16,2.16328,1.1164,0.00036,0.1326,0.02924,0.177,0.7074
13,1,0,1e+08,29158397727028,29158398009514,29158398009602,29158398033842,29158398038634,29158398085954,29158398201775,29158398201835,16,4.74807,2.82486,0.00088,0.2424,0.04792,0.4732,1.15821
14,1,0,1e+08,29158398744737,29158398998491,29158398998555,29158399009203,29158399011583,29158399024763,29158399145759,29158399145904,16,4.01167,2.53754,0.00064,0.10648,0.0238,0.1318,1.20996
15,1,0,1e+08,29158400864577,29158401012565,29158401012601,29158401026417,29158401029357,29158401048401,29158401122845,29158401122877,16,2.583,1.47988,0.00036,0.13816,0.0294,0.19044,0.74444
16,1,0,1e+08,29158401859572,29158402020366,29158402020398,29158402032710,29158402035298,29158402051230,29158402288113,29158402288184,16,4.28612,1.60794,0.00032,0.12312,0.02588,0.15932,2.36883
17,1,0,1e+08,29158402995182,29158403112676,29158403112700,29158403124500,29158403126912,29158403139816,29158403215169,29158403215233,16,2.20051,1.17494,0.00024,0.118,0.02412,0.12904,0.75353
18,1,0,1e+08,29158404910943,29158405038372,29158405038408,29158405052460,29158405055500,29158405074644,29158405148128,29158405148156,16,2.37213,1.27429,0.00036,0.14052,0.0304,0.19144,0.73484
19,1,0,1e+08,29158405727639,29158405847367,29158405847407,29158405860355,29158405863131,29158405883039,29158406164747,29158406164835,16,4.37196,1.19728,0.0004,0.12948,0.02776,0.19908,2.81708
20,1,0,1e+08,29158406785953,29158407007474,29158407007570,29158407020082,29158407022914,29158407041930,29158407168197,29158407168265,16,3.82312,2.21521,0.00096,0.12512,0.02832,0.19016,1.26267
21,1,0,1e+08,29158407940705,29158408516831,29158408517291,29158408564121,29158408573531,29158408610584,29158408713189,29158408713225,16,7.7252,5.76126,0.0046,0.4683,0.0941,0.37053,1.02605
22,1,0,1e+08,29158409678910,29158409816030,29158409816058,29158409829574,29158409832098,29158409845934,29158409974421,29158409974495,16,2.95585,1.3712,0.00028,0.13516,0.02524,0.13836,1.28487
23,1,0,1e+08,29158410719543,29158410824227,29158410824251,29158410836979,29158410839479,29158410852579,29158411072403,29158411072588,16,3.53045,1.04684,0.00024,0.12728,0.025,0.131,2.19824
24,1,0,1e+08,29158412958176,29158413056064,29158413056096,29158413069812,29158413072604,29158413091696,29158413173592,29158413173624,16,2.15448,0.97888,0.00032,0.13716,0.02792,0.19092,0.81896
