frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,29148699275980,29148701226386,29148701226602,29148701531193,29148701542341,29148701888725,29148702186933,29148702186961,16,29.1098,19.5041,0.00216,3.04591,0.11148,3.46384,2.98208
1,1,0,1e+08,29148703837748,29148705623311,29148705623415,29148705692271,29148705706335,29148705959820,29148706306181,29148706306241,16,24.6849,17.8556,0.00104,0.68856,0.14064,2.53485,3.46361
2,1,0,1e+08,29148707788011,29148709045688,29148709045916,29148709121609,29148709134977,29148709353789,29148709904612,29148709904762,16,21.1675,12.5768,0.00228,0.75693,0.13368,2.18812,5.50823
3,1,0,1e+08,29148711842105,29148713218076,29148713218212,29148713286948,29148713300084,29148713599829,29148713899409,29148713899437,16,20.5733,13.7597,0.00136,0.68736,0.13136,2.99745,2.9958
4,1,0,1e+08,29148715270556,29148717682340,29148717682780,29148717844390,29148717877300,29148718598012,29148719120138,29148719120190,16,38.4963,24.1178,0.0044,1.6161,0.3291,7.20712,5.22126
5,1,0,1e+08,29148721284210,29148723148211,29148723148661,29148723299483,29148723329633,29148724586227,29148725115116,29148725115152,16,38.3094,18.64,0.0045,1.50822,0.3015,12.5659,5.28889
6,1,0,1e+08,29148726223040,29148728505022,29148728505126,29148728570366,29148728583522,29148728851494,29148729151090,29148729151114,16,29.2807,22.8198,0.00104,0.6524,0.13156,2.67972,2.99596
7,1,0,1e+08,29148730228249,29148732442804,29148732442900,29148732505292,29148732518556,29148732793096,29148733115980,29148733116008,16,28.8776,22.1456,0.00096,0.62392,0.13264,2.7454,3.22884
8,1,0,1e+08,29148734381698,29148735397377,29148735397445,29148735460457,29148735472721,29148735842979,29148736189443,29148736189471,16,18.0777,10.1568,0.00068,0.63012,0.12264,3.70258,3.46464
9,1,0,1e+08,29148737884204,29148738755563,29148738755659,29148738834746,29148738850562,29148739281625,29148739654229,29148739654269,16,17.7006,8.71359,0.00096,0.79087,0.15816,4.31063,3.72604
10,1,0,1e+08,29148741174424,29148742285958,29148742286133,29148742351080,29148742363144,29148742680340,29148743091092,29148743091188,16,19.1676,11.1153,0.00175,0.64947,0.12064,3.17196,4.10752
11,1,0,1e+08,29148744254688,29148744612717,29148744612773,29148744676593,29148744688833,29148744972337,29148745315285,29148745315333,16,10.6065,3.58029,0.00056,0.6382,0.1224,2.83504,3.42948
12,1,0,1e+08,29148746503716,29148747983216,29148747983452,29148748061735,29148748078091,29148748355071,29148748652543,29148748652567,16,21.4885,14.795,0.00236,0.78283,0.16356,2.7698,2.97472
13,1,0,1e+08,29148749788496,29148750639784,29148750639876,29148750719719,29148750736719,29148751176210,29148751537110,29148751537150,16,17.4865,8.51288,0.00092,0.79843,0.17,4.39491,3.609
14,1,0,1e+08,29148752610658,29148753402327,29148753402391,29148753471783,29148753486755,29148753814788,29148754134788,29148754134824,16,15.2417,7.91669,0.00064,0.69392,0.14972,3.28033,3.2
15,1,0,1e+08,29148755179906,29148756258158,29148756258318,29148756328726,29148756342818,29148756696814,29148757006246,29148757006278,16,18.2637,10.7825,0.0016,0.70408,0.14092,3.53996,3.09432
16,1,0,1e+08,29148758107306,29148758501784,29148758501840,29148758552680,29148758562844,29148758863352,29148759265924,29148759265952,16,11.5865,3.94478,0.00056,0.5084,0.10164,3.00508,4.02572
17,1,0,1e+08,29148760492101,29148761328132,29148761328224,29148761410668,29148761427348,29148761868950,29148762221554,29148762221594,16,17.2949,8.36031,0.00092,0.82444,0.1668,4.41602,3.52604
18,1,0,1e+08,29148763264568,29148763566532,29148763566592,29148763623124,29148763634676,29148763969140,29148764438128,29148764438160,16,11.7359,3.01964,0.0006,0.56532,0.11552,3.34464,4.68988
19,1,0,1e+08,29148765342058,29148765608810,29148765608846,29148765658630,29148765668810,29148765933678,29148766202006,29148766202038,16,8.5998,2.66752,0.00036,0.49784,0.1018,2.64868,2.68328
20,1,0,1e+08,29148767228347,29148767501217,29148767501261,29148767550721,29148767560545,29148767795217,29148768137381,29148768137409,16,9.09062,2.7287,0.00044,0.4946,0.09824,2.34672,3.42164
21,1,0,1e+08,29148769252836,29148770018154,29148770018246,29148770096086,29148770111830,29148770556718,29148770913354,29148770913394,16,16.6056,7.65318,0.00092,0.7784,0.15744,4.44888,3.56636
