frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,29138860014802,29138861594607,29138861595077,29138861818991,29138861841711,29138862262491,29138862592507,29138862592543,16,25.7774,15.7981,0.0047,2.23914,0.2272,4.2078,3.30016
1,1,0,1e+08,29138864014446,29138865819389,29138865819869,29138865980864,29138866067115,29138866587605,29138866971026,29138866971070,16,29.5662,18.0494,0.0048,1.60995,0.86251,5.2049,3.83421
2,1,0,1e+08,29138868421883,29138869734504,29138869734620,29138869799816,29138869815384,29138870055492,29138870378224,29138870378256,16,19.5637,13.1262,0.00116,0.65196,0.15568,2.40108,3.22732
3,1,0,1e+08,29138871416673,29138873382430,29138873382550,29138873447862,29138873462962,29138873735706,29138874082445,29138874082485,16,26.6581,19.6576,0.0012,0.65312,0.151,2.72744,3.46739
4,1,0,1e+08,29138875112091,29138876449553,29138876449677,29138876515385,29138876531793,29138876824447,29138877121935,29138877121963,16,20.0987,13.3746,0.00124,0.65708,0.16408,2.92654,2.97488
5,1,0,1e+08,29138878060144,29138879152899,29138879153051,29138879221167,29138879236215,29138879482119,29138879774159,29138879774191,16,17.1405,10.9276,0.00152,0.68116,0.15048,2.45904,2.9204
6,1,0,1e+08,29138880707792,29138882139063,29138882139167,29138882209631,29138882228683,29138882497327,29138882747983,29138882748007,16,20.4022,14.3127,0.00104,0.70464,0.19052,2.68644,2.50656
7,1,0,1e+08,29138883654941,29138885749458,29138885749666,29138885814331,29138885836575,29138886234944,29138886549572,29138886549608,16,28.9467,20.9452,0.00208,0.64665,0.22244,3.98369,3.14628
8,1,0,1e+08,29138887585575,29138887953227,29138887953397,29138888058912,29138888077596,29138888605491,29138889144531,29138889144575,16,15.59,3.67652,0.0017,1.05515,0.18684,5.27895,5.3904
9,1,0,1e+08,29138890411366,29138890702570,29138890702610,29138890756042,29138890771066,29138891279914,29138892044278,29138892044338,16,16.3297,2.91204,0.0004,0.53432,0.15024,5.08848,7.64364
10,1,0,1e+08,29138893251610,29138893495460,29138893495500,29138893546392,29138893561472,29138893840396,29138894197820,29138894197864,16,9.46254,2.4385,0.0004,0.50892,0.1508,2.78924,3.57424
