frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,29160533823621,29160536040916,29160536041060,29160536041100,29160536163312,29160536412216,29160536657116,29160536657144,16,28.3352,22.173,0.00144,0.0004,1.22212,2.48904,2.449
1,1,0,1e+08,29160538982982,29160541061267,29160541061787,29160541061902,29160541091989,29160542350936,29160542787504,29160542787564,16,38.0458,20.7828,0.0052,0.00115,0.30087,12.5895,4.36568
2,1,0,1e+08,29160544229459,29160546442761,29160546443321,29160546443471,29160546474326,29160546959775,29160547328043,29160547328079,16,30.9862,22.133,0.0056,0.0015,0.30855,4.85449,3.68268
3,1,0,1e+08,29160548882142,29160550848614,29160550848802,29160550848842,29160550863558,29160551708788,29160552108593,29160552108657,16,32.2651,19.6647,0.00188,0.0004,0.14716,8.4523,3.99805
4,1,0,1e+08,29160553038624,29160555859882,29160555860070,29160555860106,29160555875854,29160556183798,29160556469394,29160556469426,16,34.308,28.2126,0.00188,0.00036,0.15748,3.07944,2.85596
5,1,0,1e+08,29160557392919,29160560564358,29160560564933,29160560565063,29160560590679,29160561071080,29160561438212,29160561438256,16,40.4534,31.7144,0.00575,0.0013,0.25616,4.80401,3.67132
6,1,0,1e+08,29160562533347,29160565427214,29160565427378,29160565427418,29160565441274,29160565842876,29160566155296,29160566155336,16,36.2199,28.9387,0.00164,0.0004,0.13856,4.01602,3.1242
7,1,0,1e+08,29160567039717,29160569801877,29160569802053,29160569802085,29160569817173,29160570329803,29160570655147,29160570655183,16,36.1547,27.6216,0.00176,0.00032,0.15088,5.1263,3.25344
8,1,0,1e+08,29160571747559,29160572176136,29160572176184,29160572176220,29160572186660,29160572469752,29160572780048,29160572780084,16,10.3252,4.28577,0.00048,0.00036,0.1044,2.83092,3.10296
9,1,0,1e+08,29160573851279,29160574940112,29160574940264,29160574940300,29160574953800,29160575251920,29160575572608,29160575572640,16,17.2136,10.8883,0.00152,0.00036,0.135,2.9812,3.20688
10,1,0,1e+08,29160576518444,29160576949190,29160576949258,29160576949302,29160576961394,29160577317751,29160577639991,29160577640019,16,11.2157,4.30746,0.00068,0.00044,0.12092,3.56357,3.2224
11,1,0,1e+08,29160578604976,29160579602411,29160579602539,29160579602563,29160579615275,29160579943420,29160580234512,29160580234552,16,16.2958,9.97435,0.00128,0.00024,0.12712,3.28145,2.91092
12,1,0,1e+08,29160581214976,29160581532208,29160581532244,29160581532276,29160581542012,29160581777408,29160582033088,29160582033120,16,8.18144,3.17232,0.00036,0.00032,0.09736,2.35396,2.5568
13,1,0,1e+08,29160583023608,29160583305856,29160583305900,29160583305932,29160583316544,29160583595680,29160583899860,29160583899896,16,8.76288,2.82248,0.00044,0.00032,0.10612,2.79136,3.0418
14,1,0,1e+08,29160584809340,29160587332499,29160587332667,29160587332699,29160587346231,29160587648863,29160588098049,29160588098077,16,32.8874,25.2316,0.00168,0.00032,0.13532,3.02632,4.49186
