frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,31063531041998,31063532839923,31063532840418,31063533177482,31063533187942,31063533207462,31063533685394,31063533685442,16,26.4344,17.9793,0.00495,3.37064,0.1046,0.1952,4.77932
1,1,0,1e+08,31063536598911,31063537451998,31063537452062,31063537541911,31063537558191,31063537589127,31063538012139,31063538012187,16,14.1328,8.53087,0.00064,0.89849,0.1628,0.30936,4.23012
2,1,0,1e+08,31063539722645,31063541323808,31063541324318,31063541477722,31063541508959,31063541569534,31063543000175,31063543000305,16,32.7766,16.0116,0.0051,1.53404,0.31237,0.60575,14.3064
3,1,0,1e+08,31063544209770,31063545782019,31063545782211,31063545857739,31063545872435,31063545900907,31063546303619,31063546303663,16,20.9389,15.7225,0.00192,0.75528,0.14696,0.28472,4.02712
4,1,0,1e+08,31063547612059,31063549263052,31063549263232,31063549317444,31063549328032,31063549349472,31063549677000,31063549677032,16,20.6497,16.5099,0.0018,0.54212,0.10588,0.2144,3.27528
5,1,0,1e+08,31063551262435,31063552981279,31063552981563,31063553069381,31063553085725,31063553117733,31063553452411,31063553452447,16,21.9001,17.1884,0.00284,0.87818,0.16344,0.32008,3.34678
6,1,0,1e+08,31063555098687,31063556945481,31063556946026,31063557108042,31063557141972,31063557208790,31063557946864,31063557946912,16,28.4823,18.4679,0.00545,1.62016,0.3393,0.66818,7.38074
7,1,0,1e+08,31063559250804,31063561643884,31063561644404,31063561797437,31063561828922,31063561890131,31063562830337,31063562830401,16,35.796,23.9308,0.0052,1.53033,0.31485,0.61209,9.40206
8,1,0,1e+08,31063564475072,31063565296517,31063565296577,31063565358241,31063565370209,31063565395753,31063565833450,31063565833486,16,13.5841,8.21445,0.0006,0.61664,0.11968,0.25544,4.37697
9,1,0,1e+08,31063567962124,31063568357470,31063568357530,31063568418018,31063568429126,31063568452174,31063568790790,31063568790830,16,8.28706,3.95346,0.0006,0.60488,0.11108,0.23048,3.38616
10,1,0,1e+08,31063571020181,31063571325041,31063571325081,31063571381601,31063571392049,31063571412201,31063571695509,31063571695537,16,6.75356,3.0486,0.0004,0.5652,0.10448,0.20152,2.83308
11,1,0,1e+08,31063574030939,31063574347532,31063574347592,31063574471136,31063574501159,31063574559379,31063575720641,31063575720705,16,16.8977,3.16593,0.0006,1.23544,0.30023,0.5822,11.6126
12,1,0,1e+08,31063578052582,31063578482139,31063578482195,31063578546391,31063578560191,31063578585295,31063578962263,31063578962295,16,9.09713,4.29557,0.00056,0.64196,0.138,0.25104,3.76968
13,1,0,1e+08,31063581313690,31063581631782,31063581631810,31063581708554,31063581724006,31063581753662,31063582755483,31063582755673,16,14.4198,3.18092,0.00028,0.76744,0.15452,0.29656,10.0182
14,1,0,1e+08,31063584790080,31063585584790,31063585584985,31063585719458,31063585735354,31063585766450,31063586275346,31063586275390,16,14.8531,7.9471,0.00195,1.34473,0.15896,0.31096,5.08896
15,1,0,1e+08,31063587620282,31063588762255,31063588762531,31063588843320,31063588859556,31063588891476,31063589334301,31063589334445,16,17.1416,11.4197,0.00276,0.80789,0.16236,0.3192,4.42825
16,1,0,1e+08,31063590472126,31063591406050,31063591406114,31063591471230,31063591484482,31063591511374,31063591954882,31063591954918,16,14.8279,9.33924,0.00064,0.65116,0.13252,0.26892,4.43508
17,1,0,1e+08,31063593145737,31063593539000,31063593539092,31063593605992,31063593617108,31063593639276,31063594248509,31063594248593,16,11.0286,3.93263,0.00092,0.669,0.11116,0.22168,6.09233
18,1,0,1e+08,31063595358010,31063595704894,31063595704938,31063595759250,31063595770134,31063595790650,31063596121410,31063596121442,16,7.63432,3.46884,0.00044,0.54312,0.10884,0.20516,3.3076
19,1,0,1e+08,31063597104104,31063598062974,31063598063030,31063598132027,31063598145863,31063598171771,31063598589195,31063598589239,16,14.8514,9.5887,0.00056,0.68997,0.13836,0.25908,4.17424
20,1,0,1e+08,31063599816501,31063600762688,31063600762756,31063600823016,31063600835068,31063600859188,31063601286045,31063601286077,16,14.6958,9.46187,0.00068,0.6026,0.12052,0.2412,4.26857
21,1,0,1e+08,31063602671428,31063603310913,31063603311123,31063603468844,31063603497888,31063603531216,31063604098934,31063604098986,16,14.2756,6.39485,0.0021,1.57721,0.29044,0.33328,5.67718
22,1,0,1e+08,31063605518994,31063605839622,31063605839686,31063605900590,31063605912626,31063605936646,31063606348866,31063606348914,16,8.2992,3.20628,0.00064,0.60904,0.12036,0.2402,4.1222
23,1,0,1e+08,31063607749223,31063608068562,31063608068614,31063608126530,31063608138494,31063608162046,31063608474846,31063608474882,16,7.25659,3.19339,0.00052,0.57916,0.11964,0.23552,3.128
24,1,0,1e+08,31063609839558,31063610110124,31063610110176,31063610170292,31063610182492,31063610205804,31063610660446,31063610660596,16,8.21038,2.70566,0.00052,0.60116,0.122,0.23312,4.54642
