frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,31064532779880,31064534054112,31064534054537,31064534463377,31064534478761,31064534508453,31064535011089,31064535011133,16,22.3125,12.7423,0.00425,4.0884,0.15384,0.29692,5.02636
1,1,0,1e+08,31064537036761,31064538680294,31064538680749,31064538831155,31064538861260,31064538921010,31064539724936,31064539724996,16,26.8823,16.4353,0.00455,1.50406,0.30105,0.5975,8.03926
2,1,0,1e+08,31064541145530,31064542679628,31064542679784,31064542753377,31064542769049,31064542797357,31064543190681,31064543190717,16,20.4519,15.341,0.00156,0.73593,0.15672,0.28308,3.93324
3,1,0,1e+08,31064544543373,31064545773309,31064545773541,31064545852120,31064545866264,31064545894328,31064546262520,31064546262556,16,17.1918,12.2994,0.00232,0.78579,0.14144,0.28064,3.68192
4,1,0,1e+08,31064547398263,31064548596533,31064548596681,31064548665573,31064548678721,31064548703761,31064549044161,31064549044197,16,16.4593,11.9827,0.00148,0.68892,0.13148,0.2504,3.404
5,1,0,1e+08,31064550094442,31064551193779,31064551193939,31064551264691,31064551279211,31064551306411,31064551923727,31064551923787,16,18.2934,10.9934,0.0016,0.70752,0.1452,0.272,6.17316
6,1,0,1e+08,31064552914941,31064554138425,31064554138541,31064554203349,31064554216505,31064554240573,31064554594629,31064554594665,16,16.7972,12.2348,0.00116,0.64808,0.13156,0.24068,3.54056
7,1,0,1e+08,31064555516817,31064556791871,31064556791987,31064556855155,31064556867879,31064556891623,31064557220807,31064557220855,16,17.0404,12.7505,0.00116,0.63168,0.12724,0.23744,3.29184
8,1,0,1e+08,31064558225056,31064558843576,31064558843766,31064559001950,31064559030536,31064559063120,31064559589649,31064559589693,16,13.6464,6.1852,0.0019,1.58184,0.28586,0.32584,5.26529
9,1,0,1e+08,31064560960515,31064561788638,31064561788702,31064561875799,31064561892715,31064561925243,31064562344135,31064562344175,16,13.8366,8.28123,0.00064,0.87097,0.16916,0.32528,4.18892
10,1,0,1e+08,31064563758369,31064564794885,31064564795075,31064564957834,31064564988964,31064565052146,31064565780433,31064565780485,16,20.2212,10.3652,0.0019,1.62759,0.3113,0.63182,7.28287
11,1,0,1e+08,31064567201131,31064567918851,31064567919041,31064568064593,31064568084377,31064568121049,31064568632526,31064568632574,16,14.3144,7.1772,0.0019,1.45552,0.19784,0.36672,5.11477
12,1,0,1e+08,31064570065702,31064571217004,31064571217194,31064571371214,31064571401934,31064571465700,31064572250349,31064572250401,16,21.847,11.513,0.0019,1.5402,0.3072,0.63766,7.84649
13,1,0,1e+08,31064574048693,31064574695729,31064574695789,31064574785869,31064574804385,31064574838829,31064575236469,31064575236513,16,11.8782,6.47036,0.0006,0.9008,0.18516,0.34444,3.9764
14,1,0,1e+08,31064577432206,31064577811946,31064577811986,31064577927658,31064577951442,31064577978114,31064578305350,31064578305386,16,8.7318,3.7974,0.0004,1.15672,0.23784,0.26672,3.27236
15,1,0,1e+08,31064581134600,31064582116614,31064582116702,31064582184710,31064582197070,31064582222615,31064582672387,31064582672435,16,15.3784,9.82014,0.00088,0.68008,0.1236,0.25545,4.49772
16,1,0,1e+08,31064585360854,31064585698246,31064585698286,31064585792007,31064585813092,31064585873957,31064587109848,31064587109924,16,17.4907,3.37392,0.0004,0.93721,0.21085,0.60865,12.3589
17,1,0,1e+08,31064589221375,31064589818494,31064589818558,31064589914186,31064589928270,31064589956266,31064590326890,31064590326930,16,11.0556,5.97119,0.00064,0.95628,0.14084,0.27996,3.70624
18,1,0,1e+08,31064592823050,31064593143558,31064593143618,31064593244499,31064593263771,31064593298179,31064594454027,31064594454079,16,16.3103,3.20508,0.0006,1.00881,0.19272,0.34408,11.5585
19,1,0,1e+08,31064597015873,31064597375744,31064597375784,31064597439032,31064597451468,31064597474580,31064597799536,31064597799580,16,7.83707,3.59871,0.0004,0.63248,0.12436,0.23112,3.24956
20,1,0,1e+08,31064600342246,31064601330718,31064601330814,31064601411410,31064601427894,31064601460386,31064601957431,31064601957475,16,16.1523,9.88472,0.00096,0.80596,0.16484,0.32492,4.97045
21,1,0,1e+08,31064604925852,31064605302176,31064605302240,31064605417080,31064605437456,31064605467572,31064606772384,31064606772476,16,18.4662,3.76324,0.00064,1.1484,0.20376,0.30116,13.0481
22,1,0,1e+08,31064609466219,31064609872707,31064609872759,31064609944871,31064609960719,31064609989943,31064610319407,31064610319439,16,8.5322,4.06488,0.00052,0.72112,0.15848,0.29224,3.29464
23,1,0,1e+08,31064613303065,31064614184884,31064614184980,31064614270708,31064614288208,31064614321827,31064614792319,31064614792371,16,14.8931,8.81819,0.00096,0.85728,0.175,0.33619,4.70492
24,1,0,1e+08,31064617566305,31064617988918,31064617989088,31064618150037,31064618183012,31064618244360,31064619240353,31064619240405,16,16.741,4.22613,0.0017,1.60949,0.32975,0.61348,9.95993
25,1,0,1e+08,31064621686322,31064622099350,31064622099494,31064622180914,31064622198022,31064622225938,31064622630418,31064622630450,16,9.44128,4.13028,0.00144,0.8142,0.17108,0.27916,4.0448
26,1,0,1e+08,31064625088936,31064625396528,31064625396588,31064625537327,31064625561091,31064625604771,31064626870101,31064626870251,16,17.8132,3.07592,0.0006,1.40739,0.23764,0.4368,12.6533
27,1,0,1e+08,31064629420936,31064629991977,31064629992037,31064630092417,31064630113377,31064630149613,31064630580229,31064630580269,16,11.5933,5.71041,0.0006,1.0038,0.2096,0.36236,4.30616
28,1,0,1e+08,31064633111806,31064633495821,31064633495996,31064633650958,31064633682733,31064633741412,31064634809944,31064634809992,16,16.9819,3.84015,0.00175,1.54962,0.31775,0.58679,10.6853
29,1,0,1e+08,31064637365449,31064637736967,31064637737015,31064637802191,31064637814927,31064637847039,31064638186619,31064638186655,16,8.21206,3.71518,0.00048,0.65176,0.12736,0.32112,3.3958
30,1,0,1e+08,31064640571319,31064640917310,31064640917390,31064641025338,31064641046334,31064641082038,31064642296258,31064642296334,16,17.2501,3.45991,0.0008,1.07948,0.20996,0.35704,12.1422
31,1,0,1e+08,31064644141734,31064645052160,31064645052220,31064645132280,31064645145808,31064645174368,31064645621593,31064645621641,16,14.7991,9.10426,0.0006,0.8006,0.13528,0.2856,4.47225
32,1,0,1e+08,31064648062519,31064648469827,31064648469871,31064648549091,31064648566519,31064648597251,31064648942395,31064648942427,16,8.79908,4.07308,0.00044,0.7922,0.17428,0.30732,3.45144
33,1,0,1e+08,31064651669237,31064652426374,31064652426569,31064652583507,31064652614912,31064652676592,31064653330296,31064653330352,16,16.6112,7.57137,0.00195,1.56938,0.31405,0.6168,6.53704
34,1,0,1e+08,31064655112381,31064656106358,31064656106450,31064656187025,31064656204385,31064656235517,31064656687562,31064656687602,16,15.7522,9.93977,0.00092,0.80575,0.1736,0.31132,4.52045
35,1,0,1e+08,31064659231221,31064659561033,31064659561073,31064659662573,31064659682885,31064659712369,31064660028285,31064660028333,16,7.97112,3.29812,0.0004,1.015,0.20312,0.29484,3.15916
36,1,0,1e+08,31064662381992,31064662812843,31064662813018,31064662963834,31064662994079,31064663053842,31064664478033,31064664478163,16,20.9617,4.30851,0.00175,1.50816,0.30245,0.59763,14.2419
37,1,0,1e+08,31064665761063,31064666915800,31064666915975,31064667069805,31064667100550,31064667160855,31064668587408,31064668587573,16,28.2651,11.5474,0.00175,1.5383,0.30745,0.60305,14.2655
38,1,0,1e+08,31064669942522,31064671134479,31064671134924,31064671284909,31064671316418,31064671375868,31064672207905,31064672207945,16,22.6542,11.9196,0.00445,1.49985,0.31509,0.5945,8.32037
39,1,0,1e+08,31064673390495,31064674314233,31064674314293,31064674381382,31064674395234,31064674422122,31064674844067,31064674844107,16,14.5361,9.23738,0.0006,0.67089,0.13852,0.26888,4.21945
40,1,0,1e+08,31064676171085,31064677169684,31064677169854,31064677324926,31064677355431,31064677413726,31064678280548,31064678280616,16,21.0953,9.98599,0.0017,1.55072,0.30505,0.58295,8.66822
