ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
3213.8373,3212.2464,1488.7082,3212.0966,8,0,0,2036.8944,3212.1192,3212.1471,3212.1215,3212.0981,2279.0374,3213.8527,3212.1302,1488.7275,1488.7324,2039.0729,2037.384,2279.0374,45892,2279.0374,2039.0984,2037.3299,True,3212.2382,4,4206272,4206272,1
3370.0064,3213.8736,2036.9011,3212.1069,7,1,1,2599.8215,3212.152,3212.1679,3212.157,3212.1082,2287.2072,3370.0254,3212.1625,2036.9178,2036.9238,2280.6008,2279.3563,2287.2072,45892,2287.2072,2280.6103,2279.314,True,3213.8714,3,4206272,4206272,1
3803.9791,3370.0496,2599.8278,3212.0855,6,2,2,2599.9044,3212.1704,3212.1778,3212.172,3212.0872,2608.2775,3803.9919,3212.1747,2599.8499,2599.8538,2602.1214,2600.5169,2608.2775,45892,2608.2775,2602.152,2600.4669,True,3370.0478,2,4206272,4206272,1
3806.6071,3804.0091,2599.9069,3212.0591,5,3,3,2599.9652,3212.18,3212.1869,3212.1815,3212.063,2789.8632,3806.6243,3212.184,2599.9371,2599.9402,2602.3807,2600.6169,2789.8632,32160,2789.8632,2602.4095,2600.5445,True,3804.0074,1,4206272,4206272,1
3808.881,3806.6483,2599.9674,3212.0737,4,4,4,3211.8344,3212.1887,3212.1961,3212.1901,3212.0759,2616.4917,3808.8927,3212.1928,2599.978,2599.9803,2610.1413,2608.4843,2616.4917,45892,2616.4917,2610.1515,2608.4337,True,3806.645,0,4206272,4206272,1
3949.2085,3948.006,3211.8421,3947.9139,8,5,5,3211.9304,3947.9336,3947.9512,3947.9346,3947.9151,3224.5697,3949.2178,3947.9387,3211.8667,3211.8723,3214.6819,3212.8859,3224.5697,45892,3224.5697,3214.7009,3212.833,True,3948.0011,3,4206272,4206272,1
3951.9836,3949.2267,3211.9336,3947.9271,7,6,6,3211.9828,3947.9545,3947.9603,3947.9557,3947.9279,3228.4816,3952.0076,3947.9577,3211.9495,3211.9527,3215.0933,3212.987,3228.4816,32160,3228.4816,3215.1131,3212.9166,True,3949.2257,2,4206272,4206272,1
3954.3415,3952.0336,3211.9859,3947.9017,6,7,7,3212.0266,3947.9614,3947.9659,3947.9624,3947.9043,3468.0859,3954.3575,3947.9639,3211.9983,3212.0013,3214.9902,3213.0222,3468.0859,21648,3468.0859,3215.021,3212.9616,True,3952.0303,1,4206272,4206272,1
3955.8554,3954.3725,3212.1996,3947.921,5,3,8,3947.687,3947.9667,3947.9708,3947.9676,3947.922,3235.514,3955.8788,3947.9692,3213.946,3213.9582,3225.0681,3224.8953,3235.514,45892,3235.514,3225.0778,3224.8493,True,3954.3712,0,4206272,4206272,1
3963.0639,3962.4047,3947.6975,3962.3008,8,4,9,3947.7655,3962.3259,3962.3487,3962.3281,3962.3061,3961.8623,3963.0777,3962.3348,3947.7166,3947.72,3950.2328,3948.5557,3961.8623,32160,3961.8623,3950.2428,3948.4995,True,3962.4005,1,4206272,4206272,1
