ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
3020.8913,3019.4194,1501.9617,3019.2761,8,0,0,1974.5906,3019.3216,3019.3385,3019.323,3019.2795,2158.4302,3020.9091,3019.3287,1501.9805,1501.9853,1976.6488,1975.2089,2158.4302,8828,2158.4302,1976.6749,1975.1516,True,3019.4077,4,3813888,3813888,1
3168.9122,3020.9326,1974.5988,3019.3144,7,1,1,2470.1968,3019.341,3019.3479,3019.3425,3019.3153,2166.1246,3168.9268,3019.3455,1974.6215,1974.6283,2159.8715,2158.652,2166.1246,8828,2166.1246,2159.8808,2158.6113,True,3020.9304,3,3813888,3813888,1
3605.6522,3168.9503,2470.2143,3019.2903,6,2,2,2470.3114,3019.3505,3019.3559,3019.3521,3019.2923,2479.8702,3605.6698,3019.3537,2470.2474,2470.2515,2472.6294,2470.9158,2479.8702,8828,2479.8702,2472.6417,2470.8536,True,3168.9481,2,3813888,3813888,1
3607.6069,3605.6915,2470.314,3019.2999,5,3,3,2470.3506,3019.357,3019.3613,3019.3579,3019.301,2692.5078,3607.6182,3019.3597,2470.3264,2470.3289,2472.3458,2470.9277,2692.5078,45944,2692.5078,2472.3686,2470.8819,True,3605.6894,1,3813888,3813888,1
3609.5325,3607.6352,2470.3526,3019.3068,4,4,4,3019.0916,3019.3621,3019.3661,3019.363,3019.3076,2489.1488,3609.5421,3019.3645,2470.3628,2470.3651,2481.291,2480.0266,2489.1488,8828,2489.1488,2481.2988,2479.9874,True,3607.6326,0,3813888,3813888,1
3678.0794,3676.6474,3019.0982,3676.539,8,5,5,3019.166,3676.559,3676.5712,3676.56,3676.5402,3030.1338,3678.0978,3676.5631,3019.1173,3019.1212,3021.249,3019.8923,3030.1338,8828,3030.1338,3021.2639,3019.8405,True,3676.6397,3,3813888,3813888,1
3680.6833,3678.1126,3019.1679,3676.5523,7,6,6,3019.2214,3676.5732,3676.578,3676.5743,3676.5531,3037.474,3680.701,3676.5759,3019.1965,3019.1986,3021.7676,3019.9893,3037.474,45944,3037.474,3021.7891,3019.921,True,3678.1111,2,3813888,3813888,1
3682.8087,3680.7148,3019.223,3676.5285,6,7,7,3019.2492,3676.5791,3676.5833,3676.5801,3676.5307,3272.8542,3682.8235,3676.5816,3019.2312,3019.2329,3021.3788,3020.05,3272.8542,8088,3272.8542,3021.4167,3019.9873,True,3680.7134,1,3813888,3813888,1
3683.9185,3682.8379,3019.3682,3676.5461,5,3,8,3676.3213,3676.5842,3676.5893,3676.5852,3676.547,3042.946,3683.9321,3676.5874,3020.9657,3020.9711,3030.6375,3030.3918,3042.946,8828,3042.946,3030.6508,3030.3294,True,3682.8362,0,3813888,3813888,1
3690.4367,3689.7558,3676.3326,3689.5937,8,4,9,3676.4025,3689.6225,3689.6684,3689.6247,3689.5981,3689.2489,3690.4493,3689.6399,3676.3518,3676.3553,3678.4328,3677.03,3689.2489,45944,3689.2489,3678.4712,3676.9817,True,3689.749,1,3813888,3813888,1
3692.5229,3690.4613,3676.4062,3689.1837,7,5,10,3676.4456,3689.6781,3689.6893,3689.6802,3689.1866,3688.6614,3692.5388,3689.6851,3676.4236,3676.4256,3677.3398,3677.1706,3688.6614,8828,3688.6614,3677.3503,3677.1194,True,3690.4604,0,3813888,3813888,1
3704.9718,3692.8212,3676.4476,3692.735,8,6,11,3676.4748,3692.7538,3692.773,3692.7557,3692.739,3691.6729,3705.0022,3692.7607,3676.455,3676.4565,3678.7511,3677.3019,3691.6729,8088,3691.6729,3678.7727,3677.1783,True,3692.8174,0,3813888,3813888,1
3878.2008,3877.6596,3676.4763,3877.5413,8,7,12,3676.4991,3877.5598,3877.5761,3877.5611,3877.5459,3877.1832,3878.2098,3877.5656,3676.4832,3676.485,3678.9146,3677.3543,3877.1832,9232,3877.1832,3678.9557,3677.2745,True,3877.6552,7,3813888,3813888,1
3879.608,3878.2206,3676.591,3705.3821,7,4,13,3678.2152,3877.579,3877.5846,3877.5803,3705.3855,3701.2932,3879.6166,3877.5823,3678.1635,3678.1676,3689.1627,3688.9908,3701.2932,8828,3701.2932,3689.1773,3688.9295,True,3878.2196,6,3813888,3813888,1
3880.6985,3879.6238,3678.2191,3705.3595,6,5,14,3680.9512,3877.5871,3877.5914,3877.5881,3705.3614,3700.7662,3880.7116,3877.5896,3680.8089,3680.8241,3689.7426,3689.4006,3700.7662,45944,3700.7662,3689.7541,3689.3607,True,3879.623,5,3813888,3813888,1
3882.0824,3880.7225,3680.9561,3705.3198,5,6,15,3683.0525,3877.5924,3877.5965,3877.5935,3705.3258,3702.331,3882.0921,3877.5949,3682.9185,3682.9324,3692.061,3691.8541,3702.331,8088,3702.331,3692.0703,3691.8115,True,3880.7215,4,3813888,3813888,1
3883.0708,3882.1004,3683.0589,3713.5256,4,7,16,3684.0375,3877.5975,3877.6016,3877.5984,3713.5284,3713.1846,3883.0794,3877.6001,3683.9813,3683.9867,3702.4847,3700.9694,3713.1846,45944,3713.1846,3702.5012,3700.909,True,3882.0995,3,3813888,3813888,1
3884.8982,3883.0902,3689.6938,3712.2673,3,6,17,3690.6769,3877.6023,3877.6063,3877.6031,3712.271,3711.8894,3884.9151,3877.6047,3690.5285,3690.5382,3701.7399,3701.5347,3711.8894,8828,3711.8894,3701.7519,3701.4651,True,3883.0889,2,3813888,3813888,1
3900.1477,3884.9291,3690.6867,3716.1296,2,7,18,3692.696,3877.6071,3877.611,3877.608,3716.1332,3715.8597,3900.1827,3877.6094,3692.5861,3692.5945,3704.4316,3702.5771,3715.8597,8088,3715.8597,3704.4513,3702.5211,True,3884.9274,1,3813888,3813888,1
3901.7674,3900.2066,3692.7785,3723.0517,1,7,19,3705.2453,3877.6131,3877.617,3877.614,3723.0549,3722.7663,3901.7814,3877.6155,3705.0913,3705.1016,3713.5704,3712.1354,3722.7663,8828,3722.7663,3713.5835,3712.08,True,3900.2037,0,3813888,3813888,1
3903.9713,3902.086,3877.6185,3901.9586,8,0,20,3878.3752,3901.9668,3901.9825,3901.9681,3901.9597,3892.6541,3903.9841,3901.9741,3878.2706,3878.2779,3880.527,3878.8615,3892.6541,45944,3892.6541,3880.546,3878.7758,True,3902.0747,3,3813888,3813888,1
3905.3898,3903.997,3878.3856,3901.9219,7,1,21,3879.7565,3901.987,3901.9929,3901.9882,3901.9265,3895.3153,3905.4119,3901.9907,3879.6678,3879.6746,3882.4414,3880.5679,3895.3153,8088,3895.3153,3882.4567,3880.494,True,3903.995,2,3813888,3813888,1
3915.3438,3905.4351,3879.7612,3901.9499,6,2,22,3880.8851,3901.9941,3901.9985,3901.995,3901.9507,3894.3765,3915.3607,3901.9968,3880.7945,3880.8013,3883.0144,3881.4115,3894.3765,8828,3894.3765,3883.0527,3881.3301,True,3905.4323,1,3813888,3813888,1
3917.2691,3915.3776,3880.8906,3901.9415,5,3,23,3882.1692,3901.9994,3902.0033,3902.0003,3901.9427,3898.1091,3917.2835,3902.0017,3882.1282,3882.1322,3884.308,3882.4973,3898.1091,9232,3898.1091,3884.3245,3882.4201,True,3915.3752,0,3813888,3813888,1
