ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
2979.6988,2977.9708,1506.0124,2977.8324,8,0,0,1971.0638,2977.8769,2977.893,2977.8784,2977.8365,2154.4009,2979.7198,2977.8841,1506.0316,1506.0364,1973.9471,1972.3351,2154.4009,41960,2154.4009,1973.9745,1972.2667,True,2977.9599,4,4206272,4206272,1
3124.8525,2979.7424,1971.0805,2977.8695,7,1,1,2472.1324,2977.8962,2977.903,2977.8976,2977.8704,2162.2125,3124.8677,2977.9004,1971.1198,1971.1305,2156.0218,2154.7191,2162.2125,41960,2162.2125,2156.0309,2154.6768,True,2979.74,3,4206272,4206272,1
3616.6558,3124.8896,2472.1379,2977.8469,6,2,2,2472.2052,2977.9046,2977.9093,2977.9057,2977.8489,2481.0761,3616.6813,2977.9073,2472.1563,2472.1603,2474.6611,2472.7442,2481.0761,41960,2481.0761,2474.6717,2472.6827,True,3124.8879,2,4206272,4206272,1
3619.4164,3616.7023,2472.2071,2977.8564,5,3,3,2472.234,2977.9108,2977.9151,2977.9117,2977.8576,2652.3139,3619.4338,2977.9134,2472.2137,2472.2155,2474.334,2472.7794,2652.3139,5204,2652.3139,2474.356,2472.7271,True,3616.6996,1,4206272,4206272,1
3621.783,3619.4501,2472.2356,2977.8633,4,4,4,2977.6497,2977.916,2977.9202,2977.9169,2977.8641,2490.3246,3621.8,2977.9185,2472.2428,2472.2447,2483.0331,2481.318,2490.3246,41960,2490.3246,2483.0482,2481.2573,True,3619.448,0,4206272,4206272,1
3636.3146,3622.0885,2977.6569,3621.9997,8,5,5,2977.7238,3622.0067,3622.02,3622.0079,3622.0007,2991.7654,3636.5493,3622.0116,2977.6766,2977.6802,2980.5667,2978.6313,2991.7654,41960,2991.7654,2980.5806,2978.562,True,3622.0841,4,4206272,4206272,1
3641.2371,3636.7078,2977.7257,3621.9585,7,6,6,2977.7537,3622.0225,3622.0279,3622.0236,3621.9626,2994.8158,3641.2555,3622.0255,2977.7319,2977.7336,2980.2972,2978.7408,2994.8158,5204,2994.8158,2980.3143,2978.6807,True,3636.6677,3,4206272,4206272,1
3643.477,3641.2731,2977.7553,3621.993,6,7,7,2977.8078,3622.0292,3622.0341,3622.0303,3621.9941,3188.6537,3643.492,3622.032,2977.7853,2977.7872,2980.3315,2978.7904,3188.6537,34160,3188.6537,2980.3655,2978.7275,True,3641.2709,2,4206272,4206272,1
3644.9076,3643.5068,2977.9221,3621.9727,5,3,8,3556.498,3622.0351,3622.0401,3622.0361,3621.9743,3003.7662,3644.9213,3622.0383,2979.778,2979.7826,2992.3367,2992.1543,3003.7662,41960,3003.7662,2992.3481,2992.1008,True,3643.5053,1,4206272,4206272,1
3647.0597,3644.9337,3556.518,3621.9806,4,4,9,3556.6411,3622.0411,3622.0458,3622.042,3621.9817,3566.9969,3647.0779,3622.0438,3556.5532,3556.5586,3558.6239,3557.0624,3566.9969,5204,3566.9969,3558.6402,3556.9999,True,3644.9322,0,4206272,4206272,1
3649.2915,3647.3564,3556.666,3647.2603,8,5,10,3616.9142,3647.2757,3647.2947,3647.2775,3647.2634,3632.33,3649.3047,3647.2833,3616.7838,3616.7958,3617.6084,3617.3645,3632.33,41960,3632.33,3617.6207,3617.2899,True,3647.353,1,4206272,4206272,1
3652.2598,3649.3168,3616.9202,3647.2387,7,6,11,3619.5617,3647.2989,3647.3078,3647.3006,3647.2431,3634.772,3652.29,3647.3043,3619.4942,3619.5005,3621.8881,3620.146,3634.772,34160,3634.772,3621.9126,3620.074,True,3649.3154,0,4206272,4206272,1
3859.9489,3859.4475,3619.5665,3859.276,8,7,12,3621.9109,3859.3027,3859.3215,3859.3045,3859.2807,3858.8577,3859.9586,3859.31,3621.8505,3621.8552,3624.6331,3622.67,3858.8577,45704,3858.8577,3624.6762,3622.5611,True,3859.4425,7,4206272,4206272,1
3861.4304,3859.9709,3622.0487,3652.6062,7,3,13,3636.8103,3859.3241,3859.3316,3859.3254,3652.6123,3650.9681,3861.4398,3859.3291,3636.7485,3636.7537,3639.3201,3637.5585,3650.9681,5204,3650.9681,3639.3412,3637.4035,True,3859.9699,6,4206272,4206272,1
3862.8386,3861.4513,3636.8171,3656.2183,6,4,14,3641.4658,3859.3327,3859.3378,3859.3339,3656.2217,3655.8731,3862.8476,3859.3354,3641.3381,3641.3473,3643.8085,3641.98,3655.8731,41960,3655.8731,3643.8249,3641.8937,True,3861.4502,5,4206272,4206272,1
3864.0228,3862.8557,3641.4714,3658.1909,5,5,15,3643.7254,3859.3387,3859.3432,3859.3398,3658.1947,3657.9098,3864.0381,3859.3412,3643.5682,3643.5774,3644.5895,3644.3672,3657.9098,34160,3657.9098,3644.6041,3644.2978,True,3862.8548,4,4206272,4206272,1
3865.4414,3864.0519,3643.7346,3664.53,4,6,16,3645.108,3859.3439,3859.3484,3859.345,3664.5353,3663.8081,3865.4581,3859.3468,3645.0009,3645.0105,3653.393,3651.285,3663.8081,5204,3663.8081,3653.4115,3651.2089,True,3864.0503,3,4206272,4206272,1
3867.4419,3865.4739,3645.1159,3667.5921,3,7,17,3647.1845,3859.3492,3859.3534,3859.3503,3667.5963,3667.1943,3867.4531,3859.3518,3647.1293,3647.1349,3656.4635,3656.2779,3667.1943,41960,3667.1943,3656.4759,3656.2148,True,3865.4722,2,4206272,4206272,1
3869.0081,3867.4651,3647.3108,3672.5709,2,6,18,3649.5321,3859.3543,3859.3581,3859.3553,3672.5752,3672.2515,3869.0166,3859.3567,3649.3997,3649.4092,3659.7507,3658.157,3672.2515,34160,3672.2515,3659.7689,3658.0912,True,3867.4636,1,4206272,4206272,1
3870.6313,3869.0244,3649.5414,3674.3001,1,7,19,3652.5504,3859.359,3859.3628,3859.3599,3674.3046,3673.9815,3870.6461,3859.3613,3652.4381,3652.445,3664.2881,3664.0772,3673.9815,5204,3673.9815,3664.3003,3664.0138,True,3869.0236,0,4206272,4206272,1
3883.6915,3879.1458,3859.4089,3879.0466,8,0,20,3860.1154,3879.0633,3879.0821,3879.0649,3879.0493,3878.7262,3883.7141,3879.07,3860.0082,3860.0143,3860.9162,3860.6858,3878.7262,41960,3878.7262,3860.9335,3860.6072,True,3879.1405,2,4206272,4206272,1
3886.359,3883.7321,3860.1241,3876.4328,7,1,21,3861.6638,3879.0852,3879.0921,3879.0865,3876.4382,3875.9324,3886.3721,3879.0891,3861.508,3861.5194,3864.3542,3862.0952,3875.9324,34160,3875.9324,3864.382,3862.0331,True,3883.7298,1,4206272,4206272,1
3887.8081,3886.3878,3861.6669,3876.7525,6,2,22,3862.9394,3879.0937,3879.1019,3879.0967,3876.7551,3876.461,3887.8258,3879.0991,3862.8843,3862.8888,3863.6504,3863.3544,3876.461,5204,3876.461,3863.6705,3863.2846,True,3886.3853,0,4206272,4206272,1
3890.153,3888.0283,3862.9427,3887.96,8,3,23,3864.249,3887.9734,3887.9869,3887.9751,3887.9629,3881.0077,3890.2089,3887.979,3864.1075,3864.1169,3866.6939,3864.8674,3881.0077,45704,3881.0077,3866.7117,3864.7555,True,3888.0233,0,4206272,4206272,1
3894.0373,3893.1611,3864.2576,3893.0711,8,4,24,3865.5594,3893.0852,3893.101,3893.0865,3893.0736,3892.7815,3894.0464,3893.0911,3865.5174,3865.521,3878.3427,3876.3494,3892.7815,34160,3892.7815,3878.364,3876.2936,True,3893.156,2,4206272,4206272,1
3896.1052,3894.0558,3865.5626,3890.5195,7,5,25,3867.614,3893.1037,3893.1097,3893.105,3890.5205,3887.9486,3896.1168,3893.1074,3867.5075,3867.5152,3877.1934,3876.8169,3887.9486,5204,3887.9486,3877.2097,3876.7526,True,3894.0548,1,4206272,4206272,1
3898.0456,3896.1291,3867.6193,3890.4972,6,6,26,3869.1374,3893.1108,3893.1156,3893.1121,3890.5026,3889.6836,3898.0583,3893.1139,3869.0714,3869.0757,3879.3088,3878.9753,3889.6836,41960,3889.6836,3879.3253,3878.9137,True,3896.1277,0,4206272,4206272,1
