ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
3097.953,3096.989,1498.0783,3096.8744,8,0,0,2054.0623,3096.9186,3096.9353,3096.9199,3096.8785,2092.996,3097.9634,3096.9255,1498.0973,1498.1015,2055.9171,2054.8194,2092.996,44372,2092.996,2055.9409,2054.7751,True,3096.9838,4,3094080,3094080,1
3225.5407,3097.9774,2054.0682,3096.8888,7,1,1,2577.7481,3096.9377,3096.9441,3096.9391,3096.8913,2100.9185,3225.5555,3096.9415,2054.0856,2054.0909,2094.2417,2093.1945,2100.9185,44372,2100.9185,2094.2521,2093.1581,True,3097.9758,3,3094080,3094080,1
3650.628,3225.5766,2577.7573,3096.9117,6,2,2,2577.8442,3096.9456,3096.9502,3096.9467,3096.9125,2585.3114,3650.6425,3096.9483,2577.7831,2577.7878,2579.5001,2578.4716,2585.3114,44372,2585.3114,2579.5148,2578.4155,True,3225.5746,2,3094080,3094080,1
3652.3057,3650.6575,2577.846,3096.8987,5,3,3,2577.9018,3096.9512,3096.9554,3096.9521,3096.8998,2610.8917,3652.316,3096.9537,2577.8765,2577.8789,2579.5154,2578.486,2610.8917,2932,2610.8917,2579.5392,2578.4435,True,3650.6557,1,3094080,3094080,1
3653.7147,3652.3287,2577.9034,3096.9055,4,4,4,3096.7277,3096.9562,3096.9603,3096.9571,3096.9066,2593.7515,3653.7219,3096.9586,2577.9113,2577.9131,2586.6376,2585.4722,2593.7515,44372,2593.7515,2586.6454,2585.4308,True,3652.3272,0,3094080,3094080,1
3783.7351,3782.4399,3096.7339,3782.3515,8,5,5,3096.7958,3782.3703,3782.3826,3782.3712,3782.3525,3106.2813,3783.7475,3782.3748,3096.7509,3096.7544,3098.8508,3097.5048,3106.2813,44372,3106.2813,3098.8683,3097.447,True,3782.4344,3,3094080,3094080,1
3785.839,3783.7611,3096.7978,3782.3639,7,6,6,3096.8272,3782.3847,3782.3895,3782.3856,3782.3647,3109.7889,3785.8513,3782.3872,3096.8071,3096.8088,3098.7674,3097.5515,3109.7889,2932,3109.7889,3098.7867,3097.5001,True,3783.7595,2,3094080,3094080,1
3787.209,3785.8647,3096.8288,3782.3408,6,7,7,3096.8518,3782.3904,3782.3946,3782.3914,3782.3434,3132.8811,3787.222,3782.3928,3096.8356,3096.8371,3098.9481,3097.5956,3132.8811,34636,3132.8811,3098.974,3097.5454,True,3785.8628,1,3094080,3094080,1
3788.1161,3787.2327,3096.9623,3782.358,5,3,8,3782.114,3782.3954,3782.3994,3782.3962,3782.3589,3115.7473,3788.1255,3782.3978,3098.0182,3098.0243,3106.5661,3106.4423,3115.7473,44372,3115.7473,3106.5725,3106.4062,True,3787.2315,0,3094080,3094080,1
3793.2583,3792.6826,3782.1242,3792.5814,8,4,9,3782.1924,3792.5939,3792.6133,3792.5951,3792.5836,3791.9354,3793.2779,3792.6028,3782.1429,3782.1459,3784.4286,3783.0297,3791.9354,2932,3791.9354,3784.4587,3782.9718,True,3792.6719,1,3094080,3094080,1
3794.5556,3793.2932,3782.1964,3792.2687,7,5,10,3782.2289,3792.6166,3792.6218,3792.6177,3792.2833,3791.7487,3794.5689,3792.6197,3782.207,3782.2087,3783.2249,3783.0858,3791.7487,44372,3791.7487,3783.2392,3783.0312,True,3793.2917,0,3094080,3094080,1
3796.0283,3794.775,3782.2306,3794.6531,8,6,11,3782.256,3794.665,3794.6801,3794.6667,3794.6548,3792.3477,3796.0425,3794.6703,3782.2375,3782.2391,3784.4555,3783.2277,3792.3477,34636,3792.3477,3784.4873,3783.1198,True,3794.7699,0,3094080,3094080,1
3830.8537,3830.5226,3782.2575,3830.3606,8,7,12,3782.3106,3830.38,3830.4025,3830.382,3830.3637,3830.0739,3830.8667,3830.3879,3782.2887,3782.2908,3784.5397,3783.2784,3830.0739,21104,3830.0739,3784.5638,3783.2291,True,3830.5175,7,3094080,3094080,1
3831.9451,3830.8781,3782.4011,3800.6829,7,4,13,3783.8819,3830.4067,3830.4149,3830.4085,3800.6865,3800.254,3831.9547,3830.4114,3783.8146,3783.8219,3792.095,3791.9641,3800.254,44372,3800.254,3792.1042,3791.9136,True,3830.8773,6,3094080,3094080,1
3833.1634,3831.9631,3783.8881,3802.4727,6,5,14,3785.9573,3830.4178,3830.4267,3830.4196,3802.4787,3802.0819,3833.1785,3830.4235,3785.9013,3785.9063,3792.3691,3792.1816,3802.0819,2932,3802.0819,3792.377,3792.1363,True,3831.9622,5,3094080,3094080,1
3834.2105,3833.1926,3785.9614,3801.837,5,6,15,3787.3867,3830.4286,3830.4364,3830.4304,3801.8401,3801.4995,3834.2226,3830.4332,3787.29,3787.2972,3792.7912,3792.5985,3801.4995,34636,3801.4995,3792.831,3792.5357,True,3833.1915,4,3094080,3094080,1
3835.041,3834.2347,3787.3901,3809.315,4,7,16,3788.19,3830.4379,3830.4453,3830.4397,3809.3179,3808.7846,3835.0484,3830.4425,3788.1475,3788.1514,3800.6535,3800.4944,3808.7846,44372,3808.7846,3800.6645,3800.4293,True,3834.2333,3,3094080,3094080,1
3836.1365,3835.0579,3792.6235,3812.8115,3,6,17,3793.4838,3830.4469,3830.4545,3830.4485,3812.8145,3812.5039,3836.1481,3830.4516,3793.3576,3793.3674,3802.9228,3801.7434,3812.5039,34636,3812.5039,3802.9415,3801.6909,True,3835.0561,2,3094080,3094080,1
3837.3865,3836.1594,3793.4891,3814.0672,2,7,18,3794.6376,3830.4559,3830.4629,3830.4576,3814.0706,3813.6421,3837.4033,3830.4603,3794.6022,3794.6049,3803.4037,3802.2469,3813.6421,2932,3813.6421,3803.4192,3802.2017,True,3836.1582,1,3094080,3094080,1
3838.2887,3837.4165,3794.6842,3818.1027,1,7,19,3796.1591,3830.4643,3830.4722,3830.466,3818.106,3817.8036,3838.3007,3830.4694,3796.0983,3796.1056,3810.3166,3809.0548,3817.8036,44372,3817.8036,3810.3257,3809.0011,True,3837.415,0,3094080,3094080,1
3846.1207,3845.4983,3830.4749,3845.4211,8,0,20,3831.0357,3845.4328,3845.4522,3845.434,3845.4231,3845.1761,3846.1298,3845.4399,3830.9353,3830.9431,3833.0341,3831.5388,3845.1761,34636,3845.1761,3833.0713,3831.4396,True,3845.4932,1,3094080,3094080,1
3852.3967,3846.1421,3831.0431,3845.0783,7,1,21,3832.092,3845.4553,3845.4606,3845.4563,3845.0827,3844.5743,3852.4194,3845.4583,3832.0189,3832.0265,3834.1166,3832.6947,3844.5743,2932,3844.5743,3834.1388,3832.5787,True,3846.1398,0,3094080,3094080,1
3853.9771,3852.8494,3832.0946,3852.6576,8,2,22,3833.3661,3852.7213,3852.7534,3852.7237,3852.6686,3846.721,3853.9916,3852.7337,3833.2742,3833.286,3835.2303,3833.9179,3846.721,44372,3846.721,3835.2613,3833.8301,True,3852.8427,1,3094080,3094080,1
3854.7571,3854.0066,3833.3697,3852.7019,7,3,23,3834.435,3852.7609,3852.7718,3852.7631,3852.7048,3847.3941,3854.7691,3852.7677,3834.3208,3834.3339,3836.6298,3834.8877,3847.3941,21104,3847.3941,3836.6581,3834.8071,True,3854.005,0,3094080,3094080,1
3858.7698,3858.1733,3834.4392,3858.0855,8,4,24,3835.1394,3858.1046,3858.1251,3858.1065,3858.0882,3857.7844,3858.7855,3858.1119,3835.0905,3835.0953,3846.274,3844.8211,3857.7844,2932,3857.7844,3846.2879,3844.7714,True,3858.17,0,3094080,3094080,1
3860.4569,3859.032,3835.1432,3858.9051,8,5,25,3836.3041,3858.9232,3858.9553,3858.925,3858.9076,3857.9202,3860.4686,3858.9341,3836.2007,3836.2068,3845.5249,3845.3746,3857.9202,34636,3857.9202,3845.535,3845.322,True,3859.0271,1,3094080,3094080,1
