ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ns,worker_clear_started_ns,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
1891.2528,1888.5152,154.9855,1888.3339,8,0,0,712.8372,1888.4052,1888.4255,1888.4074,1888.3382,894.2465,1891.2677,1888.4142,155.0057,155.0109,,,894.2465,33812,886.7763,713.3474,713.333,False,1888.5063,4,8294400,8294400,1
1998.1267,1891.2875,712.8435,1888.3666,7,1,1,1281.1917,1888.4288,1888.4382,1888.4311,1888.3682,908.5822,1998.141,1888.4347,712.8589,712.8639,,,908.5822,33812,901.9142,894.8827,894.8661,False,1891.2853,3,8294400,8294400,1
2168.4519,1998.1656,1281.2001,1888.3939,6,2,2,1281.2844,1888.4401,1888.447,1888.4417,1888.3952,1296.843,2168.4697,1888.4442,1281.2254,1281.2296,,,1296.843,33812,1288.9858,1281.8084,1281.7915,False,1998.1634,2,8294400,8294400,1
2173.2764,2168.4937,1281.2865,1888.353,5,3,3,1281.313,1888.4484,1888.455,1888.4499,1888.3554,1489.0264,2173.2921,1888.4524,1281.2943,1281.2961,,,1489.0264,13120,1479.6874,1281.8949,1281.8742,False,2168.4912,1,8294400,8294400,1
2179.9785,2173.3146,1281.3144,1888.377,4,4,4,1888.156,1888.4562,1888.4628,1888.4576,1888.3783,1311.0738,2180.0708,1888.4601,1281.3213,1281.3229,,,1311.0738,33812,1304.2764,1297.3614,1297.345,False,2173.3126,0,8294400,8294400,1
2573.1246,2570.0787,1888.1634,2569.9621,8,5,5,1888.239,2569.9923,2570.0052,2569.9933,2569.9642,1907.8618,2573.142,2569.9961,1888.1839,1888.1879,,,1907.8618,33812,1898.5854,1889.2817,1889.2629,False,2570.0712,3,8294400,8294400,1
2578.3859,2573.1638,1888.2414,2569.9795,7,6,6,1888.2747,2570.0074,2570.0122,2570.0084,2569.9804,1913.227,2578.4137,2570.01,1888.2497,1888.2521,,,1913.227,13120,1904.7436,1889.3491,1889.3282,False,2573.161,2,8294400,8294400,1
2583.9435,2578.4363,1888.2767,2569.9722,6,7,7,1888.3077,2570.0131,2570.0176,2570.0141,2569.9733,2125.4927,2583.9753,2570.0157,1888.287,1888.2891,,,2125.4927,44340,2117.8749,1889.4051,1889.388,False,2578.4328,1,8294400,8294400,1
2589.9695,2584.002,1888.4654,2569.9857,5,3,8,2569.7127,2570.0184,2570.0228,2570.0193,2569.9865,1925.3736,2590.0236,2570.0211,1891.3271,1891.3341,,,1925.3736,33812,1920.8767,1908.2939,1908.2771,False,2583.999,0,8294400,8294400,1
2601.9902,2600.4907,2569.7225,2600.3886,8,4,9,2569.7979,2600.4083,2600.4303,2600.4101,2600.3916,2599.6587,2602.0,2600.4172,2569.7458,2569.7499,,,2599.6587,13120,2582.7039,2570.5853,2570.5654,False,2600.4857,1,8294400,8294400,1
2607.0321,2602.011,2569.8015,2597.2191,7,5,10,2569.8785,2600.434,2600.4416,2600.4356,2597.2296,2595.6391,2607.0699,2600.4384,2569.8075,2569.8092,,,2595.6391,33812,2580.4523,2570.6502,2570.6289,False,2602.0098,0,8294400,8294400,1
2610.6458,2607.468,2569.8809,2607.3545,8,6,11,2569.9082,2607.3729,2607.388,2607.3741,2607.3593,2600.1506,2610.6626,2607.3798,2569.8867,2569.8886,,,2600.1506,44340,2582.9189,2570.7182,2570.6925,False,2607.4573,0,8294400,8294400,1
2824.1392,2823.1801,2569.9098,2823.0753,8,7,12,2569.9343,2823.0914,2823.1052,2823.0926,2823.0777,2822.446,2824.1484,2823.0966,2569.9173,2569.9188,,,2822.446,40360,2815.898,2570.7892,2570.7674,False,2823.1756,7,8294400,8294400,1
2827.4316,2824.1583,2570.0262,2617.1473,7,4,13,2573.5198,2823.1081,2823.1135,2823.1095,2617.1603,2616.0152,2827.45,2823.1112,2573.2342,2573.2467,,,2616.0152,33812,2608.5059,2596.4477,2596.4064,False,2824.1572,6,8294400,8294400,1
2830.125,2827.4677,2573.5412,2627.0293,6,5,14,2578.527,2823.1145,2823.119,2823.1157,2627.0313,2626.5111,2830.1495,2823.1172,2578.4723,2578.4773,,,2626.5111,13120,2615.5707,2600.316,2600.2884,False,2827.4659,5,8294400,8294400,1
2832.7116,2830.1645,2578.5306,2626.671,5,6,15,2584.3142,2823.1201,2823.1243,2823.1212,2626.6741,2625.851,2832.7371,2823.1227,2584.1043,2584.1134,,,2625.851,44340,2615.6204,2601.1381,2601.0993,False,2830.1629,4,8294400,8294400,1
2835.819,2832.7722,2584.3336,2632.8419,4,7,16,2590.2534,2823.1252,2823.1295,2823.1262,2632.8444,2632.2415,2835.8311,2823.1279,2590.1404,2590.1528,,,2632.2415,33812,2626.5253,2616.5599,2616.5334,False,2832.7703,3,8294400,8294400,1
2839.0513,2835.8459,2600.4451,2644.8456,3,6,17,2602.1088,2823.1303,2823.1345,2823.1312,2644.8482,2644.2768,2839.0682,2823.1327,2602.0289,2602.0329,,,2644.2768,44340,2635.8723,2626.5185,2626.4986,False,2835.8444,2,8294400,8294400,1
2841.7704,2839.082,2602.1179,2646.6497,2,7,18,2607.2905,2823.1358,2823.1406,2823.1374,2646.6529,2646.0886,2841.7935,2823.1389,2607.1355,2607.142,,,2646.0886,13120,2635.602,2626.9094,2626.8943,False,2839.0808,1,8294400,8294400,1
2867.6357,2841.8163,2607.3955,2649.6243,1,7,19,2610.8304,2823.1415,2823.1456,2823.1426,2649.6273,2649.1562,2867.6537,2823.1441,2610.73,2610.7366,,,2649.1562,33812,2641.4891,2632.6582,2632.6426,False,2841.8126,0,8294400,8294400,1
2872.7382,2867.9321,2823.1472,2867.8188,8,0,20,2824.3864,2867.8405,2867.8536,2867.8417,2867.82,2855.3632,2872.7942,2867.8457,2824.2082,2824.2181,,,2855.3632,44340,2839.7257,2825.028,2825.0041,False,2867.9256,3,8294400,8294400,1
2887.1084,2872.8262,2824.4025,2867.8014,7,1,21,2827.7228,2867.8574,2867.8629,2867.8586,2867.8041,2864.299,2887.1499,2867.861,2827.5429,2827.5552,,,2864.299,13120,2846.081,2828.2606,2828.2315,False,2872.8241,2,8294400,8294400,1
2891.4481,2887.1944,2827.7342,2867.8336,6,2,22,2830.4564,2867.8642,2867.8689,2867.8651,2867.8345,2859.9631,2891.4673,2867.8671,2830.2562,2830.2685,,,2859.9631,33812,2845.1211,2830.8867,2830.8593,False,2887.1887,1,8294400,8294400,1
2896.5846,2891.4891,2830.4679,2867.8268,5,3,23,2833.2821,2867.8703,2867.8747,2867.8711,2867.8276,2863.9167,2896.6048,2867.8728,2832.8918,2832.9137,,,2863.9167,40360,2848.9524,2833.7642,2833.7328,False,2891.4866,0,8294400,8294400,1
2900.9034,2896.8754,2833.3007,2896.7943,8,4,24,2836.0784,2896.8027,2896.8187,2896.8038,2896.7956,2889.3372,2900.9168,2896.8092,2835.9489,2835.9647,,,2889.3372,44340,2873.1931,2856.7163,2856.6905,False,2896.8692,1,8294400,8294400,1
2906.1396,2900.9298,2836.0838,2896.7801,7,5,25,2839.3343,2896.822,2896.8286,2896.823,2896.7827,2889.4615,2906.1778,2896.8265,2839.1462,2839.1562,,,2889.4615,33812,2876.425,2860.7022,2860.6638,False,2900.9278,0,8294400,8294400,1
2911.3767,2906.7583,2839.348,2906.6333,8,6,26,2842.1653,2906.6454,2906.6699,2906.6473,2906.6347,2901.5546,2911.3951,2906.6551,2841.8931,2841.902,,,2901.5546,40360,2882.3619,2865.635,2865.5794,False,2906.7485,1,8294400,8294400,1
2934.921,2911.4127,2842.1963,2906.6017,7,7,27,2867.7649,2906.675,2906.6835,2906.6764,2906.6099,2899.4796,2934.9495,2906.6801,2867.7009,2867.7067,,,2899.4796,13120,2885.074,2868.8495,2868.7959,False,2911.4106,0,8294400,8294400,1
2940.2632,2935.3011,2867.8766,2935.1369,8,4,28,2873.051,2935.1628,2935.1793,2935.1641,2935.14,2924.7309,2940.2904,2935.1686,2872.9122,2872.9219,,,2924.7309,44340,2910.9589,2890.0995,2890.053,False,2935.2859,1,8294400,8294400,1
2945.6863,2940.3259,2873.0684,2935.1527,7,5,29,2887.5904,2935.1835,2935.1901,2935.1847,2935.1541,2925.8878,2945.708,2935.1871,2887.2955,2887.3097,,,2925.8878,33812,2912.6428,2890.4092,2890.3663,False,2940.3212,0,8294400,8294400,1
2949.0928,2945.9479,2887.6112,2945.8753,8,6,30,2891.6442,2945.8835,2945.8986,2945.8845,2945.8766,2934.8114,2949.1031,2945.8908,2891.5603,2891.5696,,,2934.8114,13120,2918.5952,2900.5632,2900.5247,False,2945.9439,1,8294400,8294400,1
2953.5328,2949.1124,2891.649,2945.8584,7,7,31,2896.74,2945.9016,2945.9071,2945.9026,2945.8617,2942.1991,2953.5542,2945.9052,2896.6708,2896.6763,,,2942.1991,40360,2926.9466,2902.4907,2902.4472,False,2949.1112,0,8294400,8294400,1
2977.0033,2960.1361,2896.8305,2959.9371,8,6,32,2901.2623,2959.9746,2960.0497,2959.9773,2959.9432,2958.9509,2977.0287,2960.0009,2901.0365,2901.0524,,,2958.9509,44340,2941.1743,2925.9532,2925.9324,False,2960.1293,1,8294400,8294400,1
2980.3279,2977.047,2901.2722,2956.289,7,7,33,2906.5293,2960.0574,2960.0713,2960.0601,2956.2946,2955.2049,2980.3456,2960.0665,2906.3764,2906.4024,,,2955.2049,33812,2941.3618,2926.4613,2926.429,False,2977.045,0,8294400,8294400,1
2985.2315,2980.687,2906.687,2980.5461,8,6,34,2911.6847,2980.5724,2980.596,2980.5738,2980.5522,2971.4625,2985.2488,2980.5848,2911.5242,2911.5393,,,2971.4625,13120,2955.9301,2936.1253,2936.0979,False,2980.6823,0,8294400,8294400,1
2989.0585,2985.4854,2911.694,2985.3856,8,7,35,2935.0879,2985.4014,2985.416,2985.4025,2985.3892,2979.5182,2989.1147,2985.4083,2935.0032,2935.0089,,,2979.5182,40360,2963.3964,2943.2577,2943.1987,False,2985.4779,0,8294400,8294400,1
2994.4445,2990.2359,2935.1922,2990.1814,8,6,36,2940.729,2990.1971,2990.2132,2990.1983,2990.1849,2989.3474,2994.4765,2990.2028,2940.4228,2940.4384,,,2989.3474,33812,2974.7519,2955.9368,2955.9043,False,2990.2308,0,8294400,8294400,1
3004.4521,3002.1332,2940.7458,3001.9593,8,7,37,2945.819,3001.9976,3002.0579,3001.9994,3001.9649,3000.8233,3004.4903,3002.0242,2945.759,2945.7632,,,3000.8233,44340,2984.8086,2959.8185,2959.7621,False,3002.1262,0,8294400,8294400,1
3020.672,3009.3589,2945.9093,3009.2052,8,6,38,2949.3854,3009.2382,3009.277,3009.2396,3009.2115,3008.3205,3020.7206,3009.2553,2949.2025,2949.2147,,,3008.3205,13120,2990.908,2972.4097,2972.3813,False,3009.3477,0,8294400,8294400,1
3024.7796,3021.0624,2949.3972,3020.9239,8,7,39,2953.8726,3020.9432,3020.9633,3020.9449,3020.9278,3017.2562,3024.816,3020.9519,2953.681,2953.6962,,,3017.2562,40360,3000.2301,2980.2743,2980.2307,False,3021.0524,0,8294400,8294400,1
3030.0955,3028.2475,2960.0764,3028.1064,8,6,40,2977.1727,3028.1299,3028.169,3028.1319,3028.1098,3026.8314,3030.1097,3028.1461,2977.0908,2977.0972,,,3026.8314,33812,3007.8186,2990.1093,2990.0755,False,3028.2393,0,8294400,8294400,1
3043.8365,3040.459,2977.1781,3040.3034,8,7,41,2980.499,3040.3402,3040.3772,3040.3427,3040.3098,3038.9568,3043.8657,3040.3547,2980.4117,2980.4187,,,3038.9568,44340,3023.2812,3001.8266,3001.7601,False,3040.4511,0,8294400,8294400,1
