ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ns,worker_clear_started_ns,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
2601.1537,2599.3526,753.7503,2599.173,8,0,0,1392.6957,2599.2388,2599.2603,2599.241,2599.1773,1586.3528,2601.1767,2599.248,753.7695,753.7741,,,1586.3528,2116,1583.2403,1393.2323,1393.2179,False,2599.3433,4,4206272,4206272,1
2707.5234,2601.2058,1392.7041,2599.2282,7,1,1,1964.5702,2599.264,2599.2735,2599.2663,2599.2295,1597.9375,2707.5387,2599.2699,1392.7266,1392.7335,,,1597.9375,2116,1594.1338,1586.7831,1586.7723,False,2601.2024,3,4206272,4206272,1
3158.877,2707.5615,1964.5758,2599.194,6,2,2,1964.6416,2599.2755,2599.2826,2599.2771,2599.1964,1975.4034,3158.8901,2599.2797,1964.5937,1964.5969,,,1975.4034,2116,1972.188,1965.0864,1965.0752,False,2707.5594,2,4206272,4206272,1
3160.9722,3158.9075,1964.6438,2599.2078,5,3,3,1964.6744,2599.2842,2599.2914,2599.2858,2599.2094,2150.0993,3160.9838,2599.2887,1964.6538,1964.6556,,,2150.0993,33504,2146.0454,1965.1784,1965.1638,False,3158.9053,1,4206272,4206272,1
3166.4979,3160.9968,1964.6759,2599.2184,4,4,4,2598.9228,2599.2928,2599.2994,2599.2942,2599.2197,1985.6965,3166.5121,2599.2967,1964.6811,1964.6827,,,1985.6965,2116,1982.9455,1975.652,1975.6446,False,3160.9948,0,4206272,4206272,1
3291.7993,3290.5917,2598.9323,3290.4997,8,5,5,2599.0226,3290.5232,3290.5379,3290.5244,3290.501,2612.0365,3291.8086,3290.528,2598.9586,2598.9638,,,2612.0365,2116,2609.2534,2599.847,2599.8318,False,3290.5874,3,4206272,4206272,1
3293.9624,3291.8176,2599.026,3290.5153,7,6,6,2599.0955,3290.5404,3290.5464,3290.5417,3290.5163,2618.1544,3293.9772,3290.5438,2599.0637,2599.0665,,,2618.1544,33504,2615.106,2599.9315,2599.9137,False,3291.8169,2,4206272,4206272,1
3296.771,3293.9924,2599.0978,3290.4874,6,7,7,2599.1419,3290.5477,3290.553,3290.5488,3290.4901,2836.8498,3296.7864,3290.5506,2599.1121,2599.1148,,,2836.8498,44060,2833.5507,2600.0019,2599.9845,False,3293.99,1,4206272,4206272,1
3298.3163,3296.8011,2599.3024,3290.5079,5,3,8,3290.2471,3290.5542,3290.5594,3290.5553,3290.5089,2625.0247,3298.3395,3290.5572,2601.2827,2601.2967,,,2625.0247,2116,2623.8259,2612.3981,2612.3906,False,3296.7994,0,4206272,4206272,1
3312.1189,3311.0082,3290.2569,3310.864,8,4,9,3290.3226,3310.889,3310.9169,3310.8914,3310.8673,3310.3763,3312.144,3310.9004,3290.2755,3290.2785,,,3310.3763,33504,3304.2732,3291.0492,3291.0367,False,3310.9978,1,4206272,4206272,1
