frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.0611,11.3629,0.0129,0.0025,0.0102,0.0082,0.0009,0.0008,5.058,11.3369,0.0171,0,0.0578,5.2254,0.0277,0.0826,0.0077,0.0203,0.0905,0.0824,0.0045,0.2893,5.7702,0.0057,0.0116,0.0187,4.0145,0.008,0,15.47,0,1994869664,1996050208,0,0,116476604,1,0,1,0,0,0,24,0
1,0.0432,1.6516,0.7162,0.0029,0.7131,0.7062,0.0051,0.0007,0.2355,0.9247,0.0078,0.0044,0.0066,0.1333,0.005,0.0591,0.0046,0.0131,0.0944,0.086,0.0076,0.2486,0.6214,0.0039,0.0095,0.0147,0.6589,0.2712,0.456,3.4477,1,1994869664,1996047392,1,0,116476604,2,1,1,1,0,0,0,0
2,0.075,2.5063,1.0363,0.0083,1.0273,1.0137,0.0093,0.0028,0.5134,1.4543,0.0155,0.0197,0.0259,0.166,0.0119,0.0917,0.0103,0.0116,0.2074,0.1122,0.005,0.1033,0.6806,0.0057,0.0142,0.0233,21.0924,0.2011,0.4132,24.4937,2,1994869664,1996055136,2,0,116476604,3,2,1,1,0,0,0,0
3,0.0454,1.7071,0.7855,0.0035,0.7817,0.7703,0.0086,0.0013,0.2424,0.9118,0.0089,0.0046,0.0071,0.1781,0.0174,0.1047,0.007,0.004,0.125,0.0998,0.0082,0.0826,0.5902,0.0035,0.0093,0.0151,0.5328,0.0077,0,2.3118,3,1994869664,1996060768,0,0,116476604,4,2,1,0,0,0,24,0
4,0.042,3.7435,0.8029,0.0028,0.7999,0.7914,0.0065,0.0009,1.2726,2.9265,0.0093,0.0049,0.0071,0.4208,0.006,0.3884,0.0067,0.0045,0.324,0.1909,0.003,0.2692,1.5933,0.006,0.0132,0.0171,0.749,0.1694,0.243,5.1398,4,1994869664,1996060064,1,0,116476604,5,3,1,1,0,0,0,0
5,0.0621,3.3593,1.1602,0.0065,1.1533,1.1397,0.0103,0.0014,0.4411,2.1844,0.011,0.0068,0.0164,0.1638,0.0061,0.5878,0.009,0.0097,0.4027,0.3288,0.0058,0.1674,1.6505,0.0069,0.0136,0.0212,12.1403,0.0527,0,15.647,5,1994869664,1996045984,2,0,116476604,6,3,1,0,0,0,24,0
6,0.0567,1.9868,0.7394,0.0052,0.7339,0.7243,0.0073,0.0013,0.4413,1.2143,0.0101,0.0056,0.0759,0.1335,0.0137,0.0823,0.0065,0.0048,0.1365,0.1407,0.0094,0.12,0.613,0.0076,0.031,0.047,0.8312,0.2439,0.3552,3.7389,6,1994869664,1996052320,0,0,116476604,7,4,1,1,0,0,0,0
7,0.0538,1.3029,0.7994,0.003,0.7962,0.7916,0.0031,0.0008,0.1948,0.495,0.0066,0.0037,0.0048,0.0682,0.0033,0.053,0.0027,0.0043,0.041,0.0593,0.0026,0.0352,0.2567,0.0028,0.0075,0.0138,42.8204,0.235,0.217,44.8393,7,1994869664,1996053024,1,0,116476604,8,5,1,1,0,0,0,0
8,0.0532,1.5129,0.8025,0.0037,0.7984,0.7914,0.0054,0.0009,0.2074,0.6956,0.0083,0.0046,0.0069,0.101,0.0036,0.079,0.0035,0.0049,0.1088,0.0696,0.0025,0.0779,0.4363,0.0035,0.0137,0.0296,0.298,0.2068,0.3484,2.698,0,1994869664,1996050208,2,0,116476604,9,6,1,1,0,0,0,0
9,0.0445,1.7268,0.8281,0.0032,0.8247,0.8161,0.0065,0.0008,0.2069,0.8851,0.0108,0.0045,0.007,0.1876,0.0079,0.0981,0.0159,0.0063,0.1405,0.1218,0.0043,0.0533,0.6013,0.0032,0.0125,0.0211,0.3855,0.1781,0.5399,3.1222,1,1994869664,1996047392,0,0,116476604,10,7,1,1,0,0,0,0
10,0.0567,1.677,0.6928,0.0024,0.6902,0.6793,0.0078,0.0012,0.2944,0.9667,0.0203,0.0135,0.0154,0.1417,0.0095,0.0932,0.0068,0.0042,0.0784,0.1316,0.0047,0.1172,0.5621,0.0056,0.0152,0.0236,0.4622,0.2309,1.2761,4.0571,2,1994869664,1996055136,1,0,116476604,11,8,1,1,0,0,0,0
11,0.0513,1.4497,0.6889,0.0031,0.6854,0.678,0.0056,0.0009,0.2291,0.7536,0.0068,0.0042,0.007,0.1449,0.0085,0.0864,0.0052,0.0046,0.0753,0.0851,0.0051,0.0724,0.4641,0.0028,0.0067,0.019,0.4461,0.2562,1.985,4.7413,3,1994869664,1996060768,2,0,116476604,12,9,1,1,0,0,0,0
12,0.0448,1.8593,0.8239,0.0028,0.8209,0.8074,0.0099,0.0013,0.3031,1.0209,0.0113,0.0061,0.0109,0.1908,0.0093,0.1739,0.0191,0.0047,0.1262,0.0815,0.0025,0.0544,0.6268,0.0054,0.0138,0.023,0.3537,0.3098,0.3764,3.2287,4,1994869664,1996060064,0,0,116476604,13,10,1,1,0,0,0,0
13,0.0411,1.287,0.7159,0.0023,0.7133,0.7052,0.0063,0.0009,0.2024,0.5428,0.0096,0.0042,0.0073,0.0578,0.003,0.0327,0.0036,0.0054,0.0527,0.0548,0.0032,0.0758,0.2738,0.0134,0.0268,0.0414,0.3675,0.2467,1.0314,3.3097,5,1994869664,1996045984,1,0,116476604,14,11,1,1,0,0,0,0
14,0.0431,1.805,0.8732,0.0027,0.8703,0.8609,0.0069,0.0013,0.2535,0.9152,0.0104,0.0063,0.0059,0.1166,0.0064,0.1343,0.0052,0.0055,0.1233,0.1356,0.0143,0.074,0.5838,0.0043,0.0155,0.0284,1.8489,1.1876,1.5719,7.451,6,1994869664,1996052320,2,0,116476604,15,12,1,1,0,0,0,0
