frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,23254876439432,23254877807682,23254878459607,23254878733187,23254878751907,23254879566946,23254879858961,23254879859169,16,34.1974,13.6825,6.51925,2.7358,0.1872,8.15039,2.92015
1,1,0,1e+08,23254881883860,23254883359510,23254884131978,23254884247314,23254884266094,23254885114774,23254885347735,23254885347799,16,34.6394,14.7565,7.72468,1.15336,0.1878,8.4868,2.32961
2,1,0,1e+08,23254885615480,23254888213459,23254888924798,23254889008306,23254889038799,23254889445092,23254889609244,23254889609336,16,39.9386,25.9798,7.11339,0.83508,0.30493,4.06293,1.64152
3,1,0,1e+08,23254890134271,23254894442720,23254895661177,23254895771821,23254895792821,23254896941886,23254897297943,23254897298128,16,71.6386,43.0845,12.1846,1.10644,0.21,11.4907,3.56057
4,1,0,1e+08,23254897371905,23254898181133,23254898770717,23254898839785,23254898880989,23254899111781,23254899257081,23254899257113,16,18.8521,8.09228,5.89584,0.69068,0.41204,2.30792,1.453
5,1,0,1e+08,23254899291885,23254899541489,23254900255493,23254900351401,23254900371685,23254901266620,23254901564437,23254901564649,16,22.7276,2.49604,7.14004,0.95908,0.20284,8.94935,2.97817
6,1,0,1e+08,23254902045606,23254908362436,23254909102823,23254909206295,23254909242867,23254909614529,23254909832521,23254909832553,16,77.8695,63.1683,7.40387,1.03472,0.36572,3.71662,2.17992
7,1,0,1e+08,23254909872117,23254910725576,23254911408334,23254911532994,23254911552890,23254911818114,23254911993034,23254911993066,16,21.2095,8.53459,6.82758,1.2466,0.19896,2.65224,1.7492
8,1,0,1e+08,23254912424601,23254913449862,23254914168900,23254914298220,23254914325080,23254914584260,23254914792816,23254914792952,16,23.6835,10.2526,7.19038,1.2932,0.2686,2.5918,2.08556
9,1,0,1e+08,23254916178789,23254917191688,23254917840661,23254917910481,23254917962941,23254918202465,23254918376157,23254918376281,16,21.9749,10.129,6.48973,0.6982,0.5246,2.39524,1.73692
10,1,0,1e+08,23254919466461,23254920327995,23254921055188,23254921126112,23254921166428,23254921430108,23254921622784,23254921622872,16,21.5641,8.61534,7.27193,0.70924,0.40316,2.6368,1.92676
11,1,0,1e+08,23254922786219,23254923592401,23254924342422,23254924447518,23254924475174,23254924742262,23254924894762,23254924894794,16,21.0858,8.06182,7.50021,1.05096,0.27656,2.67088,1.525
12,1,0,1e+08,23254926091817,23254926369523,23254927610126,23254927695466,23254927714022,23254928027842,23254928175406,23254928175438,16,20.8362,2.77706,12.406,0.8534,0.18556,3.1382,1.47564
13,1,0,1e+08,23254929397582,23254930294346,23254930989589,23254931128205,23254931147281,23254931400977,23254931542221,23254931542249,16,21.4467,8.96764,6.95243,1.38616,0.19076,2.53696,1.41244
14,1,0,1e+08,23254932664860,23254933617204,23254934267680,23254934412328,23254934442684,23254934676052,23254934850892,23254934851032,16,21.8617,9.52344,6.50476,1.44648,0.30356,2.33368,1.7484
15,1,0,1e+08,23254937526871,23254938465498,23254939131752,23254939235440,23254939296764,23254939534684,23254939690404,23254939690552,16,21.6368,9.38627,6.66254,1.03688,0.61324,2.3792,1.5572
16,1,0,1e+08,23254942303765,23254942860780,23254943994162,23254944096710,23254944115546,23254944408538,23254944569498,23254944569534,16,22.6577,5.57015,11.3338,1.02548,0.18836,2.92992,1.6096
17,1,0,1e+08,23254945795797,23254946804133,23254947689114,23254947812214,23254947839614,23254948106250,23254948279978,23254948280014,16,24.8422,10.0834,8.84981,1.231,0.274,2.66636,1.73728
18,1,0,1e+08,23254950658068,23254950949530,23254952487021,23254952564998,23254952625810,23254952969402,23254953140782,23254953140926,16,24.8286,2.91462,15.3749,0.77977,0.60812,3.43592,1.7138
19,1,0,1e+08,23254955740311,23254956009812,23254957442048,23254957522872,23254957587092,23254957927304,23254958091940,23254958091980,16,23.5167,2.69501,14.3224,0.80824,0.6422,3.40212,1.64636
20,1,0,1e+08,23254960482890,23254960794862,23254961333462,23254961532230,23254961583051,23254962641644,23254962886372,23254962886588,16,24.037,3.11972,5.386,1.98768,0.50821,10.5859,2.44728
21,1,0,1e+08,23254964593581,23254965233903,23254966168573,23254966266593,23254966427805,23254966672461,23254966819661,23254966819697,16,22.2612,6.40322,9.3467,0.9802,1.61212,2.44656,1.472
22,1,0,1e+08,23254968492788,23254968804441,23254969374265,23254969448273,23254969573625,23254969928655,23254970163415,23254970163455,16,16.7067,3.11653,5.69824,0.74008,1.25352,3.5503,2.3476
23,1,0,1e+08,23254970846330,23254971670619,23254972444735,23254972528559,23254972566303,23254972852391,23254973007743,23254973007775,16,21.6145,8.24289,7.74116,0.83824,0.37744,2.86088,1.55352
24,1,0,1e+08,23254974582378,23254975485672,23254976188430,23254976327970,23254976358406,23254976603826,23254976786922,23254976786950,16,22.0457,9.03294,7.02758,1.3954,0.30436,2.4542,1.83096
25,1,0,1e+08,23254978337666,23254979255632,23254979975879,23254980070119,23254980088231,23254980342795,23254980480963,23254980480995,16,21.4333,9.17966,7.20247,0.9424,0.18112,2.54564,1.38168
26,1,0,1e+08,23254983143605,23254983527629,23254985292036,23254985425264,23254985446708,23254985800321,23254985975149,23254985975293,16,28.3169,3.84024,17.6441,1.33228,0.21444,3.53613,1.74828
27,1,0,1e+08,23254986687118,23254987355176,23254988274721,23254988405813,23254988437705,23254988712001,23254988872369,23254988872401,16,21.8528,6.68058,9.19545,1.31092,0.31892,2.74296,1.60368
28,1,0,1e+08,23254990077314,23254990994590,23254991688051,23254991816123,23254991837783,23254992097715,23254992241627,23254992241659,16,21.6435,9.17276,6.93461,1.28072,0.2166,2.59932,1.43912
29,1,0,1e+08,23254993646469,23254994624634,23254995280375,23254995426163,23254995455763,23254995696555,23254995868111,23254995868151,16,22.2168,9.78165,6.55741,1.45788,0.296,2.40792,1.71556
