frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,23251613825462,23251615690228,23251616358844,23251616582308,23251616628992,23251616860440,23251617001156,23251617001192,16,31.7573,18.6477,6.68616,2.23464,0.46684,2.31448,1.40716
1,1,0,1e+08,23251619770571,23251621419053,23251622013562,23251622079806,23251622116366,23251622350086,23251622492910,23251622492942,16,27.2237,16.4848,5.94509,0.66244,0.3656,2.3372,1.42824
2,1,0,1e+08,23251623850000,23251625606689,23251626332010,23251626427494,23251626444766,23251626711714,23251626867938,23251626867974,16,30.1797,17.5669,7.25321,0.95484,0.17272,2.66948,1.56224
3,1,0,1e+08,23251629668135,23251631106341,23251632531915,23251632993118,23251633021018,23251633973568,23251634229246,23251634229466,16,45.6133,14.3821,14.2557,4.61203,0.279,9.5255,2.55678
4,1,0,1e+08,23251634264734,23251634612546,23251635112246,23251635219186,23251635244010,23251636131669,23251636423333,23251636423541,16,21.5881,3.47812,4.997,1.0694,0.24824,8.87659,2.91664
5,1,0,1e+08,23251637580250,23251642039246,23251642531902,23251642625034,23251642662182,23251642910952,23251643531389,23251643531685,16,59.5144,44.59,4.92656,0.93132,0.37148,2.4877,6.20437
6,1,0,1e+08,23251643570645,23251644005618,23251644568971,23251644689043,23251644711183,23251644944875,23251645106703,23251645106743,16,15.361,4.34973,5.63353,1.20072,0.2214,2.33692,1.61828
7,1,0,1e+08,23251645630422,23251647181789,23251648351496,23251648468412,23251648488940,23251648768256,23251648923268,23251648923304,16,32.9288,15.5137,11.6971,1.16916,0.20528,2.79316,1.55012
8,1,0,1e+08,23251648959368,23251649199728,23251649600572,23251649674688,23251649700620,23251650132853,23251650370001,23251650370061,16,14.1069,2.4036,4.00844,0.74116,0.25932,4.32233,2.37148
9,1,0,1e+08,23251651214466,23251651792889,23251652732776,23251652832068,23251652850344,23251653125692,23251653281208,23251653281244,16,20.6678,5.78423,9.39887,0.99292,0.18276,2.75348,1.55516
10,1,0,1e+08,23251654649364,23251655465837,23251656207213,23251656289093,23251656304469,23251656566189,23251656774961,23251656774989,16,21.2563,8.16473,7.41376,0.8188,0.15376,2.6172,2.08772
11,1,0,1e+08,23251657960549,23251658878922,23251659566533,23251659692365,23251659713741,23251659957057,23251660108249,23251660108277,16,21.4773,9.18373,6.87611,1.25832,0.21376,2.43316,1.51192
12,1,0,1e+08,23251661209663,23251662137868,23251662796526,23251662913206,23251662932782,23251663169606,23251663355218,23251663355246,16,21.4558,9.28205,6.58658,1.1668,0.19576,2.36824,1.85612
13,1,0,1e+08,23251664585988,23251664959105,23251665557337,23251665647589,23251665671289,23251666199141,23251666622376,23251666622436,16,20.3645,3.73117,5.98232,0.90252,0.237,5.27852,4.23235
14,1,0,1e+08,23251668122148,23251668587693,23251669608418,23251669724646,23251669749426,23251670015018,23251670150862,23251670150898,16,20.2875,4.65545,10.2073,1.16228,0.2478,2.65592,1.35844
15,1,0,1e+08,23251671349501,23251672212467,23251672936689,23251673019165,23251673034497,23251673291169,23251673429201,23251673429305,16,20.798,8.62966,7.24222,0.82476,0.15332,2.56672,1.38032
16,1,0,1e+08,23251674479006,23251675423190,23251676080571,23251676193387,23251676220511,23251676481579,23251676616915,23251676616951,16,21.3795,9.44184,6.57381,1.12816,0.27124,2.61068,1.35336
17,1,0,1e+08,23251677720317,23251678774554,23251679399566,23251679479458,23251679520530,23251679754786,23251679911546,23251679911578,16,21.9126,10.5424,6.25012,0.79892,0.41072,2.34256,1.5676
