frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.0578,28.7972,0.0177,0.003,0.0143,0.0116,0.0013,0.0009,12.4099,28.7613,0.0358,0.0005,0.1099,15.6809,0.0236,0.052,0.0254,0.0125,0.0633,0.052,0.0026,0.0418,15.89,0.0067,0.0172,0.0201,12.1324,0.0158,0,41.0286,0,1994856992,1135714720,0,0,116476604,1,0,1,0,0,0,24,0
1,0.051,1.6963,0.909,0.0034,0.905,0.8956,0.0072,0.0007,0.2946,0.7646,0.0089,0.0062,0.0057,0.142,0.0076,0.0946,0.0051,0.004,0.0603,0.044,0.0039,0.0652,0.4061,0.0044,0.021,0.0282,30.6479,1.958,1.8061,37.9736,1,1994856992,1135718944,1,0,116476604,2,1,1,1,0,0,0,0
2,0.0667,1.7726,0.8995,0.005,0.894,0.8796,0.01,0.0024,0.3526,0.8476,0.0101,0.0058,0.0128,0.1201,0.007,0.0795,0.0075,0.0055,0.0802,0.0663,0.003,0.0689,0.415,0.0078,0.0239,0.0231,0.4064,0.4165,0.6093,3.7361,2,1994856992,1135714016,2,0,116476604,3,2,1,1,0,0,0,0
3,0.0588,2.2388,0.9897,0.0049,0.9845,0.9701,0.0116,0.0013,0.3744,1.23,0.03,0.0162,0.0146,0.4085,0.0104,0.086,0.0051,0.0082,0.0852,0.081,0.0036,0.0718,0.7325,0.0061,0.0179,0.0237,0.7623,0.014,0,3.1019,3,1994856992,1135721056,0,0,116476604,4,2,1,0,0,0,24,0
4,0.0701,5.7017,1.3222,0.0038,1.3176,1.254,0.0502,0.0068,1.5759,4.3187,0.0431,0.0281,0.0564,0.6394,0.0458,0.3778,0.0368,0.0407,0.4094,0.4226,0.0342,0.4848,2.334,0.0354,0.0574,0.078,3.4005,1.0576,0.9662,11.9714,4,1994856992,1135709088,1,0,116476604,5,3,1,1,0,0,0,0
5,0.1092,3.6308,1.043,0.0052,1.0372,1.0265,0.0067,0.0023,0.3216,2.57,0.0123,0.0092,0.0077,0.1189,0.0038,0.0548,0.0064,0.0179,1.2382,0.3899,0.006,0.3517,2.1535,0.0085,0.0163,0.0248,0.6374,0.3462,0.5896,5.7861,5,1994856992,1135710496,2,0,116476604,6,4,1,1,0,0,0,0
6,0.1965,7.7768,3.3974,0.019,3.3775,3.3286,0.0412,0.0035,1.712,4.3599,0.0196,0.0114,0.0179,0.7182,0.0127,0.298,0.0067,0.0095,0.4171,0.6467,0.0156,0.4319,2.5119,0.0098,0.0177,0.0257,13.2328,0.0105,0,21.2485,6,1994856992,1135720352,0,0,116476604,7,4,1,0,0,0,24,0
7,0.0698,1.9702,1.0673,0.0033,1.0632,1.0491,0.0109,0.0014,0.423,0.8847,0.011,0.0058,0.0063,0.1201,0.015,0.0825,0.0028,0.0029,0.0616,0.064,0.0046,0.0594,0.3876,0.0054,0.0165,0.0242,27.6171,0.8461,0.5267,31.4958,7,1994856992,1135721760,1,0,116476604,8,5,1,1,0,0,0,0
8,0.0599,1.461,0.7986,0.0025,0.7957,0.7892,0.0045,0.0013,0.249,0.6481,0.0103,0.0059,0.0059,0.0995,0.0032,0.0599,0.003,0.0124,0.0554,0.0652,0.0017,0.0561,0.3361,0.0039,0.0133,0.0218,0.8132,0.0102,0,2.3697,0,1994856992,1135714720,2,0,116476604,9,5,1,0,0,0,24,0
9,0.0647,3.471,2.1377,0.0043,2.133,2.1148,0.0126,0.0028,0.8288,1.3177,0.0337,0.0075,0.0077,0.1664,0.0086,0.0745,0.0043,0.0043,0.0385,0.0334,0.0029,0.0392,0.352,0.0039,0.0142,0.0248,0.804,0.3807,0.5765,5.7405,1,1994856992,1135718944,0,0,116476604,10,6,1,1,0,0,0,0
