frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,23258903344065,23258907674552,23258908162468,23258908465628,23258908512914,23258909748549,23258909981625,23258909981829,16,66.3776,43.3049,4.87916,3.0316,0.47286,12.3564,2.33076
1,1,0,1e+08,23258913521767,23258917475150,23258918427850,23258919111546,23258919140978,23258919607644,23258919815076,23258919815120,16,62.9335,39.5338,9.527,6.83696,0.29432,4.66666,2.07432
2,1,0,1e+08,23258922754842,23258925020641,23258926217994,23258926316754,23258926364450,23258926780802,23258926965530,23258926965574,16,42.1073,22.658,11.9735,0.9876,0.47696,4.16352,1.84728
3,1,0,1e+08,23258929752634,23258933703278,23258934430365,23258934763793,23258934792293,23258935039240,23258935537094,23258935537279,16,57.8464,39.5064,7.27087,3.33428,0.285,2.46947,4.97854
4,1,0,1e+08,23258935714174,23258942876838,23258944491901,23258945764034,23258945792714,23258946812760,23258947330069,23258947330261,16,116.161,71.6266,16.1506,12.7213,0.2868,10.2005,5.17309
5,1,0,1e+08,23258947369381,23258948087565,23258948483789,23258948700153,23258948725229,23258949307082,23258949926501,23258949927021,16,25.5764,7.18184,3.96224,2.16364,0.25076,5.81853,6.19419
6,1,0,1e+08,23258952595243,23258954210704,23258956391267,23258956571216,23258956611644,23258957005570,23258957183294,23258957183338,16,45.8809,16.1546,21.8056,1.79949,0.40428,3.93926,1.77724
7,1,0,1e+08,23258957215594,23258957806930,23258958871406,23258959030272,23258959057500,23258959655742,23258959867718,23258959867758,16,26.5216,5.91336,10.6448,1.58866,0.27228,5.98242,2.11976
8,1,0,1e+08,23258959908482,23258962631952,23258963745070,23258963848922,23258963903014,23258964327050,23258964552058,23258964552210,16,46.4373,27.2347,11.1312,1.03852,0.54092,4.24036,2.25008
9,1,0,1e+08,23258964589190,23258967265174,23258967691542,23258967776974,23258967821562,23258968832982,23258969098934,23258969099182,16,45.0999,26.7598,4.26368,0.85432,0.44588,10.1142,2.65952
10,1,0,1e+08,23258969142918,23258969927815,23258970343983,23258970420723,23258970441939,23258971354772,23258971605467,23258971605527,16,24.6261,7.84897,4.16168,0.7674,0.21216,9.12833,2.50695
11,1,0,1e+08,23258971694305,23258972464918,23258973248132,23258973587824,23258973634035,23258974552047,23258974770071,23258974770103,16,30.758,7.70613,7.83214,3.39692,0.46211,9.18012,2.18024
12,1,0,1e+08,23258975061915,23258976594645,23258977091229,23258977167789,23258977201193,23258978335260,23258978609477,23258978609525,16,35.4761,15.3273,4.96584,0.7656,0.33404,11.3407,2.74217
13,1,0,1e+08,23258979888649,23258981645998,23258982071246,23258982138586,23258982207394,23258982818344,23258983223924,23258983223984,16,33.3533,17.5735,4.25248,0.6734,0.68808,6.1095,4.0558
14,1,0,1e+08,23258984627351,23258986113407,23258986612715,23258986727219,23258986767575,23258987037407,23258987193595,23258987193619,16,25.6627,14.8606,4.99308,1.14504,0.40356,2.69832,1.56188
15,1,0,1e+08,23258988151540,23258989625340,23258990132512,23258990277832,23258990298868,23258990505144,23258990656772,23258990656856,16,25.0532,14.738,5.07172,1.4532,0.21036,2.06276,1.51628
16,1,0,1e+08,23258991696175,23258993231432,23258993745672,23258993810044,23258993833036,23258994048312,23258994194228,23258994194252,16,24.9808,15.3526,5.1424,0.64372,0.22992,2.15276,1.45916
17,1,0,1e+08,23258995216845,23258996797940,23258997282040,23258997348184,23258997372168,23258997570144,23258997722752,23258997722784,16,25.0594,15.811,4.841,0.66144,0.23984,1.97976,1.52608
18,1,0,1e+08,23258998600687,23259000189626,23259000668542,23259000746318,23259000768730,23259000964826,23259001124686,23259001124714,16,25.2403,15.8894,4.78916,0.77776,0.22412,1.96096,1.5986
19,1,0,1e+08,23259001935121,23259003512894,23259003998482,23259004074670,23259004099318,23259004293214,23259004439938,23259004439966,16,25.0484,15.7777,4.85588,0.76188,0.24648,1.93896,1.46724
20,1,0,1e+08,23259005382161,23259007020097,23259007465281,23259007533377,23259007553413,23259007743521,23259008056885,23259008057075,16,26.7491,16.3794,4.45184,0.68096,0.20036,1.90108,3.13364
21,1,0,1e+08,23259010103061,23259011588341,23259012097365,23259012249369,23259012271701,23259012477213,23259012624405,23259012624433,16,25.2137,14.8528,5.09024,1.52004,0.22332,2.05512,1.47192
22,1,0,1e+08,23259013552414,23259015205089,23259015714297,23259015781893,23259015814785,23259016018153,23259016176981,23259016177013,16,26.246,16.5267,5.09208,0.67596,0.32892,2.03368,1.58828
23,1,0,1e+08,23259017115423,23259018680735,23259019203891,23259019286939,23259019320027,23259019532407,23259019794661,23259019794851,16,26.7943,15.6531,5.23156,0.83048,0.33088,2.1238,2.62254
24,1,0,1e+08,23259021980043,23259023546750,23259024031006,23259024148910,23259024174254,23259024440790,23259024602334,23259024602526,16,26.2248,15.6671,4.84256,1.17904,0.25344,2.66536,1.61544
25,1,0,1e+08,23259026301571,23259026944103,23259028108208,23259028280692,23259028307008,23259028679212,23259028849352,23259028849392,16,25.4782,6.42532,11.641,1.72484,0.26316,3.72204,1.7014
26,1,0,1e+08,23259029810549,23259031415349,23259031879877,23259031946693,23259031973717,23259032167641,23259032304341,23259032304369,16,24.9382,16.048,4.64528,0.66816,0.27024,1.93924,1.367
27,1,0,1e+08,23259033281203,23259034940314,23259035387474,23259035459118,23259035495382,23259035690738,23259035852558,23259035852598,16,25.714,16.5911,4.4716,0.71644,0.36264,1.95356,1.6182
28,1,0,1e+08,23259036780778,23259037954221,23259038744998,23259038827514,23259038853470,23259039260691,23259039787748,23259039787840,16,30.0706,11.7344,7.90777,0.82516,0.25956,4.07221,5.27057
29,1,0,1e+08,23259039829265,23259040836995,23259041263151,23259041346639,23259041386247,23259042244358,23259042516229,23259042516289,16,26.8702,10.0773,4.26156,0.83488,0.39608,8.58111,2.71871
30,1,0,1e+08,23259044889821,23259045747410,23259046207662,23259046351514,23259046373134,23259046809007,23259047064458,23259047064514,16,21.7469,8.57589,4.60252,1.43852,0.2162,4.35873,2.55451
31,1,0,1e+08,23259047927264,23259049496061,23259049987917,23259050062845,23259050088929,23259050285693,23259050438281,23259050438317,16,25.1105,15.688,4.91856,0.74928,0.26084,1.96764,1.52588
32,1,0,1e+08,23259051336344,23259053049412,23259053518804,23259053596688,23259053629268,23259053831880,23259053991912,23259053991948,16,26.556,17.1307,4.69392,0.77884,0.3258,2.02612,1.60032
