frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.0892,182.147,0.0258,0.0063,0.0192,0.0147,0.0017,0.0019,6.334,182.099,0.2657,0.0001,0.0618,0.4822,0.0104,0.0807,0.0084,0.0125,0.2081,0.1176,0.0049,0.0842,0.9728,0.0056,0.0147,0.0632,5.0184,0.0202,0,187.345,0,1135711904,1131186848,0,0,116476604,1,0,1,0,0,0,24,0
1,0.0534,1.8853,0.9105,0.0026,0.9075,0.899,0.0058,0.0015,0.2713,0.9574,0.0084,0.0048,0.0066,0.062,0.0036,0.0286,0.0041,0.004,0.0515,0.0464,0.0036,0.4376,0.6261,0.0059,0.0159,0.0274,0.6795,0.3494,0.4748,3.7104,1,1135711904,1131176992,1,0,116476604,2,1,1,1,0,0,0,0
2,0.0421,135.356,0.6182,0.0026,0.6153,0.6077,0.0055,0.0008,0.2013,134.719,0.0086,0.0122,0.019,0.1275,0.0045,0.112,0.0105,0.0039,0.0579,0.0442,0.004,0.0552,0.3968,0.0085,0.0176,0.0286,0.4329,0.2814,1.1358,137.579,2,1135711904,1131181920,2,0,116476604,3,2,1,1,0,0,0,0
3,0.0443,156.331,0.6696,0.0025,0.6669,0.6577,0.0056,0.001,0.1924,155.634,0.0096,0.0119,0.0066,0.1142,0.0038,0.1024,0.0047,0.0028,0.0639,0.0584,0.0096,0.0936,0.4325,0.0074,0.0256,0.0385,0.4574,0.2277,0.2956,157.517,3,1135711904,1135715424,0,0,116476604,4,3,1,1,0,0,0,0
4,0.0436,147.737,0.6778,0.0022,0.6753,0.6646,0.0081,0.0012,0.3132,147.051,0.0098,0.0134,0.0093,0.135,0.0039,0.0806,0.0102,0.0045,0.0521,0.0637,0.004,0.0544,0.3858,0.0038,0.008,0.0161,0.3105,0.2103,0.3554,148.81,4,1135711904,1135706976,1,0,116476604,5,4,1,1,0,0,0,0
5,0.045,109.718,0.7627,0.0028,0.7594,0.7468,0.0098,0.0014,0.2668,108.932,0.0134,0.0148,0.0109,0.1301,0.0035,0.0437,0.0031,0.0031,0.0444,0.0603,0.0022,0.0591,0.3376,0.0106,0.0216,0.0337,0.494,0.3589,0.1819,110.931,5,1135711904,1135718240,2,0,116476604,6,5,1,1,0,0,0,0
6,0.0467,135.92,0.8552,0.0023,0.8526,0.8428,0.0073,0.0013,0.2513,135.055,0.0192,0.0145,0.0085,0.1529,0.0037,0.0806,0.005,0.005,0.0711,0.0375,0.0024,0.0428,0.3849,0.0042,0.0096,0.0161,0.3307,0.2375,0.3501,137.098,6,1135711904,1135720352,0,0,116476604,7,6,1,1,0,0,0,0
7,0.0399,176.235,0.7588,0.0021,0.7565,0.7487,0.0058,0.0009,0.1989,175.451,0.0103,0.0135,0.0084,0.141,0.0041,0.0706,0.0046,0.0033,0.0637,0.0312,0.0025,0.0427,0.3492,0.0085,0.023,0.0311,0.4229,0.1699,0.2457,177.256,7,1135711904,1135719648,1,0,116476604,8,7,1,1,0,0,0,0
8,0.0423,109.69,0.6318,0.0028,0.6288,0.622,0.0051,0.0009,0.1979,109.05,0.0102,0.0141,0.011,0.2023,0.006,0.1055,0.0057,0.0032,0.0421,0.0283,0.0023,0.0397,0.4179,0.0046,0.0081,0.0151,0.3509,0.2334,0.3211,110.864,0,1135711904,1131186848,2,0,116476604,9,8,1,1,0,0,0,0
9,0.0698,119.376,0.8182,0.0026,0.8153,0.8034,0.0093,0.0013,0.2498,118.549,0.0095,0.0113,0.0083,0.1326,0.0054,0.0769,0.005,0.0032,0.0476,0.0379,0.0027,0.0536,0.3486,0.0051,0.0086,0.0161,0.3872,0.3177,0.3908,120.741,1,1135711904,1131176992,0,0,116476604,10,9,1,1,0,0,0,0
