frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,23243122127100,23243123721950,23243124227010,23243124459470,23243124484406,23243125081852,23243125618447,23243125618607,16,34.9151,15.9485,5.0506,2.3246,0.24936,5.97446,5.36595
1,1,0,1e+08,23243127942591,23243128570908,23243129917889,23243129988829,23243130041065,23243130350625,23243130493265,23243130493305,16,25.5071,6.28317,13.4698,0.7094,0.52236,3.0956,1.4264
2,1,0,1e+08,23243132162892,23243134695657,23243135321393,23243135447409,23243135476501,23243135746601,23243135895441,23243135895493,16,37.326,25.3276,6.25736,1.26016,0.29092,2.701,1.4884
3,1,0,1e+08,23243138159054,23243139833351,23243142083479,23243142737666,23243142784365,23243143771242,23243143989667,23243143989691,16,58.3064,16.743,22.5013,6.54187,0.46699,9.86877,2.18425
4,1,0,1e+08,23243144035575,23243147226102,23243148326102,23243148407142,23243148449538,23243148799974,23243148958602,23243148958638,16,49.2306,31.9053,11,0.8104,0.42396,3.50436,1.58628
5,1,0,1e+08,23243148994610,23243149284146,23243149749362,23243152198876,23243152224460,23243154051976,23243154202734,23243154202766,16,52.0816,2.89536,4.65216,24.4951,0.25584,18.2752,1.50758
6,1,0,1e+08,23243154232570,23243154490530,23243154949926,23243155056554,23243155076390,23243155670948,23243155894062,23243155894150,16,16.6158,2.5796,4.59396,1.06628,0.19836,5.94558,2.23114
7,1,0,1e+08,23243155956598,23243156363660,23243156903216,23243156985048,23243157010792,23243157501599,23243158003894,23243158003982,16,20.4738,4.07062,5.39556,0.81832,0.25744,4.90807,5.02295
8,1,0,1e+08,23243158052582,23243158467197,23243158982829,23243159056093,23243159110257,23243159333249,23243159483865,23243159483897,16,14.3132,4.14615,5.15632,0.73264,0.54164,2.22992,1.50616
9,1,0,1e+08,23243161657725,23243161951710,23243163033361,23243163106265,23243163166401,23243163527925,23243163695525,23243163695565,16,20.3784,2.93985,10.8165,0.72904,0.60136,3.61524,1.676
10,1,0,1e+08,23243165345490,23243166094714,23243166982460,23243167050388,23243167099004,23243167368844,23243167547516,23243167547656,16,22.0217,7.49224,8.87746,0.67928,0.48616,2.6984,1.78672
11,1,0,1e+08,23243168973028,23243169884656,23243170512049,23243170601317,23243170619825,23243170867221,23243171128865,23243171128897,16,21.5587,9.11628,6.27393,0.89268,0.18508,2.47396,2.61644
12,1,0,1e+08,23243173871963,23243174829911,23243175578070,23243175716418,23243175742622,23243176000250,23243176152034,23243176152066,16,22.801,9.57948,7.48159,1.38348,0.26204,2.57628,1.51784
