frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.2474,35.1638,0.3035,0.0162,0.2786,0.2441,0.0214,0.0035,10.9655,11.097,0.021,0,0.0002,0.0002,0.0016,0,0,0,0,0,0.0596,0.0001,0.0003,0.0112,0.0154,0.0706,3.5725,0.0224,0,39.0888,0,1087484256,595054240,0,0,378072108,1,0,1,0,0,0,24,0
1,0.0456,33.7914,0.428,0.0048,0.423,0.4136,0.0067,0.0008,0.2341,0.3017,0.0033,0,0.0002,0.0001,0.0015,0.0001,0,0,0,0,0.0374,0.0001,0.0003,0.0066,0.0027,0.0218,0.7335,0.5239,0.6868,36.528,1,1087484256,595061280,1,0,378072108,2,1,1,1,0,0,0,0
2,0.0373,26.3296,0.6654,0.0036,0.6616,0.6498,0.0083,0.0008,0.2472,0.3357,0.0051,0,0.0003,0.0002,0.0022,0,0,0,0,0,0.0374,0,0.0002,0.0106,0.0181,0.0157,0.2365,0.228,0.354,27.3503,2,1087484256,595064800,2,0,378072108,3,2,1,1,0,0,0,0
3,0.0445,35.308,0.3649,0.003,0.3617,0.3509,0.0071,0.0011,0.1994,0.2901,0.0048,0,0.0003,0,0.002,0.0001,0,0,0,0,0.0336,0.0001,0.0002,0.0083,0.0069,0.0173,0.201,0.1893,0.4012,36.2719,3,1087484256,595051424,0,0,378072108,4,3,1,1,0,0,0,0
4,0.0466,27.2351,0.7346,0.0022,0.7322,0.7204,0.0083,0.0011,0.2083,0.2511,0.0039,0,0.0002,0.0001,0.001,0.0001,0,0,0,0,0.0144,0.0001,0.0003,0.0051,0.003,0.0187,0.2009,0.2034,0.2777,28.0971,4,1087484256,595065504,1,0,378072108,5,4,1,1,0,0,0,0
5,0.037,36.0319,0.287,0.003,0.2838,0.2759,0.0049,0.0008,0.2084,0.2935,0.0046,0,0.0005,0,0.0013,0.0001,0,0,0,0,0.0301,0.0001,0.0002,0.0172,0.0055,0.0228,0.3852,0.3792,0.2886,37.3486,5,1087484256,595054944,2,0,378072108,6,5,1,1,0,0,0,0
6,0.0765,29.4851,0.9397,0.0087,0.9307,0.9062,0.0168,0.0026,0.4338,0.5188,0.01,0,0.0001,0.0002,0.0018,0.0001,0,0,0,0,0.0248,0.0001,0.0004,0.0111,0.015,0.0178,0.2234,0.2106,0.1997,30.432,6,1087484256,595052128,0,0,378072108,7,6,1,1,0,0,0,0
7,0.0472,32.0847,0.4113,0.0035,0.4076,0.3664,0.0052,0.0009,0.2284,0.2938,0.0033,0,0.0001,0.0001,0.0015,0.0001,0,0,0,0,0.0178,0.0001,0.0003,0.0078,0.0118,0.0187,0.2719,0.2249,0.2302,33.0786,7,1087484256,595052832,1,0,378072108,8,7,1,1,0,0,0,0
8,0.0426,12.9323,0.3529,0.0034,0.3493,0.3398,0.0064,0.001,0.1757,0.2186,0.0047,0,0.0003,0.0003,0.0009,0,0,0,0,0,0.013,0,0.0003,0.004,0.0077,0.0244,0.23,0.23,0.1972,13.9705,0,1087484256,595054240,2,0,378072108,9,8,1,1,0,0,0,0
9,0.0387,18.1584,0.582,0.0035,0.5784,0.5677,0.0072,0.0008,0.1895,0.2338,0.0039,0,0.0003,0.0002,0.0011,0,0,0,0,0,0.0133,0,0.0002,0.0053,0.0081,0.0262,0.2395,0.2243,0.2089,19.0402,1,1087484256,595061280,0,0,378072108,10,9,1,1,0,0,0,0
