frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,946971093773,946973391806,946973392014,946973392066,946973392118,946973392170,946974287259,946974287527,16,31.9375,22.9803,0.00208,0.00052,0.00052,0.00052,8.95089
1,1,0,1e+08,946982742638,946985464876,946985465112,946985465156,946985465208,946985465252,946985975960,946985976008,16,32.3337,27.2224,0.00236,0.00044,0.00052,0.00044,5.10708
2,1,0,1e+08,946989811938,946991890523,946991890655,946991890675,946991890695,946991890715,946992247939,946992247967,16,24.3603,20.7858,0.00132,0.0002,0.0002,0.0002,3.57224
3,1,0,1e+08,946996103228,946998982322,946998982510,946998982534,946998982562,946998982590,946999500931,946999501055,16,33.9783,28.7909,0.00188,0.00024,0.00028,0.00028,5.18341
4,1,0,1e+08,947003822701,947005918956,947005919152,947005919184,947005919216,947005919244,947006306252,947006306284,16,24.8358,20.9626,0.00196,0.00032,0.00032,0.00028,3.87008
5,1,0,1e+08,947010338445,947013267431,947013267823,947013267895,947013267959,947013268031,947013820224,947013820360,16,34.8192,29.2899,0.00392,0.00072,0.00064,0.00072,5.52193
6,1,0,1e+08,947019122830,947021279960,947021280132,947021280160,947021280192,947021280220,947021793036,947021793056,16,26.7023,21.5713,0.00172,0.00028,0.00032,0.00028,5.12816
7,1,0,1e+08,947025447832,947027937372,947027937536,947027937568,947027937604,947027937644,947028487927,947028488031,16,30.402,24.8954,0.00164,0.00032,0.00036,0.0004,5.50283
8,1,0,1e+08,947032483650,947033146246,947033146342,947033146402,947033146474,947033146534,947033639199,947033639235,16,11.5558,6.62596,0.00096,0.0006,0.00072,0.0006,4.92665
9,1,0,1e+08,947037427233,947038405424,947038406489,947038406619,947038406759,947038406899,947038997915,947038998087,16,15.7085,9.78191,0.01065,0.0013,0.0014,0.0014,5.91016
10,1,0,1e+08,947042481004,947043333031,947043333279,947043333343,947043333403,947043333471,947043853235,947043853263,16,13.7226,8.52027,0.00248,0.00064,0.0006,0.00068,5.19764
11,1,0,1e+08,947047345191,947048201386,947048201482,947048201510,947048201542,947048201574,947048627086,947048627146,16,12.8196,8.56195,0.00096,0.00028,0.00032,0.00032,4.25512
12,1,0,1e+08,947052180112,947052731663,947052731767,947052731807,947052731847,947052731883,947053170655,947053170687,16,9.90575,5.51551,0.00104,0.0004,0.0004,0.00036,4.38772
13,1,0,1e+08,947056684975,947057269216,947057269364,947057269396,947057269436,947057269472,947057717964,947057718136,16,10.3316,5.84241,0.00148,0.00032,0.0004,0.00036,4.48492
14,1,0,1e+08,947061419893,947061933570,947061933702,947061933734,947061933766,947061933798,947062439014,947062439046,16,10.1915,5.13677,0.00132,0.00032,0.00032,0.00032,5.05216
15,1,0,1e+08,947067495734,947068633387,947068633572,947068633687,947068633822,947068633942,947069107404,947069107556,16,16.1182,11.3765,0.00185,0.00115,0.00135,0.0012,4.73462
16,1,0,1e+08,947072235008,947072608296,947072608392,947072608428,947072608464,947072608500,947073045648,947073045684,16,8.10676,3.73288,0.00096,0.00036,0.00036,0.00036,4.37148
17,1,0,1e+08,947075927146,947076704773,947076704865,947076704937,947076705025,947076705125,947077258554,947077258618,16,13.3147,7.77627,0.00092,0.00072,0.00088,0.001,5.53429
18,1,0,1e+08,947080273709,947080972263,947080972335,947080972383,947080972435,947080972499,947081371900,947081371928,16,10.9822,6.98554,0.00072,0.00048,0.00052,0.00064,3.99401
19,1,0,1e+08,947084199060,947084685868,947084685908,947084685932,947084685964,947084685988,947085081988,947085082032,16,8.82972,4.86808,0.0004,0.00024,0.00032,0.00024,3.96
