frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,3233585880061,3233587033597,3233587034605,3233587034645,3233587034685,3233587034725,3233588310619,3233588311247,16,24.3119,11.5354,0.01008,0.0004,0.0004,0.0004,12.7589
1,1,0,1e+08,3233592681507,3233593559312,3233593560427,3233593560577,3233593560717,3233593560877,3233594472451,3233594472503,16,17.91,8.77805,0.01115,0.0015,0.0014,0.0016,9.11574
2,1,0,1e+08,3233597470805,3233599811453,3233599812503,3233599812628,3233599812748,3233599812883,3233601029298,3233601029338,16,35.5853,23.4065,0.0105,0.00125,0.0012,0.00135,12.1642
3,1,0,1e+08,3233605027620,3233606684654,3233606684806,3233606684842,3233606684882,3233606684918,3233607311229,3233607312221,16,22.846,16.5703,0.00152,0.00036,0.0004,0.00036,6.26311
4,1,0,1e+08,3233611987121,3233613959401,3233613960333,3233613960497,3233613960569,3233613960641,3233614554584,3233614554620,16,25.675,19.7228,0.00932,0.00164,0.00072,0.00072,5.93943
5,1,0,1e+08,3233617951351,3233619895927,3233619896131,3233619896159,3233619896187,3233619896219,3233620741664,3233620742374,16,27.9102,19.4458,0.00204,0.00028,0.00028,0.00032,8.45445
6,1,0,1e+08,3233623975431,3233625442649,3233625442833,3233625442853,3233625442881,3233625442905,3233625812565,3233625812589,16,18.3716,14.6722,0.00184,0.0002,0.00028,0.00024,3.6966
7,1,0,1e+08,3233628721505,3233630552462,3233630552662,3233630552694,3233630552722,3233630552754,3233630917954,3233630918082,16,21.9658,18.3096,0.002,0.00032,0.00028,0.00032,3.652
8,1,0,1e+08,3233634261870,3233634976913,3233634977025,3233634977085,3233634977161,3233634977253,3233635402600,3233635402632,16,11.4076,7.15043,0.00112,0.0006,0.00076,0.00092,4.25347
9,1,0,1e+08,3233638490397,3233639376975,3233639377140,3233639377250,3233639377380,3233639377500,3233640136734,3233640137490,16,16.4709,8.86578,0.00165,0.0011,0.0013,0.0012,7.59234
10,1,0,1e+08,3233643082218,3233643971747,3233643971815,3233643971859,3233643971903,3233643971955,3233644488473,3233644488509,16,14.0629,8.89529,0.00068,0.00044,0.00044,0.00052,5.16518
11,1,0,1e+08,3233647282472,3233647648965,3233647649017,3233647649053,3233647649089,3233647649121,3233648211492,3233648211660,16,9.29188,3.66493,0.00052,0.00036,0.00036,0.00032,5.62371
12,1,0,1e+08,3233651180376,3233651653033,3233651653177,3233651653233,3233651653313,3233651653385,3233652231707,3233652231743,16,10.5137,4.72657,0.00144,0.00056,0.0008,0.00072,5.78322
13,1,0,1e+08,3233654930361,3233655872001,3233655872105,3233655872177,3233655872249,3233655872357,3233656446900,3233656447800,16,15.1744,9.4164,0.00104,0.00072,0.00072,0.00108,5.74543
14,1,0,1e+08,3233659387960,3233659819797,3233659819865,3233659819905,3233659819953,3233659819997,3233660322176,3233660322212,16,9.34252,4.31837,0.00068,0.0004,0.00048,0.00044,5.02179
15,1,0,1e+08,3233663052544,3233663970769,3233663970845,3233663970897,3233663970949,3233663971005,3233664530678,3233664530802,16,14.7826,9.18225,0.00076,0.00052,0.00052,0.00056,5.59673
16,1,0,1e+08,3233667770122,3233668383802,3233668383992,3233668384102,3233668384237,3233668384352,3233669025803,3233669025839,16,12.5572,6.1368,0.0019,0.0011,0.00135,0.00115,6.41451
17,1,0,1e+08,3233672166295,3233672547492,3233672547572,3233672547620,3233672547672,3233672547748,3233673041781,3233673041829,16,8.75534,3.81197,0.0008,0.00048,0.00052,0.00076,4.94033
18,1,0,1e+08,3233675957079,3233676380990,3233676381050,3233676381090,3233676381130,3233676381166,3233676983472,3233676983520,16,10.2644,4.23911,0.0006,0.0004,0.0004,0.00036,6.02306
19,1,0,1e+08,3233679671209,3233680230191,3233680230356,3233680230471,3233680230601,3233680230716,3233680819224,3233680819272,16,11.4806,5.58982,0.00165,0.00115,0.0013,0.00115,5.88508
20,1,0,1e+08,3233683772578,3233684800064,3233684800132,3233684800176,3233684800228,3233684800272,3233685318781,3233685318817,16,15.4624,10.2749,0.00068,0.00044,0.00052,0.00044,5.18509
21,1,0,1e+08,3233688254736,3233689290063,3233689290939,3233689290999,3233689291071,3233689291119,3233689820157,3233689820209,16,15.6547,10.3533,0.00876,0.0006,0.00072,0.00048,5.29038
22,1,0,1e+08,3233692745592,3233693566073,3233693566258,3233693566393,3233693566558,3233693566718,3233694141722,3233694141762,16,13.9617,8.20481,0.00185,0.00135,0.00165,0.0016,5.75004
23,1,0,1e+08,3233696869340,3233697280364,3233697280472,3233697280516,3233697280560,3233697280604,3233697784404,3233697784496,16,9.15156,4.11024,0.00108,0.00044,0.00044,0.00044,5.038
24,1,0,1e+08,3233701007973,3233701476270,3233701476330,3233701476374,3233701476418,3233701476470,3233701936254,3233701936282,16,9.28309,4.68297,0.0006,0.00044,0.00044,0.00052,4.59784
25,1,0,1e+08,3233704803113,3233705200505,3233705200561,3233705200597,3233705200633,3233705200669,3233705719893,3233705720029,16,9.16916,3.97392,0.00056,0.00036,0.00036,0.00036,5.19224
26,1,0,1e+08,3233708380432,3233708786208,3233708786276,3233708786316,3233708786360,3233708786404,3233709407498,3233709407538,16,10.2711,4.05776,0.00068,0.0004,0.00044,0.00044,6.21094
27,1,0,1e+08,3233711978081,3233713037323,3233713037575,3233713037627,3233713037675,3233713037719,3233713564116,3233713564160,16,15.8608,10.5924,0.00252,0.00052,0.00048,0.00044,5.26397
28,1,0,1e+08,3233716539631,3233717435755,3233717435855,3233717435919,3233717435991,3233717436055,3233718045709,3233718045749,16,15.0612,8.96124,0.001,0.00064,0.00072,0.00064,6.09654
29,1,0,1e+08,3233720972628,3233721906271,3233721906343,3233721906399,3233721906451,3233721906515,3233722417813,3233722417989,16,14.4536,9.33643,0.00072,0.00056,0.00052,0.00064,5.11298
30,1,0,1e+08,3233726374883,3233727327796,3233727327880,3233727327928,3233727327980,3233727328032,3233727844601,3233727844637,16,14.6975,9.52913,0.00084,0.00048,0.00052,0.00052,5.16569
31,1,0,1e+08,3233730479074,3233730896205,3233730896245,3233730896273,3233730896305,3233730896333,3233731371141,3233731371289,16,8.92215,4.17131,0.0004,0.00028,0.00032,0.00028,4.74808
32,1,0,1e+08,3233734131664,3233734552902,3233734552974,3233734553018,3233734553058,3233734553114,3233735056309,3233735056444,16,9.2478,4.21238,0.00072,0.00044,0.0004,0.00056,5.03195
33,1,0,1e+08,3233737610918,3233738500352,3233738500420,3233738500464,3233738500508,3233738500556,3233739010685,3233739011661,16,14.0074,8.89434,0.00068,0.00044,0.00044,0.00048,5.10129
34,1,0,1e+08,3233742234497,3233742661049,3233742661105,3233742661137,3233742661181,3233742661217,3233743106521,3233743106553,16,8.72056,4.26552,0.00056,0.00032,0.00044,0.00036,4.45304
35,1,0,1e+08,3233745958989,3233746322185,3233746322221,3233746322245,3233746322269,3233746322293,3233746820737,3233746820833,16,8.61844,3.63196,0.00036,0.00024,0.00024,0.00024,4.98444
36,1,0,1e+08,3233748929668,3233749460852,3233749460952,3233749461020,3233749461088,3233749461188,3233750067956,3233750067996,16,11.3833,5.31184,0.001,0.00068,0.00068,0.001,6.06768
37,1,0,1e+08,3233752158713,3233752562245,3233752562289,3233752562317,3233752562349,3233752562377,3233752957397,3233752957549,16,7.98836,4.03532,0.00044,0.00028,0.00032,0.00028,3.9502
38,1,0,1e+08,3233754966267,3233755282531,3233755282599,3233755282643,3233755282687,3233755282735,3233755836323,3233755836347,16,8.7008,3.16264,0.00068,0.00044,0.00044,0.00048,5.53588
39,1,0,1e+08,3233758153823,3233758507905,3233758507957,3233758507993,3233758508029,3233758508065,3233758889013,3233758889129,16,7.35306,3.54082,0.00052,0.00036,0.00036,0.00036,3.80948
40,1,0,1e+08,3233761306213,3233761587845,3233761587901,3233761587937,3233761587977,3233761588013,3233761999037,3233761999061,16,6.92848,2.81632,0.00056,0.00036,0.0004,0.00036,4.11024
41,1,0,1e+08,3233764018377,3233764344269,3233764344365,3233764344425,3233764344493,3233764344561,3233764805270,3233764805410,16,7.87033,3.25892,0.00096,0.0006,0.00068,0.00068,4.60709
42,1,0,1e+08,3233766823313,3233767089829,3233767089877,3233767089913,3233767089949,3233767089985,3233767486789,3233767486821,16,6.63508,2.66516,0.00048,0.00036,0.00036,0.00036,3.96804
43,1,0,1e+08,3233769566126,3233769852226,3233769852270,3233769852298,3233769852326,3233769852358,3233770245526,3233770245646,16,6.7952,2.861,0.00044,0.00028,0.00028,0.00032,3.93168
44,1,0,1e+08,3233772696790,3233772997902,3233772997946,3233772997974,3233772998014,3233772998046,3233773416702,3233773416730,16,7.1994,3.01112,0.00044,0.00028,0.0004,0.00032,4.18656
45,1,0,1e+08,3233775547722,3233776477880,3233776477944,3233776477988,3233776478040,3233776478084,3233776958469,3233776959473,16,14.1175,9.30158,0.00064,0.00044,0.00052,0.00044,4.80385
46,1,0,1e+08,3233779187590,3233779593418,3233779593482,3233779593522,3233779593574,3233779593614,3233780061118,3233780061146,16,8.73556,4.05828,0.00064,0.0004,0.00052,0.0004,4.67504
47,1,0,1e+08,3233782049668,3233783005251,3233783005351,3233783005419,3233783005495,3233783005591,3233783610412,3233783611260,16,15.6159,9.55583,0.001,0.00068,0.00076,0.00096,6.04821
48,1,0,1e+08,3233785829480,3233786159337,3233786159405,3233786159445,3233786159497,3233786159537,3233786614821,3233786614857,16,7.85377,3.29857,0.00068,0.0004,0.00052,0.0004,4.55284
49,1,0,1e+08,3233788674160,3233788942359,3233788942569,3233788942699,3233788942889,3233788943054,3233789997863,3233789998063,16,13.239,2.68199,0.0021,0.0013,0.0019,0.00165,10.5481
50,1,0,1e+08,3233792789974,3233793090162,3233793090218,3233793090258,3233793090298,3233793090338,3233793727874,3233793727906,16,9.37932,3.00188,0.00056,0.0004,0.0004,0.0004,6.37536
51,1,0,1e+08,3233795894741,3233796173501,3233796173545,3233796173573,3233796173601,3233796173629,3233796582457,3233796582577,16,6.87836,2.7876,0.00044,0.00028,0.00028,0.00028,4.08828
52,1,0,1e+08,3233798795934,3233799108522,3233799108570,3233799108598,3233799108650,3233799108686,3233799530926,3233799530954,16,7.3502,3.12588,0.00048,0.00028,0.00052,0.00036,4.2224
53,1,0,1e+08,3233801689351,3233802563324,3233802563424,3233802563496,3233802563572,3233802563652,3233803143627,3233803144603,16,14.5525,8.73973,0.001,0.00072,0.00076,0.0008,5.79975
54,1,0,1e+08,3233805370751,3233806390815,3233806390883,3233806390927,3233806390979,3233806391023,3233806927260,3233806927300,16,15.5655,10.2006,0.00068,0.00044,0.00052,0.00044,5.36237
55,1,0,1e+08,3233809277226,3233810280624,3233810280692,3233810280732,3233810280784,3233810280832,3233810808540,3233810809536,16,15.3231,10.034,0.00068,0.0004,0.00052,0.00048,5.27708
56,1,0,1e+08,3233812972583,3233813208443,3233813208479,3233813208503,3233813208535,3233813208567,3233814236997,3233814237049,16,12.6447,2.3586,0.00036,0.00024,0.00032,0.00032,10.2843
57,1,0,1e+08,3233816571055,3233816791451,3233816791475,3233816791495,3233816791519,3233816791539,3233817135807,3233817135903,16,5.64848,2.20396,0.00024,0.0002,0.00024,0.0002,3.44268
