ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy
1445.5344,1443.5827,439.2235,1443.3817,8,0,0,708.5764,1443.3906,1443.4034,1443.392,1443.383,743.8811,1445.5324,1443.3957,439.2427,439.2463,710.9814,708.9806,743.8811,21052,743.8811,711.0113,708.9308,True
1538.9049,1445.5471,708.5824,1443.3697,7,1,1,949.9028,1443.4064,1443.4113,1443.4078,1443.3726,747.6267,1538.8987,1443.409,708.6006,708.6048,745.8465,744.0065,747.6267,21052,747.6267,745.8537,743.9767,True
1925.5023,1539.1878,949.9137,1539.0668,8,2,2,1199.1953,1539.0964,1539.1074,1539.0973,1539.0675,1203.3187,1925.4899,1539.1002,949.9543,949.9594,1201.4405,1199.5725,1203.3187,21052,1203.3187,1201.4562,1199.5156,True
1928.6736,1925.5339,1199.202,1539.0848,7,3,3,1199.4629,1539.1307,1539.1353,1539.1318,1539.0855,1484.3082,1928.6715,1539.1332,1199.229,1199.2335,1445.5128,1443.3688,1484.3082,54520,1484.3082,1445.5553,1443.3124,True
1931.0958,1928.6847,1199.4654,1539.0726,6,4,4,1442.8234,1539.1362,1539.1397,1539.137,1539.0734,1483.0671,1931.0936,1539.1381,1199.4746,1199.4768,1445.9139,1443.5985,1483.0671,50164,1483.0671,1445.9563,1443.5387,True
1933.8205,1931.1059,1442.8338,1539.0786,5,5,5,1443.2756,1539.1405,1539.1445,1539.1413,1539.0794,1449.3865,1933.8122,1539.1429,1442.8746,1442.8782,1446.6296,1444.4335,1449.3865,21052,1449.3865,1446.648,1444.3712,True
1942.1248,1933.8414,1443.279,1539.0903,4,6,6,1443.3164,1539.1453,1539.1484,1539.1461,1539.0911,1483.0927,1942.1209,1539.147,1443.291,1443.2937,1446.6476,1444.4631,1483.0927,44740,1483.0927,1446.6749,1444.4119,True
1944.9261,1942.1378,1443.3183,1539.0474,3,7,7,1443.3486,1539.1491,1539.1523,1539.1499,1539.0509,1454.4108,1944.9233,1539.1509,1443.3278,1443.3299,1451.9889,1449.7172,1454.4108,21052,1454.4108,1451.9975,1449.6271,True
1946.2258,1944.937,1443.4136,1539.0603,2,6,8,1445.6088,1539.1529,1539.1561,1539.1538,1539.0612,1457.6244,1946.2238,1539.1548,1445.5662,1445.5702,1454.7347,1454.5222,1457.6244,21052,1457.6244,1454.7403,1454.4944,True
1948.2121,1946.4525,1445.6118,1946.356,8,7,9,1539.0133,1946.3939,1946.4055,1946.395,1946.3587,1543.6923,1948.2096,1946.3977,1538.953,1538.9595,1539.959,1539.6782,1543.6923,21052,1543.6923,1539.9755,1539.6148,True
1949.7729,1948.2239,1539.1577,1946.3672,7,1,10,1925.7536,1946.4078,1946.412,1946.4088,1946.3682,1933.4163,1949.7712,1946.41,1925.5993,1925.614,1928.7565,1926.6203,1933.4163,50164,1933.4163,1928.796,1926.2642,True
1951.6107,1949.7801,1925.7628,1946.3759,6,2,11,1928.8417,1946.413,1946.4169,1946.4139,1946.3768,1943.1282,1951.6048,1946.4154,1928.7351,1928.7461,1932.4255,1929.2205,1943.1282,44740,1943.1282,1932.462,1929.156,True
1953.1901,1951.6228,1928.8487,1946.382,5,3,12,1931.2679,1946.4177,1946.4208,1946.4185,1946.3827,1938.8698,1953.1883,1946.4195,1931.1584,1931.168,1933.7353,1931.7067,1938.8698,54520,1938.8698,1933.76,1931.5801,True
1955.2107,1953.1978,1931.2751,1946.3879,4,4,13,1933.9294,1946.4216,1946.4248,1946.4224,1946.3887,1938.2316,1955.2084,1946.4233,1933.8738,1933.8788,1934.7388,1934.3269,1938.2316,21052,1938.2316,1934.7732,1934.1936,True
1968.8348,1955.3981,1933.9356,1955.3162,8,5,14,1942.3597,1955.3369,1955.3524,1955.3381,1955.3172,1949.3525,1968.8295,1955.3446,1942.1848,1942.1951,1945.1364,1942.7757,1949.3525,50164,1949.3525,1945.1792,1942.7067,True
1970.6903,1968.8513,1942.3704,1955.3236,7,6,15,1945.0989,1955.3552,1955.3601,1955.3561,1955.3245,1949.6441,1970.6882,1955.3575,1944.9892,1944.9995,1945.7976,1945.5001,1949.6441,21052,1949.6441,1945.8177,1945.4261,True
1972.2055,1970.7038,1945.1077,1955.3053,6,7,16,1946.2892,1955.3611,1955.3658,1955.3619,1955.3076,1953.5517,1972.2028,1955.3643,1946.2548,1946.2599,1949.3686,1946.9586,1953.5517,54520,1953.5517,1949.4034,1946.8744,True
1974.0853,1972.3829,1946.4264,1972.3163,8,3,17,1948.3845,1972.3283,1972.3389,1972.3293,1972.3171,1955.2698,1974.0835,1972.3322,1948.2707,1948.2784,1951.4587,1948.8557,1955.2698,44740,1955.2698,1951.4955,1948.7745,True
1975.8549,1974.094,1948.3929,1955.3303,7,4,18,1950.093,1972.3406,1972.3453,1972.3419,1955.331,1954.6074,1975.8521,1972.3432,1949.842,1949.8482,1951.1852,1950.6813,1954.6074,50164,1954.6074,1951.2046,1950.6037,True
1977.5305,1975.8629,1950.0992,1972.3094,6,5,19,1951.7561,1972.3464,1972.3501,1972.3472,1972.3104,1958.3416,1977.5284,1972.3486,1951.6579,1951.6661,1954.0377,1952.1577,1958.3416,21052,1958.3416,1954.0573,1952.0847,True
1988.345,1977.5383,1951.7638,1972.2974,5,6,20,1953.3777,1972.351,1972.3542,1972.3518,1972.3006,1960.146,1988.3384,1972.3528,1953.2567,1953.2675,1954.189,1953.7853,1960.146,54520,1960.146,1954.2044,1953.7358,True
1990.3225,1988.3601,1953.3886,1972.3223,4,7,21,1955.2728,1972.355,1972.3584,1972.3558,1972.3231,1960.9606,1990.3204,1972.3568,1955.2436,1955.2469,1958.0563,1955.8786,1960.9606,50164,1960.9606,1958.071,1955.8051,True
1992.1306,1990.5963,1955.3682,1990.4326,8,5,22,1969.0789,1990.4777,1990.4909,1990.4787,1990.4351,1974.7927,1992.1263,1990.4828,1968.9152,1968.9314,1970.2804,1969.8567,1974.7927,44740,1974.7927,1970.3046,1969.7648,True
1993.9061,1992.1473,1969.0912,1990.4517,7,6,23,1970.8431,1990.4932,1990.5001,1990.4941,1990.4529,1975.265,1993.9029,1990.4967,1970.7435,1970.7548,1971.5478,1971.2977,1975.265,21052,1975.265,1971.5653,1971.2021,True
1995.7588,1993.9186,1970.8483,1990.4708,6,7,24,1972.265,1990.5012,1990.5062,1990.5021,1990.4716,1976.8167,1995.7565,1990.5045,1972.2307,1972.2353,1973.2253,1972.8484,1976.8167,54520,1976.8167,1973.2488,1972.7648,True
1997.845,1995.7683,1972.36,1990.465,5,3,25,1974.2289,1990.5072,1990.5117,1990.5092,1990.4657,1981.1854,1997.8415,1990.5102,1974.1349,1974.1421,1976.7098,1974.7898,1981.1854,50164,1981.1854,1976.7304,1974.7116,True
1999.7193,1997.8581,1974.2372,1990.4447,4,4,26,1976.0272,1990.5138,1990.5187,1990.5147,1990.4457,1981.7703,1999.7163,1990.516,1975.9113,1975.9206,1978.779,1976.3166,1981.7703,44740,1981.7703,1978.7913,1976.2728,True
2002.0,1999.731,1976.0351,1990.4586,3,5,27,1977.6647,1990.5196,1990.5689,1990.5205,1990.4594,1981.4355,2001.9969,1990.566,1977.5698,1977.578,1978.4458,1978.096,1981.4355,21052,1981.4355,1978.4593,1978.0392,True
2004.057,2002.2435,1977.6726,2002.1497,8,6,28,1988.5947,2002.1696,2002.182,2002.1708,2002.1507,1993.4328,2004.0545,2002.1736,1988.4427,1988.4547,1989.5448,1989.2052,1993.4328,54520,1993.4328,1989.5815,1989.1208,True
2005.8455,2004.0687,1988.604,2002.1421,7,7,29,1990.3997,2002.1844,2002.1914,2002.1854,2002.1432,1995.0038,2005.843,2002.1886,1990.3528,1990.3575,1991.4576,1991.1346,1995.0038,50164,1995.0038,1991.4818,1991.0244,True
2017.3465,2005.8567,1990.5707,2002.1564,6,2,30,1992.3617,2002.1927,2002.1963,2002.1936,2002.1572,1999.0407,2017.3353,2002.1947,1992.2002,1992.2119,1995.0616,1992.8184,1999.0407,21052,1999.0407,1995.085,1992.6852,True
2018.8521,2017.3744,1992.3694,2002.1293,5,3,31,1993.9868,2002.1975,2002.2013,2002.1983,2002.132,2000.9998,2018.8504,2002.1995,1993.9437,1993.9479,1996.9615,1994.6089,2000.9998,44740,2000.9998,1996.9835,1994.5025,True
2020.8555,2018.8612,1993.9897,2002.1624,4,4,32,1995.9233,2002.2022,2002.2069,2002.203,2002.1632,2000.3343,2020.8501,2002.2051,1995.8271,1995.8376,1996.605,1996.2534,2000.3343,54520,2000.3343,1996.6227,1996.1964,True
