ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
1444.053,1441.7431,419.5147,1441.6483,24,0,0,694.9064,1441.6591,1441.6759,1441.6607,1441.6499,730.9609,1444.0521,1441.6674,419.5337,419.537,697.2309,695.3768,730.9609,49112,730.9609,697.2611,695.3329,True,1441.7373,1,5791200,5791200,1
1541.6005,1444.0649,694.9127,1441.6345,23,1,1,937.8183,1441.7018,1441.7099,1441.7038,1441.6376,734.846,1541.5989,1441.7071,694.9302,694.9349,732.9465,731.0933,734.846,49112,734.846,732.9533,731.063,True,1444.0637,0,5791200,5791200,1
1891.5965,1542.0084,937.8253,1541.8175,24,2,2,1187.5025,1541.9119,1541.9254,1541.9127,1541.8188,1191.5777,1891.5955,1541.9178,937.8527,937.8566,1189.9005,1188.018,1191.5777,49112,1191.5777,1189.9155,1187.96,True,1542.0037,7,5791200,5791200,1
1895.2363,1891.6292,1187.5137,1541.8086,23,3,3,1187.7302,1541.9276,1541.936,1541.9291,1541.8093,1481.5678,1895.2352,1541.933,1187.5555,1187.5597,1442.9973,1441.0528,1481.5678,51156,1481.5678,1443.0249,1440.997,True,1891.6266,7,5791200,5791200,1
1898.0225,1895.2611,1187.7327,1541.8681,22,4,4,1440.2171,1541.9369,1541.9421,1541.9378,1541.8688,1481.949,1898.0208,1541.9395,1187.7436,1187.7471,1443.1549,1441.1387,1481.949,42056,1481.949,1443.179,1441.076,True,1895.2587,7,5791200,5791200,1
1900.8815,1898.0548,1440.226,1541.8844,21,5,5,1440.6564,1541.9437,1541.9501,1541.9453,1541.8851,1449.4316,1900.8806,1541.9485,1440.2553,1440.2608,1446.6057,1444.3434,1449.4316,49112,1449.4316,1446.6452,1444.2617,True,1898.0521,7,5791200,5791200,1
1903.5093,1900.9012,1440.66,1541.7838,20,6,6,1440.7158,1541.9509,1541.9552,1541.9518,1541.7849,1482.9615,1903.5085,1541.9536,1440.6709,1440.6734,1446.6137,1444.3792,1482.9615,47572,1482.9615,1446.6691,1444.3203,True,1900.8995,7,5791200,5791200,1
1911.0075,1903.5269,1440.7193,1541.8474,19,7,7,1441.055,1541.9561,1541.9599,1541.9569,1541.848,1453.8105,1911.0065,1541.9585,1440.7327,1440.7357,1451.4712,1449.5621,1453.8105,49112,1453.8105,1451.4788,1449.5308,True,1903.5252,7,5791200,5791200,1
1913.9192,1911.0245,1441.0581,1541.8525,18,8,8,1441.1179,1541.9606,1541.965,1541.9614,1541.8531,1458.188,1913.9177,1541.9636,1441.0717,1441.075,1456.1073,1453.9205,1458.188,49112,1458.188,1456.1187,1453.8937,True,1911.023,7,5791200,5791200,1
1916.53,1913.9381,1441.1208,1541.8247,17,9,9,1441.1714,1541.9658,1541.9697,1541.9665,1541.8253,1463.2815,1916.5288,1541.9682,1441.1334,1441.1368,1460.175,1458.3118,1463.2815,49112,1463.2815,1460.1835,1458.2828,True,1913.9361,7,5791200,5791200,1
