ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
1453.5482,1451.6779,438.7796,1451.5099,8,0,0,712.6867,1451.5168,1451.529,1451.5178,1451.5109,750.2424,1453.5474,1451.5228,438.8021,438.8063,715.0252,713.0761,750.2424,48980,750.2424,715.0515,713.0192,True,1451.6726,1,5791200,5791200,1
1551.7503,1453.5615,712.6927,1451.5001,7,1,1,955.4246,1451.5317,1451.5367,1451.5327,1451.5026,754.3981,1551.7489,1451.5347,712.7106,712.7148,752.5065,750.3824,754.3981,48980,754.3981,752.5148,750.3508,True,1453.5605,0,5791200,5791200,1
2006.4156,1552.1152,955.4381,1551.9416,8,2,2,1206.1333,1551.9777,1551.9952,1551.9793,1551.9424,1210.3207,2006.4141,1551.9847,955.4696,955.4735,1208.5801,1206.7075,1210.3207,48980,1210.3207,1208.595,1206.6472,True,1552.1109,6,5791200,5791200,1
2009.5521,2006.456,1206.1441,1551.9345,7,3,3,1206.5926,1552.0314,1552.0417,1552.033,1551.9355,1491.0618,2009.5506,1552.0364,1206.183,1206.1902,1453.6601,1451.5077,1491.0618,56776,1491.0618,1453.7079,1451.4457,True,2006.4528,5,5791200,5791200,1
2015.1401,2009.5676,1206.5957,1551.9483,6,4,4,1450.9427,1552.0434,1552.051,1552.0445,1551.9491,1491.172,2015.1391,1552.047,1206.6066,1206.6095,1454.0398,1451.7236,1491.172,34076,1491.172,1454.0793,1451.6565,True,2009.5649,4,5791200,5791200,1
2018.3512,2015.1617,1450.9539,1551.9548,5,5,5,1451.3835,1552.0525,1552.0582,1552.0535,1551.9556,1457.2468,2018.3501,1552.0562,1450.9921,1450.9995,1454.6775,1452.4593,1457.2468,48980,1457.2468,1454.6959,1452.3952,True,2015.1593,3,5791200,5791200,1
2021.4882,2018.3741,1451.3861,1551.9676,4,6,6,1451.4162,1552.0591,1552.0639,1552.0601,1551.9686,1491.9309,2021.4866,1552.0621,1451.3953,1451.3976,1454.5383,1452.4836,1491.9309,23780,1491.9309,1454.5675,1452.434,True,2018.3696,2,5791200,5791200,1
2024.5569,2021.5021,1451.4178,1551.9611,3,7,7,1451.482,1552.0649,1552.0695,1552.0659,1551.9621,1461.7738,2024.5559,1552.0677,1451.4249,1451.4266,1459.3935,1457.3819,1461.7738,48980,1461.7738,1459.4041,1457.3486,True,2021.4999,1,5791200,5791200,1
2027.1264,2024.5706,1451.5387,1551.9206,2,6,8,1453.6212,1552.0703,1552.0752,1552.0713,1551.9249,1463.9524,2027.1254,1552.0733,1453.5778,1453.5816,1462.0991,1461.8872,1463.9524,48980,1463.9524,1462.1053,1461.8572,True,2024.5687,0,5791200,5791200,1
2030.4316,2027.36,1453.6245,2027.2797,8,7,9,1551.8805,2027.2975,2027.3106,2027.2985,2027.2806,1556.6765,2030.4299,2027.3038,1551.8054,1551.8121,1552.9604,1552.6689,1556.6765,48980,1556.6765,1552.9791,1552.5893,True,2027.3573,4,5791200,5791200,1
