ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
1618.6852,1616.2907,483.993,1616.1909,8,0,0,772.8802,1616.2043,1616.2248,1616.2061,1616.1928,810.6554,1618.6997,1616.2139,484.0205,484.0261,775.3104,773.4402,810.6554,14580,810.6554,775.3437,773.38,True,1616.2841,1,5791200,5791200,1
1713.9588,1618.7198,772.8881,1616.1736,7,1,1,1048.5077,1616.2278,1616.2366,1616.2297,1616.1771,814.7959,1713.9937,1616.2331,772.9102,772.9158,812.8025,810.7884,814.7959,14580,814.7959,812.8107,810.7559,True,1618.7183,0,5791200,5791200,1
2265.7803,1714.4801,1048.5163,1714.2976,8,2,2,1338.9904,1714.3314,1714.3547,1714.3338,1714.2996,1343.2043,2265.8404,1714.3424,1048.5481,1048.5546,1341.4802,1339.4798,1343.2043,14580,1343.2043,1341.4963,1339.4202,True,1714.4756,6,5791200,5791200,1
2269.0933,2265.8972,1339.0082,1714.3124,7,3,3,1339.3309,1714.3582,1714.3702,1714.362,1714.3156,1658.0521,2269.1057,1714.3665,1339.0427,1339.0488,1617.9792,1615.8238,1658.0521,5696,1658.0521,1618.0099,1615.7691,True,2265.893,5,5791200,5791200,1
2275.4869,2269.1236,1339.335,1714.2805,6,4,4,1615.1226,1714.3739,1714.384,1714.3757,1714.2823,1657.7942,2275.5294,1714.3792,1339.3509,1339.3545,1618.4627,1616.2659,1657.7942,10408,1657.7942,1618.4913,1616.2035,True,2269.1214,4,5791200,5791200,1
2278.5673,2275.5876,1615.1318,1714.2456,5,5,5,1615.8537,1714.3862,1714.3947,1714.3879,1714.2475,1622.1095,2278.585,1714.3915,1615.1679,1615.1753,1619.4469,1617.162,1622.1095,14580,1622.1095,1619.4672,1617.0954,True,2275.5826,3,5791200,5791200,1
2281.0246,2278.601,1615.8572,1714.2272,4,6,6,1616.0402,1714.3964,1714.4036,1714.3981,1714.231,1657.6073,2281.0482,1714.401,1615.8725,1615.8758,1619.4196,1617.208,1657.6073,35368,1657.6073,1619.4553,1617.1479,True,2278.599,2,5791200,5791200,1
2283.732,2281.0713,1616.0435,1714.2637,3,7,7,1616.1481,1714.4052,1714.4124,1714.4067,1714.267,1626.937,2283.7463,1714.4097,1616.0579,1616.0611,1624.4108,1622.2506,1626.937,14580,1626.937,1624.4219,1622.2119,True,2281.0689,1,5791200,5791200,1
2286.0382,2283.7657,1616.2394,1714.2028,2,6,8,1618.7877,1714.4141,1714.4239,1714.4157,1714.2093,1629.2208,2286.0547,1714.4185,1618.7472,1618.7519,1627.2795,1627.0632,1629.2208,14580,1629.2208,1627.2864,1627.0314,True,2283.7631,0,5791200,5791200,1
2294.7117,2286.3377,1618.7919,2286.2292,8,7,9,1714.1497,2286.2371,2286.2545,2286.2384,2286.2299,1719.2334,2294.7283,2286.246,1714.062,1714.068,1715.4122,1715.1506,1719.2334,14580,1719.2334,1715.4315,1715.0803,True,2286.3349,5,5791200,5791200,1
2296.8578,2294.7475,1714.4279,2286.2155,7,1,10,2266.2389,2286.2578,2286.2682,2286.2594,2286.2165,2273.9196,2296.8802,2286.2643,2265.9877,2266.009,2269.096,2267.0081,2273.9196,35368,2273.9196,2269.116,2266.9221,True,2294.7452,4,5791200,5791200,1
2299.2312,2296.9027,2266.2469,2286.1832,6,2,11,2269.3945,2286.2699,2286.2768,2286.2713,2286.188,2278.4636,2299.2473,2286.2746,2269.1939,2269.2098,2272.0059,2269.9839,2278.4636,10408,2278.4636,2272.0289,2269.9102,True,2296.9002,3,5791200,5791200,1
2301.9307,2299.2707,2269.3987,2286.2017,5,3,12,2275.9541,2286.2779,2286.2841,2286.2789,2286.2026,2284.6533,2301.9455,2286.2816,2275.6644,2275.6911,2278.2476,2276.3431,2284.6533,5696,2284.6533,2278.2817,2276.28,True,2299.2678,2,5791200,5791200,1
2308.4772,2301.9656,2275.9595,2286.2233,4,4,13,2278.9186,2286.2854,2286.2913,2286.2865,2286.224,2282.501,2308.4919,2286.2894,2278.7106,2278.729,2279.5765,2279.3101,2282.501,14580,2282.501,2279.5929,2279.2508,True,2301.9636,1,5791200,5791200,1
2310.2754,2308.5122,2278.9258,2286.2088,3,5,14,2281.4153,2286.292,2286.2967,2286.293,2286.2096,2285.6284,2310.2868,2286.2951,2281.1469,2281.1729,2282.2431,2281.906,2285.6284,35368,2285.6284,2282.2836,2281.791,True,2308.51,0,5791200,5791200,1
2312.9195,2310.6355,2281.4202,2310.4806,8,6,15,2283.9707,2310.5174,2310.5398,2310.5195,2310.482,2293.4608,2312.9326,2310.5291,2283.8228,2283.8355,2287.2366,2284.4474,2293.4608,10408,2293.4608,2287.26,2284.3275,True,2310.6323,5,5791200,5791200,1
2315.5254,2312.9455,2283.9774,2310.504,7,7,16,2286.1377,2310.5445,2310.5538,2310.5464,2310.5061,2290.3587,2315.5403,2310.5504,2286.0948,2286.1004,2287.1748,2286.8583,2290.3587,14580,2290.3587,2287.1919,2286.793,True,2312.9439,4,5791200,5791200,1
2317.9623,2315.5566,2286.2985,2310.4526,6,2,17,2295.014,2310.5561,2310.5643,2310.5578,2310.4548,2308.4857,2317.9731,2310.5616,2294.8164,2294.833,2298.5785,2295.5097,2308.4857,5696,2308.4857,2298.61,2295.4294,True,2315.5553,3,5791200,5791200,1
2325.7397,2317.9851,2295.0191,2310.467,5,3,18,2297.1107,2310.5664,2310.5746,2310.568,2310.4685,2302.4533,2325.7657,2310.5717,2296.9656,2296.9774,2298.1814,2297.7379,2302.4533,35368,2302.4533,2298.2104,2297.6227,True,2317.984,2,5791200,5791200,1
2328.247,2325.8002,2297.1263,2310.4928,4,4,19,2299.3434,2310.5767,2310.5856,2310.5783,2310.4942,2305.5228,2328.2591,2310.5826,2299.3015,2299.306,2302.1141,2299.715,2305.5228,14580,2305.5228,2302.1603,2299.6116,True,2325.7971,1,5791200,5791200,1
2330.2844,2328.2775,2299.3484,2310.4294,3,5,20,2302.2347,2310.5877,2310.596,2310.5896,2310.4359,2306.452,2330.3073,2310.5931,2302.0457,2302.0646,2302.9532,2302.654,2306.452,10408,2306.452,2302.9682,2302.5769,True,2328.275,0,5791200,5791200,1
2332.611,2330.6258,2302.2417,2330.5124,8,6,21,2308.8041,2330.529,2330.5458,2330.5303,2330.5134,2316.4158,2332.6249,2330.536,2308.5949,2308.6153,2311.7657,2309.2879,2316.4158,35368,2316.4158,2311.8168,2309.2053,True,2330.6222,4,5791200,5791200,1
2334.7304,2332.6401,2308.8093,2330.4774,7,7,22,2310.3582,2330.5496,2330.5604,2330.5515,2330.482,2318.2088,2334.7453,2330.5561,2310.3189,2310.3218,2314.0678,2311.3507,2318.2088,14580,2318.2088,2314.1092,2311.2354,True,2332.6379,3,5791200,5791200,1
2336.3027,2334.766,2310.5991,2330.5203,6,2,23,2313.1218,2330.5623,2330.5686,2330.5635,2330.5214,2317.8276,2336.3166,2330.5662,2312.9856,2312.9948,2313.8668,2313.5422,2317.8276,10408,2317.8276,2313.8929,2313.4607,True,2334.7633,2,5791200,5791200,1
2338.4306,2336.3322,2313.1298,2330.5048,5,3,24,2315.9251,2330.5701,2330.577,2330.5712,2330.5058,2322.1792,2338.4448,2330.5742,2315.6265,2315.6549,2318.464,2316.3871,2322.1792,5696,2322.1792,2318.5462,2316.3064,True,2336.3306,1,5791200,5791200,1
2340.4877,2338.4637,2315.9309,2330.4956,4,4,25,2318.5049,2330.5782,2330.5848,2330.5793,2330.4972,2327.55,2340.5129,2330.5822,2318.279,2318.2825,2321.3718,2319.4172,2327.55,35368,2327.55,2321.3926,2319.3551,True,2338.4608,0,5791200,5791200,1
2351.7455,2340.7823,2318.5129,2340.6654,8,5,26,2326.1042,2340.7045,2340.7201,2340.7058,2340.6685,2332.667,2351.7642,2340.7111,2325.8824,2325.8983,2328.6861,2326.7985,2332.667,10408,2332.667,2328.7159,2326.719,True,2340.7798,3,5791200,5791200,1
2353.617,2351.7953,2326.111,2340.6962,7,6,27,2328.7015,2340.7228,2340.7334,2340.7249,2340.6972,2333.7451,2353.6306,2340.7291,2328.3628,2328.3797,2330.3691,2329.9295,2333.7451,14580,2333.7451,2330.3921,2329.8441,True,2351.7908,2,5791200,5791200,1
2361.5289,2353.6502,2328.7087,2340.6787,6,7,28,2330.4254,2340.735,2340.7412,2340.7365,2340.6803,2335.3703,2361.548,2340.739,2330.3625,2330.3681,2331.6772,2331.2685,2335.3703,5696,2335.3703,2331.7042,2331.1875,True,2353.648,1,5791200,5791200,1
2363.3527,2361.5839,2330.5871,2340.6881,5,3,29,2333.0059,2340.7422,2340.7474,2340.7433,2340.6893,2337.4341,2363.3654,2340.7453,2332.7027,2332.7183,2333.918,2333.5096,2337.4341,35368,2337.4341,2333.9348,2333.4081,True,2361.5814,0,5791200,5791200,1
2365.4525,2363.6431,2333.0152,2363.5326,8,4,30,2335.028,2363.54,2363.5544,2363.5413,2363.5335,2341.0996,2365.462,2363.5459,2334.8352,2334.8522,2337.4442,2335.3458,2341.0996,10408,2341.0996,2337.4641,2335.2867,True,2363.6386,5,5791200,5791200,1
2367.4189,2365.4763,2335.0328,2363.4859,7,5,31,2336.6199,2363.5576,2363.5683,2363.5598,2363.4892,2346.7226,2367.4309,2363.5639,2336.4096,2336.4322,2337.3744,2336.9639,2346.7226,14580,2346.7226,2337.3898,2336.8784,True,2365.4742,4,5791200,5791200,1
2369.717,2367.4455,2336.6244,2363.5169,6,6,32,2338.7158,2363.5698,2363.5753,2363.5708,2363.518,2342.3967,2369.7284,2363.5732,2338.5315,2338.5498,2339.3193,2339.0333,2342.3967,5696,2342.3967,2339.3347,2338.9678,True,2367.444,3,5791200,5791200,1
2371.9176,2369.7418,2338.7197,2363.525,5,7,33,2340.6227,2363.5765,2363.5818,2363.5775,2363.526,2344.3281,2371.9315,2363.5796,2340.5669,2340.5713,2341.8011,2341.4253,2344.3281,35368,2344.3281,2341.8146,2341.3639,True,2369.7405,2,5791200,5791200,1
2373.7048,2371.948,2340.7493,2363.5084,4,4,34,2352.5107,2363.5828,2363.588,2363.5838,2363.5095,2356.8337,2373.715,2363.5859,2352.3415,2352.3537,2353.1667,2352.8979,2356.8337,10408,2356.8337,2353.188,2352.8402,True,2371.9461,1,5791200,5791200,1
2384.6609,2373.729,2352.5166,2363.4994,3,5,35,2353.9198,2363.589,2363.5941,2363.5901,2363.5008,2359.0599,2384.6792,2363.5922,2353.7284,2353.7466,2354.7477,2354.3512,2359.0599,5696,2359.0599,2354.7626,2354.2847,True,2373.7276,0,5791200,5791200,1
2386.5405,2385.0249,2353.9284,2384.906,8,6,36,2361.8799,2384.9358,2384.9492,2384.9368,2384.9069,2375.2397,2386.5501,2384.9414,2361.6692,2361.6883,2367.4629,2362.7093,2375.2397,35368,2375.2397,2367.6014,2362.6496,True,2385.0213,6,5791200,5791200,1
2388.8472,2386.5625,2361.8884,2384.9298,7,7,37,2363.447,2384.9519,2384.96,2384.9536,2384.9306,2368.8671,2388.8606,2384.957,2363.4035,2363.4075,2364.5819,2364.231,2368.8671,14580,2368.8671,2364.636,2364.1354,True,2386.5611,5,5791200,5791200,1
