ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
1434.1149,1432.3771,427.951,1432.3062,12,0,0,695.7852,1432.313,1432.325,1432.314,1432.3072,732.6842,1434.1142,1432.3185,427.9713,427.975,698.1857,696.2302,732.6842,44380,732.6842,698.2149,696.1813,True,1432.3725,1,5791200,5791200,1
1525.2839,1434.1273,695.7917,1432.2951,11,1,1,939.0145,1432.3276,1432.3324,1432.3285,1432.2987,736.8324,1525.2822,1432.3306,695.8101,695.8156,734.6793,732.8219,736.8324,44380,736.8324,734.6867,732.7902,True,1434.1264,0,5791200,5791200,1
1888.0696,1525.6137,939.0215,1525.4551,12,2,2,1183.0103,1525.5019,1525.5133,1525.5028,1525.4558,1187.1921,1888.0685,1525.5067,939.0461,939.0502,1185.4581,1183.621,1187.1921,44380,1187.1921,1185.4733,1183.5645,True,1525.6102,7,5791200,5791200,1
1891.1228,1888.1125,1183.0215,1525.479,11,3,3,1183.2745,1525.5367,1525.5421,1525.5377,1525.4796,1472.488,1891.1217,1525.54,1183.0599,1183.0676,1434.9009,1432.7673,1472.488,43500,1472.488,1434.9336,1432.6592,True,1888.11,7,5791200,5791200,1
1894.4064,1891.1438,1183.2776,1525.4295,10,4,4,1431.7508,1525.5429,1525.5475,1525.5437,1525.433,1471.8865,1894.4054,1525.5459,1183.2891,1183.2921,1435.0466,1432.9208,1471.8865,44404,1471.8865,1435.0743,1432.8605,True,1891.1414,7,5791200,5791200,1
1897.0797,1894.419,1431.7582,1525.4843,9,5,5,1432.122,1525.5483,1525.5523,1525.5491,1525.4851,1438.8746,1897.0775,1525.5508,1431.783,1431.787,1435.6543,1433.6012,1438.8746,44380,1438.8746,1435.6709,1433.5454,True,1894.4166,7,5791200,5791200,1
1904.9768,1897.0988,1432.1247,1525.4953,8,6,6,1432.1601,1525.5531,1525.5572,1525.5538,1525.4961,1472.2277,1904.9758,1525.5558,1432.1343,1432.1369,1435.8921,1433.6672,1472.2277,55328,1472.2277,1435.9396,1433.6175,True,1897.0957,6,5791200,5791200,1
1908.0182,1905.0005,1432.1616,1525.4427,7,7,7,1432.1864,1525.558,1525.5618,1525.5587,1525.4436,1443.6129,1908.0171,1525.5605,1432.1685,1432.1702,1441.2294,1438.9973,1443.6129,44380,1443.6129,1441.2451,1438.9687,True,1904.997,5,5791200,5791200,1
1911.2543,1908.0313,1432.1877,1525.4493,6,8,8,1432.2102,1525.5625,1525.567,1525.5632,1525.4501,1447.9779,1911.2533,1525.5656,1432.1937,1432.1954,1446.0193,1443.7245,1447.9779,44380,1447.9779,1446.0286,1443.6967,True,1908.0298,4,5791200,5791200,1
1913.8653,1911.2658,1432.2113,1525.4734,5,9,9,1432.2323,1525.5677,1525.5717,1525.5685,1525.4742,1453.3543,1913.8642,1525.5703,1432.2172,1432.2187,1450.247,1448.0918,1453.3543,44380,1453.3543,1450.2555,1448.0618,True,1911.2642,3,5791200,5791200,1
