ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
1448.7556,1446.9558,432.0716,1446.6378,8,0,0,703.491,1446.6547,1446.6703,1446.6557,1446.6407,740.0741,1448.7637,1446.6601,432.0901,432.094,705.6348,703.8899,740.0741,42044,740.0741,705.6615,703.8399,True,1446.9516,1,5791200,5791200,1
1540.6431,1448.7757,703.4977,1446.6479,7,1,1,950.4431,1446.672,1446.6769,1446.673,1446.6489,744.1205,1540.6675,1446.6749,703.5154,703.5197,742.0814,740.2073,744.1205,42044,744.1205,742.089,740.1753,True,1448.7745,0,5791200,5791200,1
1898.9245,1540.9861,950.4498,1540.8582,8,2,2,1201.5503,1540.8952,1540.9091,1540.8965,1540.8593,1205.7774,1898.9794,1540.9012,950.4762,950.4806,1203.991,1202.1098,1205.7774,42044,1205.7774,1204.0064,1202.0546,True,1540.9831,6,5791200,5791200,1
1902.1098,1899.033,1201.563,1540.8496,7,3,3,1201.7894,1540.9115,1540.9181,1540.9126,1540.851,1486.383,1902.1219,1540.9151,1201.6043,1201.611,1448.8175,1446.6922,1486.383,45016,1486.383,1448.8632,1446.6264,True,1899.0286,5,5791200,5791200,1
1905.0688,1902.1384,1201.7915,1540.8733,6,4,4,1446.1201,1540.9197,1540.9257,1540.9209,1540.8742,1486.9268,1905.0844,1540.9234,1201.8002,1201.8025,1449.1467,1446.868,1486.9268,26868,1486.9268,1449.1845,1446.8028,True,1902.1368,4,5791200,5791200,1
1907.9239,1905.1004,1446.1391,1540.8343,5,5,5,1446.5593,1540.9267,1540.9322,1540.9278,1540.8376,1452.4341,1907.9363,1540.9301,1446.1671,1446.1706,1449.8385,1447.6217,1452.4341,42044,1452.4341,1449.8546,1447.5618,True,1905.099,3,5791200,5791200,1
1916.2977,1907.949,1446.562,1540.8662,4,6,6,1446.5928,1540.9333,1540.9383,1540.9344,1540.8672,1486.6286,1916.3197,1540.9363,1446.5711,1446.5734,1449.7881,1447.6423,1486.6286,2856,1486.6286,1449.817,1447.5919,True,1907.9475,2,5791200,5791200,1
1919.2086,1916.3396,1446.5943,1540.8801,3,7,7,1446.6197,1540.9393,1540.9443,1540.9403,1540.8812,1456.9142,1919.2202,1540.9423,1446.6018,1446.6036,1454.5642,1452.562,1456.9142,42044,1456.9142,1454.5717,1452.5318,True,1916.3365,1,5791200,5791200,1
1921.1117,1919.2346,1446.6786,1540.8872,2,6,8,1448.8402,1540.9452,1540.9503,1540.9463,1540.8882,1459.6071,1921.1251,1540.9483,1448.7998,1448.8038,1457.2587,1457.0423,1459.6071,42044,1459.6071,1457.2657,1456.9961,True,1919.2333,0,5791200,5791200,1
1922.9253,1921.3709,1448.8431,1921.2486,8,7,9,1540.794,1921.2931,1921.3095,1921.2941,1921.2518,1545.2001,1922.9357,1921.3007,1540.7249,1540.7314,1541.7394,1541.4773,1545.2001,42044,1545.2001,1541.7555,1541.4162,True,1921.3678,4,5791200,5791200,1
1924.3073,1922.9475,1540.9527,1921.2845,7,1,10,1899.2536,1921.3124,1921.3175,1921.3134,1921.2861,1907.0579,1924.3198,1921.3155,1899.0979,1899.1088,1902.1766,1900.0717,1907.0579,45016,1907.0579,1902.2122,1899.9989,True,1922.9462,3,5791200,5791200,1
