ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms
1476.0788,1473.9277,427.2987,1473.8229,8,0,0,701.6942,1473.8357,1473.8517,1473.8368,1473.824,743.2421,1476.0776,1473.8426,427.3195,427.3231,743.2421,56296,738.4751,702.0819,702.0803
1575.6089,1476.0915,701.7007,1473.8296,7,1,1,955.4049,1473.8529,1473.8581,1473.854,1473.8308,751.0659,1575.6031,1473.8559,701.7199,701.724,751.0659,56296,746.4447,743.5943,743.5931
2004.1888,1575.6318,955.4246,1473.8122,6,2,2,1215.5269,1473.8589,1473.8644,1473.8598,1473.8154,1224.1364,2004.1776,1473.8626,955.4639,955.4706,1224.1364,56296,1218.8723,1215.8874,1215.8849
2008.7303,2004.6048,1215.5392,2004.4465,8,3,3,1215.8252,2004.5029,2004.5278,2004.5044,2004.453,1521.4237,2008.724,2004.5151,1215.5784,1215.5839,1521.4237,34272,1515.0359,1473.027,1473.0246
2011.8262,2008.7602,1215.8275,2004.4649,7,4,4,1472.4906,2004.5303,2004.5368,2004.5312,2004.4662,1521.0798,2011.823,2004.5336,1215.837,1215.8393,1521.0798,34340,1514.7601,1473.5063,1473.5031
2015.5534,2011.8464,1472.5047,2004.4952,6,5,5,1473.4122,2004.5374,2004.5435,2004.5383,2004.4961,1483.9077,2015.5476,2004.5409,1472.5461,1472.5498,1483.9077,56296,1478.4112,1474.0692,1474.0663
2020.2578,2015.5803,1473.4162,2004.4714,5,6,6,1473.5006,2004.5443,2004.5492,2004.5455,2004.4724,1521.7378,2020.2523,2004.5465,1473.4306,1473.434,1521.7378,40188,1515.3084,1474.1101,1474.1087
2024.0775,2020.281,1473.5033,2004.4888,4,7,7,1473.782,2004.5497,2004.5547,2004.5507,2004.4895,1493.5629,2024.0754,2004.5525,1473.5136,1473.5161,1493.5629,56296,1487.7933,1484.3462,1484.3449
2027.4822,2024.0914,1473.8657,2004.4773,3,5,8,1476.1519,2004.5553,2004.5591,2004.5561,2004.4782,1501.0113,2027.473,2004.5575,1476.1132,1476.1171,1501.0113,56296,1497.2989,1493.9646,1493.9628
2030.5369,2027.5283,1476.155,2004.4835,2,6,9,1575.8649,2004.5596,2004.5645,2004.5604,2004.4843,1584.3899,2030.5326,2004.5628,1575.6973,1575.714,1584.3899,56296,1580.9893,1576.2202,1576.217
