ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms
1450.1202,1447.9812,446.5767,1447.8963,8,0,0,724.6874,1447.9043,1447.9214,1447.9055,1447.8978,764.987,1450.119,1447.9105,446.5981,446.6018,764.987,34396,759.8819,725.0567,725.0553
1547.4996,1450.1372,724.6945,1447.8849,7,1,1,963.4608,1447.9233,1447.9282,1447.9244,1447.888,772.9748,1547.4935,1447.9257,724.7134,724.7179,772.9748,34396,768.1984,765.3285,765.3275
1897.3458,1547.7424,963.4672,1547.6584,8,2,2,1206.5267,1547.6775,1547.6873,1547.6783,1547.6592,1214.8628,1897.338,1547.6808,963.492,963.4965,1214.8628,34396,1209.6565,1206.9235,1206.9207
1900.41,1897.4101,1206.5373,1547.6479,7,3,3,1206.8478,1547.6884,1547.6932,1547.6892,1547.649,1493.8983,1900.4079,1547.6909,1206.5758,1206.5828,1493.8983,52392,1488.1321,1447.8324,1447.8295
1903.3007,1900.4229,1206.8517,1547.6724,6,4,4,1447.2638,1547.6938,1547.6971,1547.6946,1547.6731,1493.879,1903.2958,1547.6956,1206.8642,1206.8674,1493.879,52676,1488.0381,1448.2072,1448.2015
1906.5297,1903.3267,1447.2707,1547.6534,5,5,5,1447.7557,1547.6977,1547.7012,1547.6984,1547.6542,1458.4173,1906.5266,1547.6997,1447.295,1447.2995,1458.4173,34396,1452.8567,1448.7285,1448.7252
1915.1585,1906.5462,1447.7581,1547.6679,4,6,6,1447.7972,1547.7017,1547.7046,1547.7024,1547.6687,1494.6456,1915.1515,1547.7032,1447.7675,1447.7697,1494.6456,36208,1488.5695,1448.7742,1448.7731
1919.049,1915.1842,1447.7987,1547.6382,3,7,7,1447.8616,1547.7051,1547.7082,1547.7058,1547.641,1467.2985,1919.0444,1547.7067,1447.806,1447.8078,1467.2985,34396,1462.1428,1458.7893,1458.7879
1922.428,1919.0687,1447.9299,1547.6631,2,6,8,1450.2066,1547.7087,1547.7118,1547.7094,1547.6638,1473.9481,1922.426,1547.7104,1450.1597,1450.1638,1473.9481,34396,1470.5875,1467.6325,1467.6312
1924.842,1922.7407,1450.2102,1922.6241,8,7,9,1547.604,1922.6754,1922.6995,1922.6772,1922.6363,1555.5294,1924.8382,1922.6856,1547.5459,1547.5513,1555.5294,34396,1552.5345,1548.2254,1548.2226
