ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms
1243.2027,1241.1882,317.8423,1241.04,8,0,0,559.3296,1241.0545,1241.0666,1241.0556,1241.0423,600.6875,1243.201,1241.0596,317.863,317.8672,600.6875,56152,594.9319,559.7083,559.7072
1336.273,1243.2175,559.337,1241.0491,7,1,1,794.6107,1241.0676,1241.0713,1241.0685,1241.05,609.2776,1336.2664,1241.0695,559.3586,559.3643,609.2776,56152,604.1702,601.1612,601.1593
1741.9263,1336.5218,794.624,1336.4185,8,2,2,1020.3236,1336.4583,1336.4679,1336.4591,1336.4215,1029.0428,1741.9175,1336.4618,794.6744,794.6787,1029.0428,56152,1023.6459,1020.6354,1020.632
1744.7575,1741.9546,1020.33,1336.429,7,3,3,1020.706,1336.4689,1336.4731,1336.4698,1336.4302,1300.2316,1744.7516,1336.4712,1020.354,1020.3584,1300.2316,52892,1295.2761,1241.0303,1241.0275
1752.3575,1744.7769,1020.7089,1336.44,6,4,4,1240.5516,1336.4738,1336.4772,1336.4746,1336.4409,1285.8338,1752.3531,1336.4756,1020.7194,1020.7219,1285.8338,52904,1280.0625,1241.4128,1241.4079
1755.3991,1752.3711,1240.566,1336.4492,5,5,5,1240.9443,1336.4778,1336.4813,1336.4785,1336.4498,1251.1266,1755.3934,1336.4795,1240.5972,1240.6023,1251.1266,56152,1245.8197,1241.9122,1241.9076
1758.8377,1755.4221,1240.9469,1336.4534,4,6,6,1240.9804,1336.4819,1336.4852,1336.4827,1336.454,1287.5679,1758.8349,1336.4836,1240.9576,1240.9599,1287.5679,9628,1281.5712,1241.9369,1241.9361
1762.6623,1758.8561,1240.9819,1336.4349,3,7,7,1241.0216,1336.4858,1336.4889,1336.4865,1336.4357,1259.6182,1762.6583,1336.4874,1240.989,1240.9908,1259.6182,56152,1254.8668,1251.4776,1251.4758
1767.9551,1762.6782,1241.0727,1336.4448,2,6,8,1243.2829,1336.4894,1336.4927,1336.4903,1336.4455,1266.2883,1767.944,1336.4913,1243.238,1243.2423,1266.2883,56152,1262.9329,1259.9631,1259.9605
1772.0182,1768.217,1243.2858,1768.1391,8,7,9,1336.3841,1768.1471,1768.1627,1768.1486,1768.1403,1344.6259,1772.0158,1768.1536,1336.3186,1336.3239,1344.6259,56152,1341.5221,1336.9718,1336.9684
