ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms
1288.247,1286.2477,347.1057,1286.1415,12,0,0,591.2764,1286.1485,1286.1636,1286.1495,1286.1426,635.3421,1288.2456,1286.1537,347.1262,347.1302,635.3421,32216,629.7168,591.6404,591.6389
1392.0076,1288.2675,591.2815,1286.1315,11,1,1,832.2248,1286.165,1286.1693,1286.1659,1286.1345,645.5848,1392.0015,1286.1671,591.2973,591.3019,645.5848,32216,639.7167,635.7903,635.7889
1766.1591,1392.338,832.2345,1392.2291,12,2,2,1060.5949,1392.2466,1392.2593,1392.2479,1392.2299,1068.561,1766.1498,1392.252,832.2706,832.2772,1068.561,32216,1063.555,1060.9378,1060.9352
1769.0516,1766.2114,1060.6105,1392.1994,11,3,3,1060.8755,1392.2607,1392.2656,1392.2617,1392.2008,1333.458,1769.049,1392.2633,1060.6565,1060.6611,1333.458,51640,1327.0841,1286.2027,1286.2005
1776.1424,1769.0697,1060.8778,1392.2125,10,4,4,1285.347,1392.2664,1392.2703,1392.2673,1392.2134,1333.3905,1776.1376,1392.2684,1060.9188,1060.9213,1333.3905,54348,1326.8364,1286.3231,1286.3179
1780.2088,1776.1705,1285.3609,1392.2179,9,5,5,1285.8707,1392.271,1392.2752,1392.272,1392.2187,1296.6992,1780.2035,1392.2733,1285.4088,1285.4174,1296.6992,32216,1291.1655,1287.2244,1287.2203
1783.9593,1780.2341,1285.874,1392.2348,8,6,6,1285.9122,1392.2758,1392.2793,1392.2768,1392.2356,1334.7258,1783.955,1392.2777,1285.886,1285.889,1334.7258,52824,1327.5769,1287.258,1287.2571
1788.1877,1783.9796,1285.9141,1392.173,7,7,7,1285.9443,1392.28,1392.2836,1392.2809,1392.1762,1305.1036,1788.1857,1392.2819,1285.9228,1285.925,1305.1036,32216,1300.4541,1297.1064,1297.1046
1792.9595,1788.2044,1285.9458,1392.1925,6,8,8,1285.9724,1392.2843,1392.2885,1392.2852,1392.1939,1313.9761,1792.9488,1392.2867,1285.9534,1285.9554,1313.9761,32216,1308.6504,1305.467,1305.4645
1797.8917,1792.9967,1285.9738,1392.2236,5,9,9,1285.9998,1392.2892,1392.2931,1392.2902,1392.2243,1323.6236,1797.8858,1392.2912,1285.9811,1285.9829,1323.6236,32216,1318.591,1314.3527,1314.3502
