ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms
830.1415,828.336,344.8467,828.1475,4,0,0,587.5018,828.1583,828.1706,828.1596,828.1504,632.8529,830.1397,828.1627,344.8648,344.8697,632.8529,44428,626.8389,587.9139,587.9131
928.0415,830.2565,587.5117,830.2184,4,1,1,827.3126,830.227,830.2381,830.228,830.2205,642.3772,928.0352,830.2317,587.5388,587.545,642.3772,44428,636.9938,633.3407,633.3391
1310.4332,928.2498,827.3262,928.1925,4,2,2,827.7608,928.1983,928.2096,928.1995,928.1933,836.6404,1310.4254,928.2026,827.4045,827.4107,836.6404,44428,831.354,828.2197,828.2174
1313.9632,1310.4637,827.7636,928.1765,3,3,3,827.7952,928.2108,928.2151,928.2117,928.1791,869.0667,1313.9605,928.2131,827.7739,827.7765,869.0667,54696,864.2291,828.2549,828.2541
1320.1286,1313.9814,828.1724,928.1869,2,3,4,830.2023,928.2158,928.2192,928.2167,928.188,843.3841,1320.1188,928.2177,830.1736,830.1765,843.3841,44428,840.299,836.9625,836.9611
1323.2092,1321.0258,830.2398,1320.8588,4,3,5,928.151,1320.8986,1320.9343,1320.9025,1320.8695,935.8315,1323.2044,1320.9165,928.0881,928.0955,935.8315,44428,932.3577,928.6869,928.6844
1329.2246,1328.1099,928.2204,1327.9578,4,1,6,1310.7236,1327.9991,1328.0357,1328.0012,1327.9685,1326.9733,1329.2228,1328.0111,1310.5223,1310.5441,1326.9733,54696,1317.5991,1311.224,1311.22
1332.5448,1330.4642,1310.7331,1330.3813,4,2,7,1314.1797,1330.3975,1330.4164,1330.3988,1330.3847,1329.7747,1332.5423,1330.403,1314.0481,1314.0584,1329.7747,44428,1319.8714,1314.5408,1314.5362
1345.7151,1344.3579,1314.1876,1344.2813,4,3,8,1320.7194,1344.2927,1344.3106,1344.2939,1344.2832,1343.3884,1345.7136,1344.2986,1320.4108,1320.4179,1343.3884,54696,1335.1095,1327.7022,1327.6997
1348.8657,1345.728,1320.9384,1343.9326,3,3,9,1323.3178,1344.312,1344.3172,1344.3132,1343.9381,1343.3968,1348.8636,1344.3147,1323.2531,1323.2609,1343.3968,44428,1337.6557,1330.3102,1330.3085
1357.4917,1356.5646,1328.0399,1356.4332,4,3,10,1329.4773,1356.4653,1356.4943,1356.4672,1356.4413,1355.7372,1357.4905,1356.4754,1329.3664,1329.3763,1355.7372,44428,1349.7109,1343.7455,1343.7439
1360.8807,1357.6458,1330.4188,1357.6061,4,3,11,1332.6226,1357.6159,1357.6266,1357.6175,1357.6082,1356.8139,1360.8777,1357.6208,1332.5742,1332.5803,1356.8139,54696,1350.8664,1343.8095,1343.8074
1370.3469,1369.5461,1344.3192,1369.467,4,2,12,1345.8215,1369.487,1369.5052,1369.4882,1369.4716,1368.7714,1370.345,1369.4937,1345.7555,1345.7626,1368.7714,44428,1363.124,1356.2125,1356.21
1373.4172,1372.5198,1345.8249,1372.4644,4,3,13,1348.9405,1372.4792,1372.4921,1372.4804,1372.468,1371.5157,1373.4158,1372.484,1348.8932,1348.8983,1371.5157,54696,1363.6334,1357.3846,1357.3806
1381.7086,1380.9027,1356.4976,1380.8264,4,3,14,1357.5833,1380.8445,1380.8632,1380.8456,1380.8302,1380.253,1381.7072,1380.8504,1357.5201,1357.526,1380.253,44428,1375.2237,1369.2312,1369.2275
1388.441,1387.6149,1357.6287,1387.5311,4,3,15,1360.9622,1387.5504,1387.5718,1387.5525,1387.5339,1387.0495,1388.4392,1387.5583,1360.9112,1360.916,1387.0495,54696,1379.864,1372.4381,1372.4326
1393.4531,1392.5622,1369.5075,1392.4908,4,3,16,1370.44,1392.5076,1392.5242,1392.5088,1392.4944,1391.9198,1393.4513,1392.5149,1370.3779,1370.3845,1391.9198,44428,1386.1169,1380.6211,1380.6197
1403.496,1402.5955,1372.4938,1402.5073,4,3,17,1373.4887,1402.5356,1402.5603,1402.537,1402.5125,1402.0004,1403.4944,1402.5456,1373.4463,1373.4516,1402.0004,54696,1396.4408,1387.4026,1387.4007
1406.5062,1403.6674,1380.8654,1403.6196,4,3,18,1381.7882,1403.6312,1403.6458,1403.6323,1403.6239,1402.917,1406.5019,1403.637,1381.7333,1381.7387,1402.917,44428,1398.0736,1392.3755,1392.3725
1417.5169,1416.6488,1387.5747,1416.5586,4,3,19,1388.5252,1416.5746,1416.5977,1416.5761,1416.5614,1416.1313,1417.5157,1416.583,1388.4676,1388.4747,1416.1313,54696,1411.1123,1402.3171,1402.315
1420.165,1417.5295,1392.5265,1414.5351,3,3,20,1393.5303,1416.5991,1416.6061,1416.6005,1414.54,1413.987,1420.1623,1416.6026,1393.4812,1393.4861,1413.987,44428,1409.4556,1403.4187,1403.4155
1426.4412,1425.5848,1402.5658,1425.5165,4,3,21,1403.5938,1425.5329,1425.5488,1425.5341,1425.5199,1424.927,1426.4396,1425.5387,1403.5273,1403.5333,1424.927,44428,1419.6539,1414.362,1414.36
1432.4906,1431.7135,1403.6472,1431.6272,4,3,22,1406.6375,1431.6441,1431.6585,1431.6458,1431.6303,1431.1889,1432.4888,1431.6492,1406.5485,1406.5552,1431.1889,54696,1423.9493,1416.4592,1416.4578
1437.5286,1436.7198,1416.6079,1436.6392,4,2,23,1417.7301,1436.6574,1436.674,1436.6585,1436.643,1436.1175,1437.5274,1436.6633,1417.5744,1417.5869,1436.1175,44428,1430.4648,1425.3811,1425.3784
1446.1978,1445.1948,1417.7371,1445.1371,4,3,24,1420.2705,1445.1554,1445.1741,1445.1569,1445.1409,1444.6053,1446.1962,1445.1615,1420.2025,1420.2098,1444.6053,54696,1439.634,1431.6897,1431.6861
