frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.1088,29.6272,5.4381,0.0075,5.4301,5.4075,0.0091,0.0012,16.982,17.2061,0.0101,0,0.0003,0.0003,0,0,0,0.1267,0,0,0.0406,0.0001,0.0004,0.0171,0.0176,0.0514,3.3745,0.0256,0,33.1946,0,2859095200,2390666912,0,0,300423308,1,0,1,0,0,0,24,0
1,0.0591,5.7375,0.5689,0.0042,0.5644,0.5502,0.0096,0.001,0.2571,0.3004,0.0031,0.0137,0.0002,0.0001,0,0,0,0.0037,0,0,0.0009,0,0.0001,0.0067,0.0126,0.0267,0.6791,0.2646,0.521,7.4422,1,2859095200,2390662688,1,0,300423308,2,1,1,1,0,0,0,0
2,0.0439,5.2957,0.0767,0.0025,0.074,0.0624,0.0077,0.001,0.2265,0.2707,0.0035,0.0138,0.0001,0.0001,0,0,0,0.0035,0,0,0.0013,0.0001,0.0002,0.0052,0.0063,0.0839,1.1459,0.7211,1.3411,8.9296,2,2859095200,2390660576,2,0,300423308,3,2,1,1,0,0,0,0
3,0.0465,7.215,0.4277,0.003,0.4245,0.415,0.0056,0.001,0.2389,0.2839,0.0033,0.0121,0.0002,0.0001,0,0,0,0.0035,0,0,0.0012,0.0001,0.0002,0.0062,0.013,0.0963,1.1571,0.5519,0.3664,9.653,3,2859095200,2390661984,0,0,300423308,4,3,1,1,0,0,0,0
4,0.0377,9.0659,0.3754,0.0028,0.3724,0.3634,0.0058,0.0009,0.1934,0.2261,0.0024,0.0109,0.0001,0.0001,0,0,0,0.0024,0,0,0.0008,0.0001,0.0002,0.0049,0.0078,0.0515,0.7147,0.3238,0.6487,11.0271,4,2859095200,2390666208,1,0,300423308,5,4,1,1,0,0,0,0
5,0.04,3.6829,0.431,0.0022,0.4286,0.4202,0.0055,0.0007,0.224,0.2602,0.0029,0.011,0.0002,0.0001,0,0,0,0.0024,0,0,0.001,0.0001,0.0002,0.0046,0.0034,0.0188,0.1933,0.1005,0.1181,4.2122,5,2859095200,2852088032,2,0,300423308,6,5,1,1,0,0,0,0
6,0.0553,4.4478,0.4975,0.0031,0.4941,0.4837,0.0062,0.0007,0.3502,0.4109,0.0038,0.0189,0.0003,0.0001,0,0,0,0.0042,0,0,0.0021,0,0.0001,0.0071,0.0129,0.037,0.3105,0.1613,0.1702,5.2588,6,2859095200,2852088736,0,0,300423308,7,6,1,1,0,0,0,0
7,0.0535,9.2048,0.8279,0.003,0.8246,0.8,0.0184,0.0015,0.3616,0.4449,0.0038,0.0252,0.0006,0.0002,0,0,0,0.0081,0,0,0.0018,0,0.0002,0.0132,0.0249,0.0521,1.0114,0.4282,0.2858,11.2107,7,2859095200,2852096480,1,0,300423308,8,7,1,1,0,0,0,0
8,0.0405,3.6051,0.4844,0.0027,0.4815,0.4704,0.0077,0.0008,0.2003,0.2378,0.0026,0.0109,0.0002,0.0001,0,0,0,0.0034,0,0,0.001,0.0001,0.0002,0.0051,0.0068,0.0239,0.2244,0.108,0.2098,4.2739,0,2859095200,2390666912,2,0,300423308,9,8,1,1,0,0,0,0
9,0.0398,2.9414,0.3793,0.0024,0.3766,0.3688,0.0042,0.0008,0.1632,0.1938,0.0024,0.0093,0.0002,0.0001,0,0,0,0.0024,0,0,0.0008,0.0001,0.0002,0.0044,0.009,0.018,0.1653,0.1151,0.1007,3.4365,1,2859095200,2390662688,0,0,300423308,10,9,1,1,0,0,0,0
