frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4484097553363,4484099443519,4484099443643,4484099443667,4484099443695,4484099460751,4484099502375,4484099502403,16,19.4904,18.9016,0.00124,0.00024,0.00028,0.17056,0.41624
1,1,0,1e+08,4484112530974,4484112885883,4484112886059,4484112895607,4484112895635,4484112900515,4484112944615,4484112944695,16,4.13721,3.54909,0.00176,0.09548,0.00028,0.0488,0.441
2,1,0,1e+08,4484121060357,4484121206713,4484121206918,4484121230388,4484121230538,4484121242138,4484121433834,4484121433979,16,3.73622,1.46356,0.00205,0.2347,0.0015,0.116,1.91696
3,1,0,1e+08,4484132467449,4484132772133,4484132772908,4484132795888,4484132796043,4484132808353,4484133000915,4484133001230,16,5.33781,3.04684,0.00775,0.2298,0.00155,0.1231,1.92562
4,1,0,1e+08,4484143666246,4484144221284,4484144222009,4484144245093,4484144245248,4484144256953,4484144396682,4484144396750,16,7.30504,5.55038,0.00725,0.23084,0.00155,0.11705,1.39729
5,1,0,1e+08,4484153564820,4484153659288,4484153659324,4484153668244,4484153668272,4484153673208,4484153719336,4484153719428,16,1.54608,0.94468,0.00036,0.0892,0.00028,0.04936,0.46128
6,1,0,1e+08,4484168138882,4484168371122,4484168371338,4484168382326,4484168382354,4484168387386,4484168450874,4484168450918,16,3.12036,2.3224,0.00216,0.10988,0.00028,0.05032,0.63488
7,1,0,1e+08,4484175494384,4484175967991,4484175968726,4484175991816,4484175991966,4484176004206,4484176175590,4484176175754,16,6.8137,4.73607,0.00735,0.2309,0.0015,0.1224,1.71384
8,1,0,1e+08,4484186657877,4484186750377,4484186750433,4484186760481,4484186760521,4484186765605,4484186825205,4484186825245,16,1.67368,0.925,0.00056,0.10048,0.0004,0.05084,0.596
9,1,0,1e+08,4484195409790,4484195474570,4484195474594,4484195482258,4484195482278,4484195486610,4484195524622,4484195524694,16,1.14904,0.6478,0.00024,0.07664,0.0002,0.04332,0.38012
10,1,0,1e+08,4484202357873,4484202459113,4484202459193,4484202467445,4484202467473,4484202471697,4484202515605,4484202515629,16,1.57756,1.0124,0.0008,0.08252,0.00028,0.04224,0.43908
11,1,0,1e+08,4484209065484,4484209235458,4484209235658,4484209259093,4484209259248,4484209270913,4484209462775,4484209463125,16,3.97641,1.69974,0.002,0.23435,0.00155,0.11665,1.91862
12,1,0,1e+08,4484228720188,4484228988794,4484228988979,4484229012969,4484229013109,4484229024899,4484229214969,4484229215099,16,4.94911,2.68606,0.00185,0.2399,0.0014,0.1179,1.9007
13,1,0,1e+08,4484238672746,4484238778030,4484238778078,4484238787234,4484238787274,4484238792266,4484238979283,4484238979578,16,3.06832,1.05284,0.00048,0.09156,0.0004,0.04992,1.87017
14,1,0,1e+08,4484248275652,4484248460183,4484248460388,4484248483828,4484248483978,4484248495968,4484248688601,4484248688751,16,4.13099,1.84531,0.00205,0.2344,0.0015,0.1199,1.92633
15,1,0,1e+08,4484263545419,4484263763542,4484263763732,4484263787182,4484263787317,4484263798957,4484263961672,4484263962056,16,4.16637,2.18123,0.0019,0.2345,0.00135,0.1164,1.62715
16,1,0,1e+08,4484275422821,4484275492689,4484275492717,4484275501141,4484275501161,4484275505753,4484275562645,4484275562775,16,1.39954,0.69868,0.00028,0.08424,0.0002,0.04592,0.56892
17,1,0,1e+08,4484290087108,4484290162836,4484290162864,4484290172060,4484290172080,4484290177472,4484290222736,4484290222828,16,1.3572,0.75728,0.00028,0.09196,0.0002,0.05392,0.45264
18,1,0,1e+08,4484317314418,4484317399814,4484317399866,4484317412046,4484317412086,4484317418058,4484317475186,4484317475222,16,1.60804,0.85396,0.00052,0.1218,0.0004,0.05972,0.57128
19,1,0,1e+08,4484336096816,4484336172152,4484336172196,4484336184072,4484336184108,4484336190368,4484336247004,4484336247188,16,1.50372,0.75336,0.00044,0.11876,0.00036,0.0626,0.56636
20,1,0,1e+08,4484344184839,4484344260915,4484344260943,4484344268079,4484344268103,4484344272331,4484344310703,4484344310727,16,1.25888,0.76076,0.00028,0.07136,0.00024,0.04228,0.38372
21,1,0,1e+08,4484352976402,4484353146511,4484353146716,4484353170211,4484353170366,4484353182741,4484353362439,4484353362591,16,3.86189,1.70109,0.00205,0.23495,0.00155,0.12375,1.79698
22,1,0,1e+08,4484368403933,4484368478573,4484368478605,4484368487881,4484368487905,4484368492721,4484368535069,4484368535093,16,1.3116,0.7464,0.00032,0.09276,0.00024,0.04816,0.42348
23,1,0,1e+08,4484376808627,4484376879463,4484376879507,4484376887967,4484376887999,4484376892635,4484376941087,4484376941215,16,1.32588,0.70836,0.00044,0.0846,0.00032,0.04636,0.48452
24,1,0,1e+08,4484383286312,4484383363716,4484383363744,4484383370908,4484383370932,4484383375176,4484383412176,4484383412200,16,1.25888,0.77404,0.00028,0.07164,0.00024,0.04244,0.37
25,1,0,1e+08,4484390268124,4484390371040,4484390371100,4484390378892,4484390378940,4484390383732,4484390444848,4484390444960,16,1.76836,1.02916,0.0006,0.07792,0.00048,0.04792,0.61116
26,1,0,1e+08,4484396473560,4484396564996,4484396565040,4484396572360,4484396572396,4484396576800,4484396623372,4484396623404,16,1.49844,0.91436,0.00044,0.0732,0.00036,0.04404,0.46572
27,1,0,1e+08,4484405100940,4484405694450,4484405694706,4484405704374,4484405704426,4484405710062,4484405778479,4484405778627,16,6.77687,5.9351,0.00256,0.09668,0.00052,0.05636,0.68417
28,1,0,1e+08,4484415127989,4484415195273,4484415195301,4484415201721,4484415201741,4484415205761,4484415242217,4484415242241,16,1.14252,0.67284,0.00028,0.0642,0.0002,0.0402,0.36456
29,1,0,1e+08,4484421577304,4484421666604,4484421666644,4484421673208,4484421673240,4484421677268,4484421719452,4484421719548,16,1.42244,0.893,0.0004,0.06564,0.00032,0.04028,0.42184
30,1,0,1e+08,4484429668048,4484429812761,4484429812946,4484429836351,4484429836486,4484429847831,4484429904967,4484429905003,16,2.36955,1.44713,0.00185,0.23405,0.00135,0.11345,0.57136
31,1,0,1e+08,4484439584800,4484439660056,4484439660088,4484439667160,4484439667192,4484439671308,4484439711004,4484439711104,16,1.26304,0.75256,0.00032,0.07072,0.00032,0.04116,0.39696
32,1,0,1e+08,4484445721528,4484445791740,4484445791764,4484445799668,4484445799692,4484445803864,4484445913104,4484445913254,16,1.91726,0.70212,0.00024,0.07904,0.00024,0.04172,1.0924
33,1,0,1e+08,4484454973862,4484455076706,4484455076758,4484455084462,4484455084494,4484455089034,4484455140418,4484455140466,16,1.66604,1.02844,0.00052,0.07704,0.00032,0.0454,0.51384
34,1,0,1e+08,4484461171416,4484461273068,4484461273108,4484461279480,4484461279508,4484461283704,4484461325356,4484461325380,16,1.53964,1.01652,0.0004,0.06372,0.00028,0.04196,0.41652
35,1,0,1e+08,4484470674471,4484470766979,4484470767079,4484470778807,4484470778879,4484470785055,4484470868409,4484470868445,16,1.93974,0.92508,0.001,0.11728,0.00072,0.06176,0.83354
36,1,0,1e+08,4484476920014,4484476993834,4484476993862,4484477000574,4484477000598,4484477004718,4484477041142,4484477041166,16,1.21152,0.7382,0.00028,0.06712,0.00024,0.0412,0.36424
37,1,0,1e+08,4484483571664,4484483674368,4484483674404,4484483681064,4484483681092,4484483685152,4484483728576,4484483728612,16,1.56948,1.02704,0.00036,0.0666,0.00028,0.0406,0.43424
38,1,0,1e+08,4484489774672,4484489880678,4484489880863,4484489904293,4484489904428,4484489915383,4484490067103,4484490067127,16,2.92455,1.06006,0.00185,0.2343,0.00135,0.10955,1.5172
39,1,0,1e+08,4484498025648,4484498102152,4484498102180,4484498108724,4484498108744,4484498112748,4484498149608,4484498149632,16,1.23984,0.76504,0.00028,0.06544,0.0002,0.04004,0.3686
40,1,0,1e+08,4484505691804,4484505775084,4484505775112,4484505781648,4484505781668,4484505785616,4484505822068,4484505822092,16,1.30288,0.8328,0.00028,0.06536,0.0002,0.03948,0.36452
41,1,0,1e+08,4484511804872,4484511886316,4484511886384,4484511894756,4484511894804,4484511899820,4484511964700,4484511964756,16,1.59884,0.81444,0.00068,0.08372,0.00048,0.05016,0.6488
42,1,0,1e+08,4484517868508,4484517970360,4484517970392,4484517976972,4484517976996,4484517980972,4484518018440,4484518018464,16,1.49956,1.01852,0.00032,0.0658,0.00024,0.03976,0.37468
43,1,0,1e+08,4484523987476,4484524079508,4484524079536,4484524085848,4484524085868,4484524089960,4484524126684,4484524126708,16,1.39232,0.92032,0.00028,0.06312,0.0002,0.04092,0.36724
