frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.0499,141.763,0.0134,0.0023,0.011,0.0087,0.001,0.0009,3.9473,141.739,0.0186,0.0001,0.0493,1.9224,0.0113,0.0416,0.0038,0.0026,0.0478,0.0433,0.0016,0.0463,2.1014,0.0113,0.0081,0.0364,2.6074,0.0177,0,144.481,0,445723680,2138149920,0,0,116476604,1,0,1,0,0,0,24,0
1,0.0484,1.5273,0.6689,0.0044,0.6643,0.6553,0.007,0.001,0.2728,0.8476,0.0064,0.0114,0.0095,0.1296,0.017,0.0569,0.0056,0.0079,0.1591,0.0849,0.0025,0.0564,0.4869,0.0044,0.0097,0.0176,15.3285,0.5664,1.0221,19.2955,1,445723680,2138154144,1,0,116476604,2,1,1,1,0,0,0,0
2,0.0396,142.958,0.6788,0.002,0.6766,0.6708,0.004,0.0008,0.1854,142.27,0.0122,0.0133,0.0163,0.1198,0.007,0.0408,0.0024,0.0022,0.0309,0.0305,0.0017,0.0507,0.2727,0.0043,0.008,0.0151,0.3849,0.5137,0.5326,144.938,2,445723680,2138152032,2,0,116476604,3,2,1,1,0,0,0,0
3,0.0517,199.257,0.7709,0.0033,0.7674,0.7556,0.0091,0.0011,0.3105,198.454,0.0173,0.019,0.0141,0.1752,0.0106,0.0613,0.0048,0.0051,0.0439,0.0456,0.0061,0.0828,0.4088,0.012,0.0284,0.0418,1.0499,0.6316,0.7409,202.333,3,445723680,2138147104,0,0,116476604,4,3,1,1,0,0,0,0
4,0.0605,172.41,0.7945,0.0046,0.7895,0.7763,0.0099,0.0016,0.3983,171.605,0.0126,0.0135,0.0069,0.1203,0.0026,0.0341,0.0025,0.0024,0.0299,0.0303,0.0017,0.0687,0.2833,0.0044,0.0096,0.0144,0.3078,0.5137,0.5618,174.632,4,445723680,2138144288,1,0,116476604,5,4,1,1,0,0,0,0
5,0.0418,140.596,0.7547,0.0023,0.7523,0.7446,0.0057,0.001,0.2186,139.831,0.0141,0.0136,0.0096,0.1094,0.0118,0.0362,0.0051,0.0024,0.0251,0.0207,0.0015,0.0366,0.228,0.0043,0.0098,0.0157,0.244,0.3479,0.8218,142.552,5,445723680,2138155552,2,0,116476604,6,5,1,1,0,0,0,0
6,0.0466,116.152,0.7564,0.0029,0.7533,0.745,0.0061,0.001,0.1922,115.388,0.0123,0.0111,0.0063,0.0926,0.0046,0.0613,0.0021,0.0021,0.0347,0.0258,0.0024,0.0278,0.2422,0.0039,0.007,0.0145,0.2681,0.5223,1.5709,119.557,6,445723680,2138156960,0,0,116476604,7,6,1,1,0,0,0,0
7,0.0396,130.122,0.7121,0.0021,0.7098,0.7028,0.0051,0.001,0.1858,129.401,0.0114,0.013,0.0076,0.1217,0.0029,0.0575,0.0023,0.0023,0.0281,0.0247,0.0015,0.0394,0.2714,0.0046,0.0082,0.0179,0.2971,0.5159,0.5881,132.227,7,445723680,2138149216,1,0,116476604,8,7,1,1,0,0,0,0
8,0.0421,107.924,0.7022,0.0022,0.6999,0.6937,0.0046,0.0007,0.2077,107.21,0.0182,0.0169,0.0088,0.1317,0.0056,0.0808,0.0091,0.0023,0.0387,0.0332,0.0027,0.0348,0.3192,0.0056,0.0103,0.0185,0.2762,0.698,1.83,112.602,0,445723680,2138149920,2,0,116476604,9,8,1,1,0,0,0,0
9,0.0595,146.528,0.862,0.0026,0.8592,0.8552,0.0027,0.0007,0.1925,145.645,0.0199,0.0152,0.0126,0.1789,0.0161,0.0989,0.0085,0.0076,0.0727,0.047,0.0034,0.0703,0.4678,0.0077,0.0185,0.0334,0.5354,0.6129,0.8268,149.312,1,445723680,2138154144,0,0,116476604,10,9,1,1,0,0,0,0
10,0.0556,1.5501,0.803,0.0022,0.8006,0.7888,0.009,0.0013,0.2496,0.7308,0.0077,0.0134,0.0126,0.1168,0.0076,0.063,0.0082,0.004,0.0663,0.0709,0.0067,0.0733,0.3903,0.0071,0.0148,0.0267,0.5292,0.0041,0,2.17,2,445723680,2138152032,1,0,116476604,11,9,1,0,0,0,24,0
11,0.0699,1.4033,0.8753,0.0028,0.872,0.8645,0.0053,0.0011,0.2503,0.5158,0.0051,0.0109,0.0068,0.0601,0.0102,0.0529,0.0043,0.0024,0.0409,0.0243,0.0014,0.0229,0.2011,0.0049,0.0104,0.0189,0.7545,0.48,0.8123,4.4918,3,445723680,2138147104,2,0,116476604,12,10,1,1,0,0,0,0
12,0.0614,1.5257,0.9135,0.0029,0.9105,0.8998,0.0083,0.0012,0.2075,0.6007,0.0073,0.0102,0.0098,0.072,0.0076,0.0573,0.0059,0.005,0.07,0.0493,0.0064,0.0658,0.3144,0.006,0.01,0.0287,0.3111,0.4456,0.6756,4.3159,4,445723680,2138144288,0,0,116476604,13,11,1,1,0,0,0,0
13,0.0714,1.8586,1.1727,0.0032,1.1692,1.1593,0.0069,0.0017,0.2111,0.6661,0.0054,0.0111,0.009,0.076,0.0024,0.0611,0.0054,0.0077,0.1195,0.0664,0.0039,0.0582,0.3812,0.0068,0.018,0.0367,0.3939,0.7099,0.8632,4.6123,5,445723680,2138155552,1,0,116476604,14,12,1,1,0,0,0,0
14,0.0395,1.7066,0.7702,0.0023,0.7678,0.7539,0.0113,0.0013,0.3019,0.9146,0.0134,0.0286,0.015,0.1426,0.0065,0.0747,0.0062,0.0048,0.0838,0.0795,0.0037,0.0829,0.4635,0.0116,0.0204,0.0257,1.2068,0.0084,0,2.9919,6,445723680,2138156960,2,0,116476604,15,12,1,0,0,0,24,0
