frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,23417236582073,23417238938956,23417245466741,23417251048627,23417251094167,23417251996056,23417252208724,23417252208788,16,156.267,23.5688,65.2779,55.8189,0.4554,9.01889,2.12668
1,1,0,1e+08,23417255231550,23417258595670,23417258595818,23417258714470,23417258750722,23417259010002,23417259165246,23417259165282,16,39.3373,33.6412,0.00148,1.18652,0.36252,2.5928,1.55244
2,1,0,1e+08,23417260253161,23417264054146,23417268513000,23417274473535,23417274498147,23417275386093,23417275678581,23417275678777,16,154.256,38.0099,44.5885,59.6054,0.24612,8.87946,2.92488
3,1,0,1e+08,23417279108425,23417281374233,23417289355507,23417298925447,23417298955455,23417299423389,23417300028103,23417300028278,16,209.199,22.6581,79.8127,95.6994,0.30008,4.67934,6.04714
4,1,0,1e+08,23417303671322,23417306085496,23417312731365,23417320837856,23417320865436,23417321766082,23417321983162,23417321983218,16,183.119,24.1417,66.4587,81.0649,0.2758,9.00646,2.1708
5,1,0,1e+08,23417322990436,23417327534253,23417331608547,23417337093421,23417337181571,23417338087356,23417338262528,23417338262572,16,152.721,45.4382,40.7429,54.8487,0.8815,9.05785,1.75172
6,1,0,1e+08,23417339182032,23417343441140,23417347215325,23417350740670,23417350768382,23417351630136,23417351859394,23417351859454,16,126.774,42.5911,37.7418,35.2535,0.27712,8.61754,2.29258
7,1,0,1e+08,23417354016378,23417357104148,23417360776526,23417366968129,23417367008601,23417367829312,23417368464916,23417368465081,16,144.487,30.8777,36.7238,61.916,0.40472,8.20711,6.35604
8,1,0,1e+08,23417369291764,23417370858871,23417375428084,23417380135872,23417380185986,23417381207403,23417381531128,23417381531344,16,122.396,15.6711,45.6921,47.0779,0.50114,10.2142,3.23725
9,1,0,1e+08,23417383145321,23417384699997,23417391013163,23417397696978,23417397725158,23417398127271,23417398574284,23417398574454,16,154.291,15.5468,63.1317,66.8381,0.2818,4.02113,4.47013
10,1,0,1e+08,23417400056835,23417401850314,23417401850358,23417401927134,23417401946314,23417402228382,23417402420122,23417402420154,16,23.6332,17.9348,0.00044,0.76776,0.1918,2.82068,1.9174
11,1,0,1e+08,23417403978769,23417405135078,23417405135126,23417405236506,23417405259790,23417406180565,23417406414937,23417406415001,16,24.3623,11.5631,0.00048,1.0138,0.23284,9.20775,2.34372
12,1,0,1e+08,23417408015050,23417409606984,23417409607168,23417409687628,23417409711492,23417409988320,23417410165092,23417410165124,16,21.5007,15.9193,0.00184,0.8046,0.23864,2.76828,1.76772
13,1,0,1e+08,23417411641944,23417412684906,23417412684938,23417412804546,23417412856530,23417413709640,23417413986520,23417413986736,16,23.4479,10.4296,0.00032,1.19608,0.51984,8.5311,2.7688
14,1,0,1e+08,23417415385768,23417417035243,23417417035435,23417417151054,23417417181034,23417417644135,23417417879784,23417417879840,16,24.9407,16.4947,0.00192,1.15619,0.2998,4.63101,2.35649
15,1,0,1e+08,23417417947964,23417419839319,23417419839515,23417419932735,23417419956727,23417420289827,23417420569287,23417420569515,16,26.2155,18.9136,0.00196,0.9322,0.23992,3.331,2.7946
